,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Austria,629,848.9,729.0,511.9,219.9,100.0,-117.1,True,True
Belgium,9005,12978.0,9683.0,8159.0,3973.0,678.0,-846.0,True,True
Bulgaria,105,83.9,81.0,47.6,-21.1,-24.0,-57.4,False,False
Croatia,95,128.7,93.0,57.3,33.7,-2.0,-37.7,True,False
Cyprus,17,12.0,22.0,14.8,-5.0,5.0,-2.2,False,True
Czechia,296,383.4,342.0,199.3,87.4,46.0,-96.7,True,False
Denmark,543,657.4,556.0,689.1,114.4,13.0,146.1,True,False
Estonia,63,84.6,77.0,69.8,21.6,14.0,6.8,True,True
Finland,297,242.9,199.0,162.5,-54.1,-98.0,-134.5,False,False
France,27532,40000.0,31781.0,23102.0,12468.0,4249.0,-4430.0,True,True
Germany,7938,11057.4,8827.0,5906.3,3119.4,889.0,-2031.7,True,True
Greece,162,179.1,174.0,123.0,17.1,12.0,-39.0,True,False
Hungary,448,533.3,430.0,319.0,85.3,-18.0,-129.0,True,False
Ireland,1533,1883.0,1491.0,987.0,350.0,-42.0,-546.0,True,False
Italy,31763,37667.4,32897.0,26598.4,5904.4,1134.0,-5164.6,True,True
Latvia,19,5.0,14.0,121.7,-14.0,-5.0,102.7,True,False
Lithuania,55,85.3,76.0,40.3,30.3,21.0,-14.7,True,True
Luxembourg,104,104.7,112.0,116.6,0.7,8.0,12.6,False,False
Malta,6,3.0,9.0,12.2,-3.0,3.0,6.2,False,False
Netherlands,5689,7222.0,5896.0,6829.0,1533.0,207.0,1140.0,True,True
Norway,232,355.6,305.0,312.4,123.6,73.0,80.4,True,True
Poland,915,881.4,714.0,683.2,-33.6,-201.0,-231.8,False,False
Portugal,1203,1477.9,1451.0,955.7,274.9,248.0,-247.3,True,True
Romania,1094,1024.0,977.0,599.3,-70.0,-117.0,-494.7,False,False
Slovakia,28,53.9,39.0,51.5,25.9,11.0,23.5,True,True
Slovenia,103,158.7,128.0,86.4,55.7,25.0,-16.6,True,True
Spain,27563,32351.4,27024.0,24620.8,4788.4,-539.0,-2942.2,True,True
Sweden,3674,4035.1,3084.0,5310.4,361.1,-590.0,1636.4,False,False
Switzerland,1879,2509.9,2048.0,1707.7,630.9,169.0,-171.3,True,True
United Kingdom,34546,35875.4,28065.0,32866.7,1329.4,-6481.0,-1679.3,False,False
