,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,363,352.6,357.0,358.7,-10.4,-6.0,-4.3,True,True
Austria,629,634.3,645.0,630.1,5.3,16.0,1.1,False,True
Belgium,9005,9266.3,9056.0,9279.2,261.3,51.0,274.2,True,False
Brazil,15662,14714.4,14819.0,14216.6,-947.6,-843.0,-1445.4,True,False
Bulgaria,105,103.7,105.0,109.5,-1.3,0.0,4.5,True,False
Canada,5800,5909.3,5871.0,5863.5,109.3,71.0,63.5,True,True
Chile,421,360.9,365.0,374.6,-60.1,-56.0,-46.4,True,True
Colombia,562,565.4,563.0,588.9,3.4,1.0,26.9,True,False
Croatia,95,98.9,102.0,103.0,3.9,7.0,8.0,False,False
Cyprus,17,16.7,17.0,10.0,-0.3,0.0,-7.0,True,False
Czechia,296,303.4,298.0,302.4,7.4,2.0,6.4,True,True
Denmark,543,561.6,562.0,584.5,18.6,19.0,41.5,False,False
Dominican Republic,428,426.6,426.0,457.9,-1.4,-2.0,29.9,False,False
Ecuador,2688,2556.4,2610.0,4942.7,-131.6,-78.0,2254.7,True,False
Egypt,612,602.3,598.0,625.1,-9.7,-14.0,13.1,False,False
Estonia,63,65.3,66.0,62.2,2.3,3.0,-0.8,False,True
Finland,297,293.1,299.0,307.6,-3.9,2.0,10.6,True,False
France,27532,27676.0,27511.0,28073.4,144.0,-21.0,541.4,True,False
Germany,7938,8138.1,8118.0,8017.8,200.1,180.0,79.8,True,True
Greece,162,154.6,158.0,157.0,-7.4,-4.0,-5.0,True,True
Hungary,448,471.0,463.0,462.2,23.0,15.0,14.2,True,True
Iceland,10,10.0,10.0,3.7,0.0,0.0,-6.3,True,False
Ireland,1533,1572.7,1568.0,1570.9,39.7,35.0,37.9,True,True
Israel,268,274.4,272.0,255.8,6.4,4.0,-12.2,True,False
Italy,31763,31924.7,31814.0,31763.1,161.7,51.0,0.1,True,True
Latvia,19,19.4,20.0,14.4,0.4,1.0,-4.6,False,False
Lithuania,55,52.9,53.0,54.3,-2.1,-2.0,-0.7,True,True
Luxembourg,104,104.6,105.0,106.0,0.6,1.0,2.0,False,False
Malaysia,113,111.9,114.0,111.9,-1.1,1.0,-1.1,True,True
Mexico,5045,4503.0,4396.0,3021.0,-542.0,-649.0,-2024.0,False,False
Moldova,207,205.7,203.0,192.4,-1.3,-4.0,-14.6,False,False
Netherlands,5689,5744.3,5755.0,5875.9,55.3,66.0,186.9,False,False
Norway,232,231.1,233.0,223.0,-0.9,1.0,-9.0,False,False
Panama,269,284.0,279.0,277.1,15.0,10.0,8.1,True,True
Peru,2523,2401.7,2370.0,2534.4,-121.3,-153.0,11.4,False,True
Philippines,817,799.6,793.0,848.2,-17.4,-24.0,31.2,False,False
Poland,915,891.7,896.0,912.5,-23.3,-19.0,-2.5,True,True
Portugal,1203,1201.9,1222.0,1227.3,-1.1,19.0,24.3,False,False
Romania,1094,1099.1,1102.0,1168.2,5.1,8.0,74.2,False,False
Slovakia,28,26.7,28.0,24.1,-1.3,0.0,-3.9,True,False
Slovenia,103,105.6,107.0,109.0,2.6,4.0,6.0,False,False
South Korea,262,260.9,264.0,272.5,-1.1,2.0,10.5,False,False
Spain,27563,27684.0,27528.0,27714.8,121.0,-35.0,151.8,True,False
Sweden,3674,3603.9,3611.0,3771.3,-70.1,-63.0,97.3,True,False
Switzerland,1879,1888.6,1903.0,1883.2,9.6,24.0,4.2,False,True
Turkey,4096,4112.4,4086.0,4131.4,16.4,-10.0,35.4,True,False
Ukraine,497,483.0,472.0,460.9,-14.0,-25.0,-36.1,False,False
United Kingdom,34546,34521.0,34111.0,35139.7,-25.0,-435.0,593.7,False,False
