,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1456,1258.4,1295.0,1271.0,1334.0,1736.0,,1281.8,1550.4,1580.0,,,1385.3,1168.0,1439.8,1251.1,1495.4,1291.6,,1215.5,1440.7,1210.5,,1029.4,,1246.0,1249.1,1320.0,,1434.1,1473.9,1333.0,1298.5,1349.7,-197.6,-161.0,-185.0,-122.0,280.0,,-174.2,94.4,124.0,,,-70.7,-288.0,-16.2,-204.9,39.4,-164.4,,-240.5,-15.3,-245.5,,-426.6,,-210.0,-206.9,-136.0,,-21.9,17.9,-123.0,-157.5,-106.3,True,True,True,False,,True,True,True,,,True,False,True,False,True,True,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Alaska,20,21.7,22.0,22.0,23.7,20.0,,20.6,96.4,20.0,18.9,,13.5,,30.2,24.1,13.7,25.2,,30.3,27.1,16.0,,21.2,,21.0,17.2,29.0,,28.7,41.0,35.0,21.2,,1.7,2.0,2.0,3.7,0.0,,0.6,76.4,0.0,-1.1,,-6.5,,10.2,4.1,-6.3,5.2,,10.3,7.1,-4.0,,1.2,,1.0,-2.8,9.0,,8.7,21.0,15.0,1.2,,False,False,False,True,,True,False,True,True,,False,,False,False,False,False,,False,False,False,,True,,True,False,False,,False,False,False,True,
Arizona,3286,2485.0,2933.0,2527.9,2697.4,3881.0,,3270.5,4823.2,3748.0,2235.0,,2738.2,3264.0,2713.4,2521.2,1865.4,2575.1,,2548.1,2729.9,2295.0,,2335.0,,2199.0,2540.4,2758.0,,2960.8,2866.9,2641.0,2717.2,2738.7,-801.0,-353.0,-758.1,-588.6,595.0,,-15.5,1537.2,462.0,-1051.0,,-547.8,-22.0,-572.6,-764.8,-1420.6,-710.9,,-737.9,-556.1,-991.0,,-951.0,,-1087.0,-745.6,-528.0,,-325.2,-419.1,-645.0,-568.8,-547.3,True,True,True,True,,True,False,True,False,,True,True,True,True,False,True,,True,True,False,,False,,False,True,True,,True,True,True,True,True
Arkansas,399,352.7,394.0,367.0,400.6,425.0,,420.2,592.6,461.0,299.0,,396.2,495.0,452.3,382.7,329.3,419.3,,393.4,405.9,387.5,,385.8,,312.0,350.9,378.0,,423.6,412.0,400.0,397.6,,-46.3,-5.0,-32.0,1.6,26.0,,21.2,193.6,62.0,-100.0,,-2.8,96.0,53.3,-16.3,-69.7,20.3,,-5.6,6.9,-11.5,,-13.2,,-87.0,-48.1,-21.0,,24.6,13.0,1.0,-1.4,,True,True,True,True,,True,False,False,False,,True,False,False,True,False,True,,True,True,True,,True,,False,False,True,,True,True,True,True,
California,8408,7633.0,7685.0,7639.0,8013.2,9263.0,,8019.1,12367.8,9511.0,7499.1,,8190.5,8100.0,9462.7,8625.8,10005.5,7610.7,,7330.7,7605.8,7340.5,,7629.8,,7242.0,7621.2,8006.0,,8722.1,8761.4,7898.0,7689.9,7739.0,-775.0,-723.0,-769.0,-394.8,855.0,,-388.9,3959.8,1103.0,-908.9,,-217.5,-308.0,1054.7,217.8,1597.5,-797.3,,-1077.3,-802.2,-1067.5,,-778.2,,-1166.0,-786.8,-402.0,,314.1,353.4,-510.0,-718.1,-669.0,True,True,True,False,,True,False,False,False,,True,True,False,True,False,False,,False,False,False,,False,,False,False,True,,True,True,True,True,True
Colorado,1794,1772.4,1843.0,1790.7,1811.8,1776.0,,1821.9,1822.9,1841.0,1770.4,,1751.6,1786.0,1966.9,1799.5,1805.6,1843.5,,1810.3,1799.8,1791.0,,1819.7,,1719.0,1799.6,1776.0,,1845.7,1848.0,1751.0,1826.1,,-21.6,49.0,-3.3,17.8,-18.0,,27.9,28.9,47.0,-23.6,,-42.4,-8.0,172.9,5.5,11.6,49.5,,16.3,5.8,-3.0,,25.7,,-75.0,5.6,-18.0,,51.7,54.0,-43.0,32.1,,False,True,True,True,,False,False,False,False,,False,True,False,True,True,False,,True,True,True,,False,,False,True,True,,False,False,False,False,
Connecticut,4413,4389.3,4519.0,4456.2,4415.1,4436.0,,4427.9,4371.6,4395.0,4425.3,,4437.8,4688.0,4475.7,4394.3,4534.2,4471.5,,4391.4,4402.9,4459.0,,4537.5,,4348.0,4430.2,4367.0,,4402.7,4425.8,4399.5,4425.2,,-23.7,106.0,43.2,2.1,23.0,,14.9,-41.4,-18.0,12.3,,24.8,275.0,62.7,-18.7,121.2,58.5,,-21.6,-10.1,46.0,,124.5,,-65.0,17.2,-46.0,,-10.3,12.8,-13.5,12.2,,False,False,True,True,,True,False,True,True,,False,False,False,True,False,False,,True,True,False,,False,,False,True,False,,True,True,True,True,
Delaware,579,526.3,633.0,532.4,556.4,629.0,,557.6,538.8,573.0,,,545.8,566.0,627.4,566.1,527.6,570.4,,518.5,540.8,563.0,,532.3,,535.0,570.2,566.0,,540.9,703.0,540.0,545.6,,-52.7,54.0,-46.6,-22.6,50.0,,-21.4,-40.2,-6.0,,,-33.2,-13.0,48.4,-12.9,-51.4,-8.6,,-60.5,-38.2,-16.0,,-46.7,,-44.0,-8.8,-13.0,,-38.1,124.0,-39.0,-33.4,,False,True,True,True,,True,True,True,,,True,True,True,True,True,True,,False,True,True,,True,,True,True,True,,True,False,True,True,
District of Columbia,581,584.7,602.0,585.0,584.1,578.0,,575.7,602.3,577.0,567.0,,594.2,617.0,615.6,584.3,551.9,,,578.5,581.3,572.0,,586.3,,580.0,591.7,579.0,,583.2,584.2,586.0,588.1,,3.7,21.0,4.0,3.1,-3.0,,-5.3,21.3,-4.0,-14.0,,13.2,36.0,34.6,3.3,-29.1,,,-2.5,0.3,-9.0,,5.3,,-1.0,10.7,-2.0,,2.2,3.2,5.0,7.1,,False,False,True,True,,False,False,False,False,,False,False,False,True,False,,,True,True,False,,False,,True,False,True,,True,True,False,False,
Florida,5777,4622.4,4934.0,4637.5,5192.3,7921.0,,7122.4,9355.6,7839.0,,,5288.2,4485.0,5320.3,4913.3,5318.1,4510.1,,4423.5,5360.8,4204.0,,4445.5,,4971.0,4814.7,6134.0,,6783.2,7158.9,5231.5,4837.5,4739.3,-1154.6,-843.0,-1139.5,-584.7,2144.0,,1345.4,3578.6,2062.0,,,-488.8,-1292.0,-456.7,-863.7,-458.9,-1266.9,,-1353.5,-416.2,-1573.0,,-1331.5,,-806.0,-962.3,357.0,,1006.2,1381.9,-545.5,-939.5,-1037.7,True,True,True,False,,False,False,False,,,True,False,True,True,True,False,,False,True,False,,False,,True,True,True,,True,False,True,True,True
