,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1456,1424.4,1184.8,733.0,1211.9,907.6,2271.5,-31.6,-271.2,-723.0,-244.1,-548.4,815.5,False,False,False,False,False
Alaska,20,10.0,3.0,,14.3,11.8,13.8,-10.0,-17.0,,-5.7,-8.2,-6.2,False,,True,True,True
Arizona,3286,2099.4,5436.1,1309.0,4062.5,1787.0,4046.2,-1186.6,2150.1,-1977.0,776.5,-1499.0,760.2,False,False,True,False,True
Arkansas,399,167.0,115.2,277.0,149.3,224.1,200.1,-232.0,-283.8,-122.0,-249.7,-174.9,-198.9,False,True,False,True,True
California,8408,8405.1,6714.7,4889.5,6045.9,7467.4,8594.5,-2.9,-1693.3,-3518.5,-2362.1,-940.6,186.5,False,False,False,False,False
Colorado,1794,3620.1,2265.3,1439.0,1684.6,1886.1,3564.0,1826.1,471.3,-355.0,-109.4,92.1,1770.0,True,True,True,True,True
Connecticut,4413,7755.0,4854.0,3971.0,4883.6,3901.5,5311.4,3342.0,441.0,-442.0,470.6,-511.5,898.4,True,True,True,True,True
Delaware,579,970.1,539.5,432.0,610.7,400.7,1170.3,391.1,-39.5,-147.0,31.7,-178.3,591.3,True,True,True,True,False
District of Columbia,581,974.4,577.2,556.0,592.9,532.6,888.2,393.4,-3.8,-25.0,11.9,-48.4,307.2,True,True,True,True,True
Florida,5777,4457.0,4596.2,2680.0,2989.4,2614.7,4930.6,-1320.0,-1180.8,-3097.0,-2787.6,-3162.3,-846.4,True,False,False,False,True
Georgia,3494,3620.9,2372.1,1895.0,2252.7,2025.3,3786.3,126.9,-1121.9,-1599.0,-1241.3,-1468.7,292.3,False,False,False,False,False
Hawaii,26,17.0,19.0,,24.1,19.4,26.9,-9.0,-7.0,,-1.9,-6.6,0.9,True,,True,True,True
Idaho,146,132.1,81.0,77.0,121.1,87.5,97.4,-13.9,-65.0,-69.0,-24.9,-58.5,-48.6,False,False,False,False,False
Illinois,7589,11776.9,8741.5,7376.0,8661.6,6136.8,15533.0,4187.9,1152.5,-213.0,1072.6,-1452.2,7944.0,True,True,True,True,False
