,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1456,1109.0,887.7,664.0,1019.4,982.9,1578.5,-347.0,-568.3,-792.0,-436.6,-473.1,122.5,False,False,False,False,True
Alaska,20,10.0,11.3,,11.4,11.7,12.2,-10.0,-8.7,,-8.6,-8.3,-7.8,True,,True,True,True
Arizona,3286,1872.7,1739.1,1461.0,1816.8,1669.6,3213.4,-1413.3,-1546.9,-1825.0,-1469.2,-1616.4,-72.6,False,False,False,False,True
Arkansas,399,275.4,233.0,552.0,287.6,260.5,221.6,-123.6,-166.0,153.0,-111.4,-138.5,-177.4,False,False,True,False,False
California,8408,8306.6,5591.6,6472.0,6485.2,7446.1,8520.8,-102.4,-2817.4,-1937.0,-1923.8,-962.9,111.8,False,False,False,False,False
Colorado,1794,2368.3,1695.9,1986.0,2339.7,1854.7,3147.2,574.3,-98.1,192.0,545.7,60.7,1353.2,True,True,True,True,False
Connecticut,4413,6217.3,4552.3,4197.0,4979.6,4038.9,4931.4,1804.3,139.3,-216.0,566.6,-374.1,518.4,True,True,True,True,True
Delaware,579,644.9,441.9,435.0,475.1,407.6,754.2,65.9,-137.1,-144.0,-103.9,-171.4,175.2,False,False,False,False,False
District of Columbia,581,866.0,542.6,670.0,868.5,566.1,712.6,285.0,-38.4,89.0,287.5,-14.9,131.6,True,True,False,True,True
Florida,5777,4575.3,2835.7,2984.0,3939.4,2766.4,5177.8,-1201.7,-2941.3,-2793.0,-1837.6,-3010.6,-599.2,False,False,False,False,True
Georgia,3494,3749.0,2374.2,2443.0,2415.6,2119.0,4045.0,255.0,-1119.8,-1051.0,-1078.4,-1375.0,551.0,False,False,False,False,False
Hawaii,26,17.0,18.1,,19.2,18.9,23.4,-9.0,-7.9,,-6.8,-7.1,-2.6,True,,True,True,True
Idaho,146,132.1,104.1,87.0,96.9,90.8,98.6,-13.9,-41.9,-59.0,-49.1,-55.2,-47.4,False,False,False,False,False
Illinois,7589,10870.0,7192.6,7679.0,8703.3,6990.5,12350.4,3281.0,-396.4,90.0,1114.3,-598.5,4761.4,True,True,True,True,False
Indiana,2895,3968.9,2552.8,2791.0,2657.3,2730.5,5118.6,1073.9,-342.2,-104.0,-237.7,-164.5,2223.6,True,True,True,True,False
Iowa,826,1386.0,636.1,678.0,832.1,542.8,1891.2,560.0,-189.9,-148.0,6.1,-283.2,1065.2,True,True,True,True,False
Kansas,329,293.6,311.0,362.0,345.3,224.0,297.6,-35.4,-18.0,33.0,16.3,-105.0,-31.4,True,True,True,False,True
Kentucky,696,895.9,499.8,479.0,674.9,764.3,733.1,199.9,-196.2,-217.0,-21.1,68.3,37.1,True,False,True,True,True
Louisiana,3715,4462.4,3135.3,3750.0,3225.4,2910.0,3694.0,747.4,-579.7,35.0,-489.6,-805.0,-21.0,True,True,True,False,True
Maine,119,148.9,123.5,216.0,99.4,153.3,106.4,29.9,4.5,97.0,-19.6,34.3,-12.6,True,False,True,False,True
Maryland,3433,4801.3,3554.7,3490.0,3909.9,3842.4,4603.9,1368.3,121.7,57.0,476.9,409.4,1170.9,True,True,True,True,True
Massachusetts,8510,11464.9,7800.7,8432.0,9054.4,7005.2,9214.4,2954.9,-709.3,-78.0,544.4,-1504.8,704.4,True,True,True,True,True
Michigan,6400,8212.9,5947.1,6130.0,6326.9,5859.8,6522.5,2050.9,-214.9,-32.0,164.9,-302.2,360.5,True,True,True,True,True
Minnesota,1611,2180.0,1765.8,4625.0,1778.8,1320.0,2647.0,569.0,154.8,3014.0,167.8,-291.0,1036.0,True,False,True,True,False
Mississippi,1478,1546.1,1201.1,938.0,1005.9,939.2,2370.5,68.1,-276.9,-540.0,-472.1,-538.8,892.5,False,False,False,False,False
Missouri,1200,1447.7,823.8,1041.0,1404.9,904.1,2071.6,329.7,-294.2,-77.0,286.9,-213.9,953.6,True,True,True,True,False
Montana,46,16.0,17.0,16.0,20.8,17.5,19.6,-30.0,-29.0,-30.0,-25.2,-28.5,-26.4,True,False,True,True,True
Nebraska,316,359.6,350.9,402.0,349.9,166.1,535.7,43.6,34.9,86.0,33.9,-149.9,219.7,True,False,True,False,False
Nevada,732,645.7,461.0,585.0,547.5,544.9,673.9,-86.3,-271.0,-147.0,-184.5,-187.1,-58.1,False,False,False,False,True
New Hampshire,409,536.7,241.6,316.0,445.4,360.7,811.8,127.7,-167.4,-93.0,36.4,-48.3,402.8,False,True,True,True,False
New Jersey,15776,18002.3,12572.5,13158.0,13969.0,11641.4,14759.5,4015.3,-1414.5,-829.0,-18.0,-2345.6,772.5,True,True,True,True,True
New Mexico,607,777.6,412.3,458.0,606.3,531.3,989.9,170.6,-194.7,-149.0,-0.7,-75.7,382.9,False,True,True,True,False
New York,32612,37192.1,32092.5,32421.0,32031.9,29345.6,32534.3,5564.1,464.5,793.0,403.9,-2282.4,906.3,True,True,True,True,True
North Carolina,1811,1652.0,1389.2,1407.0,1689.6,1891.2,1733.6,-159.0,-421.8,-404.0,-121.4,80.2,-77.4,False,False,True,True,True
North Dakota,99,141.6,105.1,688.0,99.2,118.8,182.8,42.6,6.1,589.0,0.2,19.8,83.8,True,False,True,True,False
Ohio,3297,5015.9,2943.4,2562.0,3120.7,3455.8,6138.5,1718.9,-353.6,-735.0,-176.3,158.8,2841.5,True,True,True,True,False
Oklahoma,496,514.7,386.4,682.0,387.9,510.1,452.0,18.7,-109.6,186.0,-108.1,14.1,-44.0,False,False,False,True,False
Oregon,285,245.4,181.1,159.0,214.9,247.3,202.7,-39.6,-103.9,-126.0,-70.1,-37.7,-82.3,False,False,False,True,False
Pennsylvania,7124,10813.4,6214.2,5822.0,7911.3,5687.1,9171.2,3689.4,-909.8,-1302.0,787.3,-1436.9,2047.2,True,True,True,True,True
Rhode Island,1002,1573.4,724.6,851.0,941.5,620.9,1407.0,571.4,-277.4,-151.0,-60.5,-381.1,405.0,True,True,True,True,True
South Carolina,1465,877.9,572.3,609.0,841.5,697.3,1180.3,-587.1,-892.7,-856.0,-623.5,-767.7,-284.7,False,False,False,False,True
South Dakota,122,103.1,113.4,235.0,79.0,63.5,207.5,-18.9,-8.6,113.0,-43.0,-58.5,85.5,True,False,False,False,False
Tennessee,964,672.6,619.9,633.0,442.0,526.9,607.3,-291.4,-344.1,-331.0,-522.0,-437.1,-356.7,False,False,False,False,False
Texas,5705,3166.6,2717.3,4018.0,2735.7,2946.5,4762.2,-2453.4,-2902.7,-1602.0,-2884.3,-2673.5,-857.8,False,True,False,False,True
Utah,274,247.6,244.1,122.0,212.1,182.4,348.1,-26.4,-29.9,-152.0,-61.9,-91.6,74.1,False,False,False,False,False
Vermont,56,54.0,56.4,55.0,69.5,56.3,64.4,-2.0,0.4,-1.0,13.5,0.3,8.4,True,True,False,True,False
Virginia,2075,2597.0,1852.4,1703.0,1952.6,2171.5,2470.5,522.0,-222.6,-372.0,-122.4,96.5,395.5,True,True,True,True,True
Washington,1494,1592.4,1249.4,1238.0,1255.5,1264.4,1378.2,98.4,-244.6,-256.0,-238.5,-229.6,-115.8,False,False,False,False,False
West Virginia,103,116.3,90.1,75.0,134.3,127.7,110.0,13.3,-12.9,-28.0,31.3,24.7,7.0,True,False,False,False,True
Wisconsin,891,1014.9,802.8,1041.0,828.7,1096.8,869.4,123.9,-88.2,150.0,-62.3,205.8,-21.6,True,False,True,False,True
Wyoming,25,47.4,20.8,13.0,14.3,52.2,26.5,22.4,-4.2,-12.0,-10.7,27.2,1.5,True,True,True,False,True
US,147184,169976.6,123193.5,131866.0,128914.0,120743.5,165878.7,25969.6,-20813.5,-12141.0,-15093.0,-23263.5,21871.7,True,True,True,True,True
