,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,1456,1131.9,2150.1,453.0,542.7,-324.1,694.1,-1003.0,-913.3,False,False,False
Alaska,20,9.0,5.0,,12.7,-11.0,-15.0,,-7.3,False,,True
Arizona,3286,1393.6,1019.0,641.0,711.6,-1892.4,-2267.0,-2645.0,-2574.4,False,False,False
Arkansas,399,372.4,169.1,261.0,146.1,-26.6,-229.9,-138.0,-252.9,False,False,False
California,8408,8037.9,4622.9,4468.0,4007.6,-370.1,-3785.1,-3940.0,-4400.4,False,False,False
Colorado,1794,2668.0,1333.7,1329.0,1551.2,874.0,-460.3,-465.0,-242.8,True,True,True
Connecticut,4413,8506.9,4042.0,3424.0,4019.7,4093.9,-371.0,-989.0,-393.3,True,True,True
Delaware,579,852.9,537.7,339.0,382.6,273.9,-41.3,-240.0,-196.4,True,True,True
District of Columbia,581,1116.6,555.5,498.0,421.1,535.6,-25.5,-83.0,-159.9,True,True,True
Florida,5777,4983.6,3867.9,2384.0,2236.0,-793.4,-1909.1,-3393.0,-3541.0,False,False,False
Georgia,3494,4361.7,4830.5,2431.0,2230.5,867.7,1336.5,-1063.0,-1263.5,False,False,False
Hawaii,26,52.6,24.2,,24.7,26.6,-1.8,,-1.3,True,,True
Idaho,146,158.9,83.1,72.0,104.1,12.9,-62.9,-74.0,-41.9,False,False,False
Illinois,7589,10740.1,6333.4,5236.0,5010.9,3151.1,-1255.6,-2353.0,-2578.1,True,True,True
Indiana,2895,4914.4,6144.3,1857.0,2205.1,2133.4,3363.3,-924.0,-575.9,False,True,True
Iowa,826,966.6,1452.7,1324.0,627.9,140.6,626.7,498.0,-198.1,False,False,False
Kansas,329,416.7,262.9,1343.0,484.9,87.7,-66.1,1014.0,155.9,True,False,False
Kentucky,696,786.6,532.5,349.0,553.7,90.6,-163.5,-347.0,-142.3,False,False,False
Louisiana,3715,5367.6,2821.8,2685.0,2995.0,1652.6,-893.2,-1030.0,-720.0,True,True,True
Maine,119,140.0,84.4,61.0,91.5,21.0,-34.6,-58.0,-27.5,False,False,False
Maryland,3433,5680.0,2188.8,2164.0,2386.6,2247.0,-1244.2,-1269.0,-1046.4,True,True,True
Massachusetts,8510,17106.1,7694.3,7636.0,7473.5,8596.1,-815.7,-874.0,-1036.5,True,True,True
Michigan,6400,12803.6,7070.5,5080.0,6011.5,6608.6,875.5,-1115.0,-183.5,True,True,True
Minnesota,1611,2149.1,2167.4,1553.0,658.9,538.1,556.4,-58.0,-952.1,False,True,False
Mississippi,1478,1204.1,483.3,357.0,619.9,-273.9,-994.7,-1121.0,-858.1,False,False,False
Missouri,1200,1543.0,1200.1,983.0,627.0,446.0,103.1,-114.0,-470.0,True,True,False
Montana,46,39.7,13.2,16.0,23.1,-6.3,-32.8,-30.0,-22.9,False,False,False
Nebraska,316,338.9,375.7,1882.0,279.0,22.9,59.7,1566.0,-37.0,False,False,False
Nevada,732,874.6,478.9,498.0,448.0,142.6,-253.1,-234.0,-284.0,False,False,False
New Hampshire,409,394.3,167.8,168.0,161.6,-14.7,-241.2,-241.0,-247.4,False,False,False
