,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,1999.7,74.6,8264.1,0.0,8.1,447.7,55892.7
OliverWyman-Navigator,51,2331.0,113.6,7780.7,0.0,10.6,590.8,50251.5
Geneva-DetGrowth,51,2500.0,56.9,9284.6,0.0,7.7,431.5,61688.8
USC-SI_kJalpha,51,2709.5,130.6,6466.4,0.0,19.4,1012.9,31473.2
UA-EpiCovDA,51,2947.2,81.0,9899.0,0.0,16.0,758.5,57600.0
UMass-MechBayes,51,3611.3,121.0,15495.2,0.0,4.0,484.0,106929.0
COVIDhub-ensemble,51,3648.2,144.0,16669.5,0.0,9.0,650.5,116964.0
UT-Mobility,51,3850.9,36.0,11986.8,0.0,9.0,992.5,69169.0
CMU-TimeSeries,51,4233.5,144.0,16090.6,0.0,16.0,380.5,108900.0
YYG-ParamSearch,51,4370.1,65.8,17846.7,0.0,11.3,601.6,121980.9
COVIDhub-baseline,51,4480.7,100.0,16623.7,0.0,12.5,676.0,111556.0
CU-select,51,4557.6,144.0,13391.0,0.0,12.5,788.0,71824.0
Baseline,51,5297.7,154.5,20842.2,0.0,12.8,1080.1,144182.9
UCLA-SuEIR,51,5546.3,137.7,23074.7,0.0,13.6,1180.9,161428.2
PSI-DRAFT,50,6365.9,256.0,17405.2,0.0,26.0,1093.0,93636.0
IowaStateLW-STEM,49,6654.3,576.0,15502.0,0.0,25.0,3970.0,80656.0
CovidAnalytics-DELPHI,51,6679.0,81.0,21288.3,0.0,12.5,2168.5,130321.0
MOBS-GLEAM_COVID,50,8563.9,208.4,21311.6,0.0,5.0,3483.7,98336.4
LANL-GrowthRate,51,9438.0,237.3,37901.3,0.0,27.7,1859.3,254565.5
JHU_IDD-CovidSP,51,11955.4,203.3,34776.5,0.6,20.3,1178.7,209129.4
NotreDame-mobility,51,14240.7,228.6,40743.9,0.1,17.0,1974.2,230196.7
USACE-ERDC_SEIR,51,16194.4,189.7,64358.9,0.0,12.2,1998.9,422046.3
IHME-CurveFit,51,19402.8,407.0,48096.3,0.0,38.5,15523.2,235586.4
Covid19Sim-Simulator,51,23920.6,288.5,98553.5,0.6,21.5,2655.3,683160.6
GT-DeepCOVID,45,35644.1,172.9,190578.2,0.0,7.1,3026.4,1321159.5
Karlen-pypm,51,54545.6,136.9,361814.7,0.0,28.1,1043.3,2586628.9
MITCovAlliance-SIR,51,485873.9,563.2,2971818.9,0.0,24.4,15477.2,21227692.5
RobertWalraven-ESG,49,26550341.1,167281.0,96783426.1,7.1,3216.9,1635415.2,477769103.9
