,mean_rank
COVIDhub-ensemble,8.2
OliverWyman-Navigator,8.7
UMass-MechBayes,9.3
YYG-ParamSearch,10.4
LANL-GrowthRate,10.5
USC-SI_kJalpha,11.4
USACE-ERDC_SEIR,11.5
UCLA-SuEIR,11.9
Covid19Sim-Simulator,11.9
CovidAnalytics-DELPHI,12.5
Auquan-SEIR,12.6
NotreDame-mobility,12.8
MOBS-GLEAM_COVID,12.9
IHME-CurveFit,13.1
UT-Mobility,13.3
COVIDhub-baseline,13.3
IowaStateLW-STEM,13.5
UA-EpiCovDA,13.5
CU-select,14.9
PSI-DRAFT,15.3
RobertWalraven-ESG,16.0
JHU_IDD-CovidSP,16.5
GT-DeepCOVID,16.5
CovidActNow-SEIR_CAN,17.3
MITCovAlliance-SIR,17.3
