,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1456,1016.1,309.1,332.0,-439.9,-1146.9,-1124.0,False,False
Alaska,20,9.0,,,-11.0,,,,
Arizona,3286,1445.0,767.1,590.0,-1841.0,-2518.9,-2696.0,False,False
Arkansas,399,205.3,164.1,183.0,-193.7,-234.9,-216.0,False,False
California,8408,8770.7,2035.4,3446.0,362.7,-6372.6,-4962.0,False,False
Colorado,1794,4133.7,1052.3,1518.0,2339.7,-741.7,-276.0,True,True
Connecticut,4413,12171.1,3366.5,3691.0,7758.1,-1046.5,-722.0,True,True
Delaware,579,801.4,156.6,477.0,222.4,-422.4,-102.0,False,True
District of Columbia,581,1232.3,255.2,452.0,651.3,-325.8,-129.0,True,True
Florida,5777,4945.0,1921.0,2145.0,-832.0,-3856.0,-3632.0,False,False
Georgia,3494,3860.3,2258.9,1968.0,366.3,-1235.1,-1526.0,False,False
Hawaii,26,65.4,22.7,,39.4,-3.3,,True,
Idaho,146,210.3,66.0,102.0,64.3,-80.0,-44.0,False,True
Illinois,7589,10200.1,2292.2,4874.0,2611.1,-5296.8,-2715.0,False,False
Indiana,2895,4040.1,1017.9,1456.0,1145.1,-1877.1,-1439.0,False,False
Iowa,826,670.9,329.5,522.0,-155.1,-496.5,-304.0,False,False
Kansas,329,481.0,354.3,870.0,152.0,25.3,541.0,True,False
Kentucky,696,1005.1,516.6,331.0,309.1,-179.4,-365.0,True,False
Louisiana,3715,7296.1,2032.5,2971.0,3581.1,-1682.5,-744.0,True,True
Maine,119,255.7,66.5,70.0,136.7,-52.5,-49.0,True,True
Maryland,3433,6682.9,1196.5,2210.0,3249.9,-2236.5,-1223.0,True,True
Massachusetts,8510,18237.6,5633.2,6597.0,9727.6,-2876.8,-1913.0,True,True
Michigan,6400,15195.0,3818.1,5140.0,8985.0,-2391.9,-1070.0,True,True
Minnesota,1611,2046.3,728.4,515.0,435.3,-882.6,-1096.0,False,False
Mississippi,1478,1101.3,380.0,372.0,-376.7,-1098.0,-1106.0,False,False
Missouri,1200,1363.0,637.5,676.0,254.0,-471.5,-433.0,False,False
Montana,46,65.4,26.8,20.0,19.4,-19.2,-26.0,True,False
Nebraska,316,416.0,381.2,775.0,100.0,65.2,459.0,True,False
Nevada,732,823.1,259.4,520.0,91.1,-472.6,-212.0,False,False
New Hampshire,409,342.9,71.6,119.0,-66.1,-337.4,-290.0,False,False
New Jersey,15776,26200.9,7051.0,13082.0,11816.9,-7333.0,-1302.0,True,True
New Mexico,607,664.7,210.0,191.0,57.7,-397.0,-416.0,False,False
New York,32612,69673.3,24087.6,31621.0,37702.3,-7883.4,-350.0,True,True
North Carolina,1811,1918.3,375.4,533.0,107.3,-1435.6,-1278.0,False,False
North Dakota,99,119.9,258.6,52.0,20.9,159.6,-47.0,False,False
Ohio,3297,4032.3,835.5,1788.0,735.3,-2461.5,-1509.0,False,False
Oklahoma,496,902.1,,299.0,406.1,,-197.0,,True
Oregon,285,323.4,124.8,148.0,38.4,-160.2,-137.0,False,False
Pennsylvania,7124,8758.9,2318.2,3966.0,1634.9,-4805.8,-3158.0,False,False
Rhode Island,1002,1203.1,594.2,920.0,201.1,-407.8,-82.0,False,True
South Carolina,1465,868.3,350.7,367.0,-596.7,-1114.3,-1098.0,False,False
South Dakota,122,62.4,44.7,232.0,-59.6,-77.3,110.0,False,False
Tennessee,964,605.3,247.5,1251.0,-358.7,-716.5,287.0,False,True
Texas,5705,2721.0,1447.2,3269.0,-2897.0,-4170.8,-2349.0,False,True
Utah,274,221.0,421.6,232.0,-53.0,147.6,-42.0,False,True
Vermont,56,148.9,54.2,53.0,92.9,-1.8,-3.0,True,True
Virginia,2075,2660.4,633.8,1529.0,585.4,-1441.2,-546.0,False,True
Washington,1494,2201.9,859.8,1254.0,707.9,-634.2,-240.0,True,True
West Virginia,103,239.7,38.4,294.0,136.7,-64.6,191.0,True,False
Wisconsin,891,940.6,331.1,459.0,49.6,-559.9,-432.0,False,False
Wyoming,25,71.3,64.2,13.0,46.3,39.2,-12.0,True,True
US,147184,234058.1,72860.2,,89275.1,-71922.8,,True,
