,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Michigan,6400,6410.6,6415.0,6415.0,6446.0,6447.0,,6370.3,6468.0,6486.0,,6425.9,6504.2,6462.0,6401.4,6441.0,6446.0,6424.7,6726.0,6650.0,6479.5,6447.8,6421.0,6384.0,,7277.3,,6404.0,6409.8,6435.0,6417.5,6509.3,6457.3,6424.0,6421.2,6421.0,10.6,15.0,15.0,46.0,47.0,,-29.7,68.0,86.0,,25.9,104.2,62.0,1.4,41.0,46.0,24.7,326.0,250.0,79.5,47.8,21.0,-16.0,,877.3,,4.0,9.8,35.0,17.5,109.3,57.3,24.0,21.2,21.0,False,False,False,False,,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,,True,True,False,False,False,False,False,False,False
Minnesota,1611,1616.1,1621.0,1619.0,1622.0,1627.0,,1661.9,1627.0,1619.6,,1622.0,1600.0,1627.0,1604.4,1625.7,1619.3,1619.6,1674.8,1628.3,1649.0,1595.9,1622.2,1604.0,,,,1619.0,1615.5,1617.0,1618.6,1626.4,1623.3,1610.0,1618.4,,5.1,10.0,8.0,11.0,16.0,,50.9,16.0,8.6,,11.0,-11.0,16.0,-6.6,14.7,8.3,8.6,63.8,17.3,38.0,-15.1,11.2,-7.0,,,,8.0,4.5,6.0,7.6,15.4,12.3,-1.0,7.4,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,True,False,False,False,False,True,False,
Mississippi,1478,1445.9,1464.0,1462.0,1446.0,1393.0,,1459.8,1464.0,1435.3,,1468.4,1496.7,1417.0,1447.0,1451.5,1443.9,1459.8,1493.0,1466.4,,1441.3,1474.2,1404.0,,3367.8,,1461.0,1444.5,1465.0,1444.3,1433.7,1491.2,1480.5,1454.8,1379.0,-32.1,-14.0,-16.0,-32.0,-85.0,,-18.2,-14.0,-42.7,,-9.6,18.7,-61.0,-31.0,-26.5,-34.1,-18.2,15.0,-11.6,,-36.7,-3.8,-74.0,,1889.8,,-17.0,-33.5,-13.0,-33.7,-44.3,13.2,2.5,-23.2,-99.0,True,True,True,False,,True,True,False,,True,True,False,True,True,False,True,True,True,,False,True,False,,False,,True,False,True,False,False,True,True,True,False
Missouri,1200,1173.7,1182.0,1181.0,1183.0,1202.0,,1199.2,1213.0,1179.3,,1181.8,1201.1,1160.0,1193.8,1195.6,1184.6,1178.8,1236.1,1213.4,,1193.7,1187.1,1156.0,,945.0,,1182.0,1178.1,1183.0,1176.2,1193.8,1182.1,1180.0,1175.6,,-26.3,-18.0,-19.0,-17.0,2.0,,-0.8,13.0,-20.7,,-18.2,1.1,-40.0,-6.2,-4.4,-15.4,-21.2,36.1,13.4,,-6.3,-12.9,-44.0,,-255.0,,-18.0,-21.9,-17.0,-23.8,-6.2,-17.9,-20.0,-24.4,,True,True,True,True,,True,True,True,,True,True,False,True,True,True,True,False,True,,True,True,False,,False,,True,True,True,True,True,True,True,True,
Montana,46,43.9,45.0,45.0,44.0,38.0,,33.8,44.0,46.3,,43.3,41.4,41.0,45.2,53.9,43.4,41.9,44.4,46.0,,50.5,47.5,40.0,,0.0,,41.0,43.7,45.0,39.5,40.2,50.7,50.0,43.4,,-2.1,-1.0,-1.0,-2.0,-8.0,,-12.2,-2.0,0.3,,-2.7,-4.6,-5.0,-0.8,7.9,-2.6,-4.1,-1.6,0.0,,4.5,1.5,-6.0,,-46.0,,-5.0,-2.3,-1.0,-6.5,-5.8,4.7,4.0,-2.6,,True,True,True,False,,False,True,True,,False,False,False,True,False,False,False,True,True,,False,True,False,,False,,False,False,True,False,False,False,False,False,
Nebraska,316,314.7,315.0,317.0,314.0,317.0,,320.3,305.0,334.2,,315.6,285.8,311.0,323.2,308.6,309.2,309.2,318.3,315.9,,328.6,316.1,314.0,,937.4,,308.0,313.9,311.0,315.3,322.9,322.0,323.0,314.2,,-1.3,-1.0,1.0,-2.0,1.0,,4.3,-11.0,18.2,,-0.4,-30.2,-5.0,7.2,-7.4,-6.8,-6.8,2.3,-0.1,,12.6,0.1,-2.0,,621.4,,-8.0,-2.1,-5.0,-0.7,6.9,6.0,7.0,-1.8,,True,True,False,True,,False,False,False,,True,False,False,False,False,False,False,False,True,,False,True,False,,False,,False,False,False,True,False,False,False,False,
Nevada,732,693.3,702.0,700.0,707.0,709.0,,685.3,737.0,716.1,,713.5,753.1,729.0,728.2,699.6,705.3,708.3,656.9,714.3,,718.3,704.5,714.0,,1395.7,,698.0,692.4,708.0,672.7,710.6,733.5,734.0,700.4,682.0,-38.7,-30.0,-32.0,-25.0,-23.0,,-46.7,5.0,-15.9,,-18.5,21.1,-3.0,-3.8,-32.4,-26.7,-23.7,-75.1,-17.7,,-13.7,-27.5,-18.0,,663.7,,-34.0,-39.6,-24.0,-59.3,-21.4,1.5,2.0,-31.6,-50.0,True,True,True,True,,False,True,True,,True,True,True,True,True,True,True,False,True,,True,True,True,,False,,True,False,True,False,True,True,True,True,False
New Hampshire,409,404.0,401.0,401.0,405.0,396.0,,415.3,406.0,406.6,,402.4,404.2,397.0,405.3,400.5,409.6,401.8,416.3,411.3,,405.4,402.8,408.0,,0.0,,405.0,404.6,404.0,407.4,405.6,399.9,409.0,404.2,,-5.0,-8.0,-8.0,-4.0,-13.0,,6.3,-3.0,-2.4,,-6.6,-4.8,-12.0,-3.7,-8.5,0.6,-7.2,7.3,2.3,,-3.6,-6.2,-1.0,,-409.0,,-4.0,-4.4,-5.0,-1.6,-3.4,-9.1,0.0,-4.8,,False,False,True,False,,False,True,True,,False,True,False,True,False,True,False,False,True,,True,False,True,,False,,True,True,False,True,True,False,True,True,
New Jersey,15776,15861.1,15877.0,15873.0,15847.0,15771.0,,15650.5,15825.0,16380.1,,15888.8,16063.1,15888.0,15790.2,15856.9,15811.4,15807.1,15522.7,16089.6,,15870.3,15846.1,15854.0,,808.4,,15750.0,15843.9,15808.0,,15758.4,15846.1,15904.0,15813.0,14131.0,85.1,101.0,97.0,71.0,-5.0,,-125.5,49.0,604.1,,112.8,287.1,112.0,14.2,80.9,35.4,31.1,-253.3,313.6,,94.3,70.1,78.0,,-14967.6,,-26.0,67.9,32.0,,-17.6,70.1,128.0,37.0,-1645.0,False,False,True,True,,False,True,False,,False,False,False,True,True,True,True,False,False,,False,True,True,,False,,True,True,True,,True,True,False,True,False
New Mexico,607,593.3,595.0,595.0,596.0,587.0,,598.8,605.0,601.7,,597.0,627.2,605.0,611.2,593.8,594.5,596.1,617.1,603.1,,587.5,596.3,585.0,,375.1,,596.0,593.5,596.0,593.6,593.1,597.8,598.0,595.4,,-13.7,-12.0,-12.0,-11.0,-20.0,,-8.2,-2.0,-5.3,,-10.0,20.2,-2.0,4.2,-13.2,-12.5,-10.9,10.1,-3.9,,-19.5,-10.7,-22.0,,-231.9,,-11.0,-13.5,-11.0,-13.4,-13.9,-9.2,-9.0,-11.6,,True,True,True,False,,True,True,True,,True,False,True,True,True,True,True,True,True,,False,True,False,,False,,True,True,True,True,False,True,True,True,
New York,32612,32619.3,32611.0,32613.0,32623.0,32614.0,,32369.2,32558.0,32688.5,,32596.8,32862.2,32773.0,32266.8,32507.4,32637.9,32613.8,27983.6,32545.3,,32240.8,32614.9,32574.0,,37389.7,,32551.0,32608.3,32613.0,,32662.9,32602.4,32716.0,32595.3,32643.0,28.3,20.0,22.0,32.0,23.0,,-221.8,-33.0,97.5,,5.8,271.2,182.0,-324.2,-83.6,46.9,22.8,-4607.4,-45.7,,-350.2,23.9,-17.0,,4798.7,,-40.0,17.3,22.0,,71.9,11.4,125.0,4.3,52.0,True,True,False,True,,False,False,False,,True,False,False,False,False,False,True,False,False,,False,True,True,,False,,False,True,True,,False,True,False,True,False
North Carolina,1811,1763.4,1787.0,1783.0,1786.0,1809.0,,1799.5,1918.0,1742.0,2135.7,1805.7,1680.8,1698.0,1858.4,1786.3,1735.5,1783.6,1726.2,1785.9,,1737.9,1791.5,1701.0,,3499.1,,1741.0,1763.9,1757.0,1736.8,1855.7,1794.4,1767.0,1761.3,1692.0,-47.6,-24.0,-28.0,-25.0,-2.0,,-11.5,107.0,-69.0,324.7,-5.3,-130.2,-113.0,47.4,-24.7,-75.5,-27.4,-84.8,-25.1,,-73.1,-19.5,-110.0,,1688.1,,-70.0,-47.1,-54.0,-74.2,44.7,-16.6,-44.0,-49.7,-119.0,True,True,True,True,,True,False,False,False,True,False,False,True,True,False,True,False,True,,False,True,False,,False,,False,True,False,False,True,True,True,False,False
North Dakota,99,96.3,93.0,93.0,95.0,90.0,,94.0,94.0,96.4,,93.3,103.1,91.0,102.4,94.0,97.3,93.9,98.0,92.9,,99.3,95.4,92.0,,84.3,,94.0,94.5,99.0,,102.5,97.2,97.0,96.5,,-2.7,-6.0,-6.0,-4.0,-9.0,,-5.0,-5.0,-2.6,,-5.7,4.1,-8.0,3.4,-5.0,-1.7,-5.1,-1.0,-6.1,,0.3,-3.6,-7.0,,-14.7,,-5.0,-4.5,0.0,,3.5,-1.8,-2.0,-2.5,,False,False,False,False,,False,False,True,,False,False,False,False,False,True,False,True,False,,True,False,False,,False,,False,False,True,,False,True,True,True,
Ohio,3297,3273.4,3231.0,3228.0,3279.0,3273.0,,3343.4,3415.0,,,3265.6,3309.6,3182.0,3347.6,3246.4,3261.4,3285.8,3477.1,3384.3,3222.0,3203.5,3271.2,3199.0,,1691.4,,3326.0,3276.9,3308.0,3241.6,3323.3,3287.9,3305.0,3296.6,3204.0,-23.6,-66.0,-69.0,-18.0,-24.0,,46.4,118.0,,,-31.4,12.6,-115.0,50.6,-50.6,-35.6,-11.2,180.1,87.3,-75.0,-93.5,-25.8,-98.0,,-1605.6,,29.0,-20.1,11.0,-55.4,26.3,-9.1,8.0,-0.4,-93.0,False,False,True,False,,False,False,,,False,True,False,False,False,False,True,False,False,False,False,False,False,,False,,False,True,True,False,False,True,True,True,False
Oklahoma,496,475.9,482.0,481.0,483.0,499.0,,500.0,502.0,489.0,,492.5,474.1,468.0,514.7,477.1,465.4,482.9,475.1,480.9,,464.3,482.9,466.0,,666.5,,465.0,474.6,479.0,,502.4,489.7,490.0,477.0,,-20.1,-14.0,-15.0,-13.0,3.0,,4.0,6.0,-7.0,,-3.5,-21.9,-28.0,18.7,-18.9,-30.6,-13.1,-20.9,-15.1,,-31.7,-13.1,-30.0,,170.5,,-31.0,-21.4,-17.0,,6.4,-6.3,-6.0,-19.0,,True,True,True,True,,True,True,True,,True,False,False,True,True,False,True,False,True,,False,True,False,,False,,False,False,True,,True,True,True,True,
Oregon,285,282.3,282.0,282.0,281.0,264.0,,270.8,285.0,277.8,,282.2,281.4,274.0,304.0,285.0,279.9,283.7,286.8,280.5,,287.6,284.2,281.0,,49.9,,283.0,280.9,284.0,,293.2,283.0,291.0,281.5,,-2.7,-3.0,-3.0,-4.0,-21.0,,-14.2,0.0,-7.2,,-2.8,-3.6,-11.0,19.0,0.0,-5.1,-1.3,1.8,-4.5,,2.6,-0.8,-4.0,,-235.1,,-2.0,-4.1,-1.0,,8.2,-2.0,6.0,-3.5,,False,False,False,False,,False,True,False,,False,False,False,False,True,False,True,True,False,,True,True,False,,False,,True,False,True,,False,True,False,False,
Pennsylvania,7124,7123.1,7129.0,7133.0,7143.0,7113.0,,7124.8,7174.0,7115.2,,7134.0,7179.8,7109.0,7140.3,7140.4,7127.9,7131.0,7316.1,7358.6,,7157.3,7131.5,7097.0,,7771.2,,7107.0,7122.4,7137.0,7132.7,7203.6,7148.5,7157.0,7132.1,7102.0,-0.9,5.0,9.0,19.0,-11.0,,0.8,50.0,-8.8,,10.0,55.8,-15.0,16.3,16.4,3.9,7.0,192.1,234.6,,33.3,7.5,-27.0,,647.2,,-17.0,-1.6,13.0,8.7,79.6,24.5,33.0,8.1,-22.0,False,False,False,False,,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Rhode Island,1002,1002.0,1002.0,1004.0,1009.0,1014.0,,1017.0,1003.0,1009.0,,1003.3,992.8,1037.0,980.0,1002.2,1012.4,995.6,1001.2,1049.9,,1006.9,1005.1,1000.0,,283.8,,995.0,1001.9,999.0,1012.1,1005.7,1008.9,999.0,1000.4,,1.0,1.0,3.0,8.0,13.0,,16.0,2.0,8.0,,2.3,-8.2,36.0,-21.0,1.2,11.4,-5.4,0.2,48.9,,5.9,4.1,-1.0,,-717.2,,-6.0,0.9,-2.0,11.1,4.7,7.9,-2.0,-0.6,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,,False,,False,True,False,False,False,False,False,True,
South Carolina,1465,1321.3,1322.0,1319.0,1324.0,1292.0,,1128.4,1331.0,1323.7,,1415.8,1274.7,1220.0,1335.5,1659.2,1334.6,1335.6,1134.9,1336.2,,1311.8,1358.3,1344.5,,2070.7,,1326.0,1315.7,1330.0,,1340.8,1331.8,1406.0,1290.4,1164.0,-143.7,-143.0,-146.0,-141.0,-173.0,,-336.6,-134.0,-141.3,,-49.2,-190.3,-245.0,-129.5,194.2,-130.4,-129.4,-330.1,-128.8,,-153.2,-106.7,-120.5,,605.7,,-139.0,-149.3,-135.0,,-124.2,-133.2,-59.0,-174.6,-301.0,True,False,True,False,,False,True,True,,True,False,False,True,False,True,True,False,True,,False,True,True,,False,,True,False,True,,True,True,True,False,False
South Dakota,122,125.7,123.0,123.0,125.0,117.0,,109.2,123.0,123.7,,125.8,123.8,127.0,131.6,124.7,125.6,122.8,122.0,123.1,,127.2,125.9,122.0,,22.9,,126.0,124.3,124.0,124.2,142.7,123.6,132.0,125.3,,3.7,1.0,1.0,3.0,-5.0,,-12.8,1.0,1.7,,3.8,1.8,5.0,9.6,2.7,3.6,0.8,-0.0,1.1,,5.2,3.9,0.0,,-99.1,,4.0,2.3,2.0,2.2,20.7,1.6,10.0,3.3,,True,True,True,False,,False,True,True,,False,True,False,False,True,True,True,True,True,,False,False,True,,False,,False,True,True,True,False,True,False,True,
Tennessee,964,930.4,939.0,938.0,942.0,990.0,,947.0,976.0,963.3,,961.8,955.0,911.0,986.4,958.6,919.5,967.7,967.7,963.5,,899.5,947.3,889.0,,2414.1,,925.0,928.7,949.0,916.7,959.7,985.9,970.0,933.7,865.0,-33.6,-25.0,-26.0,-22.0,26.0,,-17.0,12.0,-0.7,,-2.2,-9.0,-53.0,22.4,-5.4,-44.5,3.7,3.7,-0.5,,-64.5,-16.7,-75.0,,1450.1,,-39.0,-35.3,-15.0,-47.3,-4.3,21.9,6.0,-30.3,-99.0,True,True,True,True,,True,True,True,,True,True,False,True,True,False,True,True,True,,False,True,False,,False,,False,False,True,False,True,True,True,True,False
Texas,5712,4694.3,4744.0,4740.0,4732.0,4806.0,,4247.5,4713.0,,,5038.8,4761.7,4790.0,4616.7,5303.4,4569.5,4837.6,3920.2,4781.3,,4594.2,4849.8,4768.0,,26622.0,4992.0,4834.0,4672.2,4747.0,4784.2,4424.3,4922.8,5063.5,4724.7,4047.0,-337.7,-288.0,-292.0,-300.0,-226.0,,-784.5,-319.0,,,6.8,-270.3,-242.0,-415.3,271.4,-462.5,-194.4,-1111.8,-250.7,,-437.8,-182.2,-264.0,,21590.0,-40.0,-198.0,-359.8,-285.0,-247.8,-607.7,-109.2,31.5,-307.3,-985.0,True,True,True,True,,False,True,,,True,True,True,False,True,False,True,False,True,,False,True,True,,False,True,True,False,True,True,False,True,True,True,False
Utah,274,267.0,262.0,274.0,273.0,262.0,,326.2,276.0,289.2,,275.0,289.9,259.0,283.4,283.6,268.5,268.2,251.9,271.9,,278.5,272.6,259.0,,858.2,,265.0,267.0,268.0,258.2,279.9,268.3,277.0,268.2,,-7.0,-12.0,0.0,-1.0,-12.0,,52.2,2.0,15.2,,1.0,15.9,-15.0,9.4,9.6,-5.5,-5.8,-22.1,-2.1,,4.5,-1.4,-15.0,,584.2,,-9.0,-7.0,-6.0,-15.8,5.9,-5.7,3.0,-5.8,,False,True,True,False,,False,True,False,,True,False,False,False,False,True,True,False,True,,True,True,False,,False,,False,True,True,False,True,True,True,True,
Vermont,56,56.0,56.0,56.0,56.0,56.0,,58.3,56.0,56.6,,56.0,56.3,56.0,57.3,56.2,56.6,56.0,58.4,56.6,,57.1,56.1,56.0,,58.7,,56.0,56.0,56.0,,57.0,56.0,57.0,56.4,,0.0,0.0,0.0,0.0,0.0,,2.3,0.0,0.6,,0.0,0.3,0.0,1.3,0.2,0.6,0.0,2.4,0.6,,1.1,0.1,0.0,,2.7,,0.0,0.0,0.0,,1.0,0.0,1.0,0.4,,True,True,True,True,,False,True,False,,True,False,True,False,False,False,True,False,False,,False,False,True,,False,,True,True,True,,False,True,False,False,
Virginia,2075,2079.3,2091.0,2088.0,2101.0,2061.0,,2048.5,2101.0,2121.5,,2091.4,2223.7,2075.0,2154.8,2178.2,2116.7,2095.2,2170.6,2184.3,,2109.1,2093.1,2073.0,,2094.0,,2085.0,2078.2,2109.0,2099.3,2105.1,2121.2,2109.0,2079.2,2093.0,4.3,16.0,13.0,26.0,-14.0,,-26.5,26.0,46.5,,16.4,148.7,0.0,79.8,103.2,41.7,20.2,95.6,109.3,,34.1,18.1,-2.0,,19.0,,10.0,3.2,34.0,24.3,30.1,46.2,34.0,4.2,18.0,False,False,False,False,,False,False,False,,False,False,True,False,False,False,False,False,False,,False,False,True,,False,,False,True,False,False,False,False,False,True,False
Washington,1494,1454.7,1497.0,1464.0,1499.0,1486.0,,1496.2,1521.0,1513.8,,1504.5,1544.5,1500.0,1525.8,1494.6,1490.2,1500.3,1581.9,1509.0,,1550.5,1493.6,1481.0,,279.9,,1490.0,1457.3,1492.0,1467.1,1513.8,1507.6,1543.0,1476.4,1516.0,-39.3,3.0,-30.0,5.0,-8.0,,2.2,27.0,19.8,,10.5,50.5,6.0,31.8,0.6,-3.8,6.3,87.9,15.0,,56.5,-0.4,-13.0,,-1214.1,,-4.0,-36.7,-2.0,-26.9,19.8,13.6,49.0,-17.6,22.0,True,True,True,True,,True,True,True,,True,False,True,True,True,True,True,False,True,,False,True,True,,False,,True,True,True,True,True,True,False,True,True
West Virginia,103,103.4,104.0,104.0,105.0,100.0,,109.3,111.0,103.1,,105.3,101.2,102.0,114.3,106.3,103.4,101.4,108.8,106.4,,104.4,104.0,100.0,,138.5,,103.0,103.3,104.0,,105.4,107.1,107.0,103.2,,0.4,1.0,1.0,2.0,-3.0,,6.3,8.0,0.1,,2.3,-1.8,-1.0,11.3,3.3,0.4,-1.6,5.8,3.4,,1.4,1.0,-3.0,,35.5,,0.0,0.3,1.0,,2.4,4.1,4.0,0.2,,False,False,False,False,,False,False,True,,False,False,False,False,False,True,False,False,False,,False,False,False,,False,,True,True,False,,False,False,False,True,
Wisconsin,933,864.6,866.0,865.0,880.0,894.0,,921.7,899.0,877.9,,875.5,856.5,848.0,921.4,885.5,868.9,871.8,914.7,889.4,894.0,894.6,866.3,868.0,,1605.3,,862.0,865.7,872.0,869.2,913.4,876.4,860.0,869.7,,-26.4,-25.0,-26.0,-11.0,3.0,,30.7,8.0,-13.1,,-15.5,-34.5,-43.0,30.4,-5.5,-22.1,-19.2,23.7,-1.6,3.0,3.6,-24.7,-23.0,,714.3,,-29.0,-25.3,-19.0,-21.8,22.4,-14.6,-31.0,-21.3,,True,True,True,True,,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,,False,,False,True,True,True,True,True,False,True,
Wyoming,25,28.4,26.0,27.0,26.0,24.0,,27.0,27.0,25.2,,26.6,21.1,24.0,29.5,25.7,26.0,25.1,26.1,25.8,,28.7,26.9,24.0,,47.8,,26.0,28.1,27.0,,28.3,26.5,28.0,27.1,,3.4,1.0,2.0,1.0,-1.0,,2.0,2.0,0.2,,1.6,-3.9,-1.0,4.5,0.7,1.0,0.1,1.1,0.8,,3.7,1.9,-1.0,,22.8,,1.0,3.1,2.0,,3.3,1.5,3.0,2.1,,True,True,True,True,,True,True,True,,True,False,True,False,True,True,True,True,True,,False,True,True,,False,,True,True,True,,True,True,True,True,
US,147233,145101.7,,145461.0,145613.0,145885.0,146757.0,142100.1,146766.0,146291.7,,146643.8,145693.3,145351.0,145066.0,,144708.1,147060.4,139246.1,147454.5,,143918.5,145923.1,144527.0,146269.9,145875.6,144736.0,145300.0,145100.4,145722.0,144408.8,146311.9,146700.0,147099.0,145214.2,139921.0,-1387.3,,-1028.0,-876.0,-604.0,268.0,-4388.9,277.0,-197.3,,154.8,-795.7,-1138.0,-1423.0,,-1780.9,571.4,-7242.9,965.5,,-2570.5,-565.9,-1962.0,-219.1,-613.4,-1753.0,-1189.0,-1388.6,-767.0,-2080.2,-177.1,211.0,610.0,-1274.8,-6568.0,,True,True,True,True,False,True,True,,True,True,True,False,,False,True,False,True,,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False
