,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Idaho,146,133.6,137.0,136.0,138.0,135.0,,160.1,145.0,139.4,,147.4,126.9,134.0,144.0,130.4,133.5,136.4,122.2,131.6,,129.7,137.8,133.0,,171.6,,140.0,132.6,135.0,,144.9,141.0,151.0,136.3,,-12.4,-9.0,-10.0,-8.0,-11.0,,14.1,-1.0,-6.6,,1.4,-19.1,-12.0,-2.0,-15.6,-12.5,-9.6,-23.8,-14.4,,-16.3,-8.2,-13.0,,25.6,,-6.0,-13.4,-11.0,,-1.1,-5.0,5.0,-9.7,,True,True,True,True,,False,True,True,,True,False,True,True,False,False,True,False,False,,False,True,False,,False,,True,False,True,,True,True,True,True,
Illinois,7589,7573.7,7602.0,7597.0,7627.0,7635.0,,7389.7,7515.0,7701.9,,7577.2,7429.5,7639.0,7455.5,7581.2,7595.2,7599.2,7667.7,7652.3,7842.0,7556.5,7601.2,7597.0,,8552.5,,7590.0,7579.0,7588.0,7693.8,7612.8,7766.4,7578.0,7573.6,7202.0,-15.3,13.0,8.0,38.0,46.0,,-199.3,-74.0,112.9,,-11.8,-159.5,50.0,-133.5,-7.8,6.2,10.2,78.7,63.3,253.0,-32.5,12.2,8.0,,963.5,,1.0,-10.0,-1.0,104.8,23.8,177.4,-11.0,-15.4,-387.0,True,True,False,False,,False,False,False,,True,False,False,False,True,True,True,False,False,False,False,True,True,,False,,True,True,True,False,False,False,True,False,False
Indiana,2895,2875.1,2884.0,2884.0,2895.0,2860.0,,2859.5,2890.0,2895.8,,2903.9,2734.3,2826.0,2716.1,2922.2,2904.7,2886.5,3012.3,2991.7,2921.0,2859.3,2888.3,2855.0,,3923.8,,2883.0,2874.6,2897.0,2872.8,2954.3,2917.6,2945.0,2878.7,2915.0,-19.9,-11.0,-11.0,0.0,-35.0,,-35.5,-5.0,0.8,,8.9,-160.7,-69.0,-178.9,27.2,9.7,-8.5,117.3,96.7,26.0,-35.7,-6.7,-40.0,,1028.8,,-12.0,-20.4,2.0,-22.2,59.3,22.6,50.0,-16.3,20.0,True,True,True,False,,False,True,True,,True,False,False,False,False,True,True,False,False,False,False,True,False,,False,,True,False,True,False,False,False,False,True,False
Iowa,826,828.1,830.0,830.0,825.0,831.0,,830.1,831.0,824.0,,828.1,803.7,802.0,841.3,839.3,812.2,827.1,824.1,848.4,,805.8,831.1,797.0,,1022.7,,833.0,825.7,824.0,821.6,848.6,831.2,832.0,821.9,,2.1,4.0,4.0,-1.0,5.0,,4.1,5.0,-2.0,,2.1,-22.3,-24.0,15.3,13.3,-13.8,1.1,-1.9,22.4,,-20.2,5.1,-29.0,,196.7,,7.0,-0.3,-2.0,-4.4,22.6,5.2,6.0,-4.1,,False,False,True,False,,False,False,True,,True,False,False,False,False,False,True,True,False,,False,False,False,,False,,False,True,True,False,False,False,False,False,
Kansas,329,319.3,321.0,321.0,325.0,341.0,,352.2,322.0,,,322.2,315.8,329.0,343.3,318.5,320.1,323.9,333.8,321.3,,321.6,321.6,313.0,,263.3,,314.0,319.2,323.0,,332.4,319.4,326.0,321.5,,-9.7,-8.0,-8.0,-4.0,12.0,,23.2,-7.0,,,-6.8,-13.2,0.0,14.3,-10.5,-8.9,-5.1,4.8,-7.7,,-7.4,-7.4,-16.0,,-65.7,,-15.0,-9.8,-6.0,,3.4,-9.6,-3.0,-7.5,,True,True,True,False,,False,True,,,True,False,True,False,False,True,True,True,True,,True,True,False,,False,,False,False,True,,True,True,True,True,
Kentucky,696,708.6,712.0,712.0,709.0,686.0,,670.3,720.0,725.3,,725.0,709.8,680.0,732.4,707.7,736.3,714.5,772.0,708.1,716.0,709.9,721.8,686.0,,150.8,,686.0,707.7,718.0,685.2,697.1,730.4,728.0,710.1,,12.6,16.0,16.0,13.0,-10.0,,-25.7,24.0,29.3,,29.0,13.8,-16.0,36.4,11.7,40.3,18.5,76.0,12.1,20.0,13.9,25.8,-10.0,,-545.2,,-10.0,11.7,22.0,-10.8,1.1,34.4,32.0,14.1,,False,False,False,True,,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,True,,False,,True,True,False,True,True,False,False,False,
Louisiana,3715,3651.9,3617.0,3615.0,3656.0,3638.0,,3550.9,3785.0,3646.6,,3618.6,3680.6,3649.0,3569.3,3768.7,3669.8,3678.7,3588.5,3694.4,,3584.9,3647.1,3534.0,,5723.6,,3704.0,3654.4,3692.0,,3784.6,3583.4,3687.0,3676.9,3565.0,-63.1,-98.0,-100.0,-59.0,-77.0,,-164.1,70.0,-68.4,,-96.4,-34.4,-66.0,-145.7,53.7,-45.2,-36.3,-126.5,-20.6,,-130.1,-67.9,-181.0,,2008.6,,-11.0,-60.6,-23.0,,69.6,-131.6,-28.0,-38.1,-150.0,False,False,True,False,,False,False,False,,False,True,False,False,True,True,True,False,True,,False,False,False,,False,,True,True,True,,False,False,True,True,False
Maine,119,119.6,122.0,122.0,120.0,116.0,,115.5,119.0,120.6,,121.8,118.0,120.0,122.7,119.6,118.2,117.2,120.0,119.1,,116.9,120.7,118.0,,184.7,,119.0,119.4,120.0,,122.2,120.2,121.0,119.7,,0.6,3.0,3.0,1.0,-3.0,,-3.5,0.0,1.6,,2.8,-1.0,1.0,3.7,0.6,-0.8,-1.8,1.0,0.1,,-2.1,1.7,-1.0,,65.7,,0.0,0.4,1.0,,3.2,1.2,2.0,0.7,,False,False,False,False,,False,True,False,,False,False,False,False,False,False,False,False,True,,False,False,False,,False,,True,True,False,,False,False,False,False,
Maryland,3433,3426.7,3426.0,3426.0,3452.0,3464.0,,3404.8,3415.0,3464.8,,3427.0,3486.5,3472.0,3448.4,3405.1,3464.2,3444.0,3454.4,3553.2,,3426.4,3442.0,3413.0,,1938.2,,3436.0,3426.0,3444.0,3415.0,3477.7,3446.2,3502.0,3433.2,3453.0,-6.3,-7.0,-7.0,19.0,31.0,,-28.2,-18.0,31.8,,-6.0,53.5,39.0,15.4,-27.9,31.2,11.0,21.4,120.2,,-6.6,9.0,-20.0,,-1494.8,,3.0,-7.0,11.0,-18.0,44.7,13.2,69.0,0.2,20.0,False,False,False,False,,False,False,False,,True,False,False,False,False,False,False,False,False,,False,False,False,,False,,True,False,False,False,False,False,False,True,False
Massachusetts,8510,8521.9,8524.0,8528.0,8522.0,8506.0,,8336.2,8466.0,8582.4,,8531.5,8648.3,8483.0,8487.2,8509.7,8596.8,8509.4,8294.5,8572.7,,8486.2,8538.7,8480.0,,8547.0,,8539.0,8517.5,8515.0,8530.7,8510.2,8516.1,8599.0,8517.5,8451.0,11.9,14.0,18.0,12.0,-4.0,,-173.8,-44.0,72.4,,21.5,138.3,-27.0,-22.8,-0.3,86.8,-0.6,-215.5,62.7,,-23.8,28.7,-30.0,,37.0,,29.0,7.5,5.0,20.7,0.2,6.1,89.0,7.5,-59.0,False,False,False,True,,False,False,False,,False,False,False,False,True,False,True,False,False,,False,False,False,,False,,False,True,True,False,True,True,False,True,False
