,mean_rank
UMass-MechBayes,9.6
LNQ-ens1,9.9
COVIDhub-ensemble,10.3
OliverWyman-Navigator,10.6
Geneva-DetGrowth,10.9
YYG-ParamSearch,11.5
UA-EpiCovDA,11.6
CMU-TimeSeries,11.7
CovidAnalytics-DELPHI,12.2
UT-Mobility,12.3
USC-SI_kJalpha,12.4
COVIDhub-baseline,12.7
MOBS-GLEAM_COVID,12.9
UCLA-SuEIR,13.0
Karlen-pypm,13.8
GT-DeepCOVID,14.1
CU-select,14.3
LANL-GrowthRate,14.5
PSI-DRAFT,14.8
USACE-ERDC_SEIR,14.9
JHU_IDD-CovidSP,15.6
NotreDame-mobility,16.5
IowaStateLW-STEM,17.3
Covid19Sim-Simulator,17.4
IHME-CurveFit,18.7
MITCovAlliance-SIR,19.1
RobertWalraven-ESG,25.7
