,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1456,1117.1,1013.0,998.4,828.0,995.2,959.5,1135.0,1409.3,-338.9,-443.0,-457.6,-628.0,-460.8,-496.5,-321.0,-46.7,False,False,False,False,False,True,True
Alaska,20,10.0,14.4,10.4,,14.9,10.9,10.9,11.0,-10.0,-5.6,-9.6,,-5.1,-9.1,-9.1,-9.0,True,True,,True,True,True,True
Arizona,3286,2038.4,1360.9,3709.6,1718.0,2880.8,2284.5,2969.4,2281.2,-1247.6,-1925.1,423.6,-1568.0,-405.2,-1001.5,-316.6,-1004.8,False,True,False,True,True,True,True
Arkansas,399,298.0,317.9,634.4,265.0,304.9,318.2,437.8,349.2,-101.0,-81.1,235.4,-134.0,-94.1,-80.8,38.8,-49.8,True,False,False,True,True,True,True
California,8408,7786.3,6496.7,8163.2,6524.0,6287.0,6746.7,8303.9,8347.4,-621.7,-1911.3,-244.8,-1884.0,-2121.0,-1661.3,-104.1,-60.6,False,True,False,False,False,True,True
Colorado,1794,2089.3,1708.2,2008.1,1721.0,1802.9,2255.2,1700.1,2237.5,295.3,-85.8,214.1,-73.0,8.9,461.2,-93.9,443.5,True,True,True,True,False,True,False
Connecticut,4413,4941.9,4400.5,4304.1,4422.0,4651.2,4896.9,4080.1,4748.5,528.9,-12.5,-108.9,9.0,238.2,483.9,-332.9,335.5,True,True,True,True,True,True,True
Delaware,579,617.4,438.3,457.5,464.0,461.2,495.0,435.0,575.5,38.4,-140.7,-121.5,-115.0,-117.8,-84.0,-144.0,-3.5,False,False,False,False,False,False,True
District of Columbia,581,646.7,539.7,579.1,643.0,593.9,763.0,560.4,616.9,65.7,-41.3,-1.9,62.0,12.9,182.0,-20.6,35.9,True,True,True,True,False,True,True
Florida,5777,4407.4,3196.8,4076.4,3875.0,4078.1,4189.8,3597.1,4884.5,-1369.6,-2580.2,-1700.6,-1902.0,-1698.9,-1587.2,-2179.9,-892.5,False,False,False,False,False,False,True
