,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1456,1227.6,1153.0,1243.3,1318.8,2423.0,1254.9,1669.0,1140.5,,1275.3,1116.0,1464.0,1119.4,1513.8,1151.2,,1171.2,1481.5,1165.0,,1076.0,1134.0,1177.6,1232.0,1173.7,1114.5,1368.5,1326.4,,-228.4,-303.0,-212.7,-137.2,967.0,-201.1,213.0,-315.5,,-180.7,-340.0,8.0,-336.6,57.8,-304.8,,-284.8,25.5,-291.0,,-380.0,-322.0,-278.4,-224.0,-282.3,-341.5,-87.5,-129.6,,False,True,True,False,True,True,False,,True,False,True,False,True,False,,False,True,False,,False,False,False,True,False,False,True,True,
Alaska,20,21.7,18.0,22.0,17.3,14.0,18.6,20.0,19.4,,13.6,,34.5,18.5,12.7,17.5,,37.9,20.6,14.0,,14.0,20.0,14.7,22.0,21.8,18.5,14.0,19.4,,1.7,-2.0,2.0,-2.7,-6.0,-1.4,0.0,-0.6,,-6.4,,14.5,-1.5,-7.3,-2.5,,17.9,0.6,-6.0,,-6.0,0.0,-5.3,2.0,1.8,-1.5,-6.0,-0.6,,False,False,False,False,True,True,True,,False,,False,True,False,False,,False,True,False,,False,True,False,False,False,True,False,True,
Arizona,3286,2539.0,2524.0,2516.2,2878.4,4491.0,3404.4,4416.0,2739.8,,2753.1,2019.0,2992.0,2858.7,1870.6,2461.7,,2595.0,2835.4,2551.0,,2005.0,2914.0,2481.1,3701.0,2929.6,2978.4,2994.0,2673.1,2495.7,-747.0,-762.0,-769.8,-407.6,1205.0,118.4,1130.0,-546.2,,-532.9,-1267.0,-294.0,-427.3,-1415.4,-824.3,,-691.0,-450.6,-735.0,,-1281.0,-372.0,-804.9,415.0,-356.4,-307.6,-292.0,-612.9,-790.3,False,False,True,False,True,False,True,,True,False,True,True,False,False,,True,True,True,,False,True,False,True,True,True,True,True,False
Arkansas,399,414.4,442.0,399.0,516.7,1304.0,424.7,552.0,421.4,,451.4,317.0,522.0,400.1,328.3,476.4,,486.8,520.8,401.0,,439.0,418.0,351.5,486.0,444.5,338.6,594.5,443.7,,15.4,43.0,0.0,117.7,905.0,25.7,153.0,22.4,,52.4,-82.0,123.0,1.1,-70.7,77.4,,87.8,121.8,2.0,,40.0,19.0,-47.5,87.0,45.5,-60.4,195.5,44.7,,False,True,False,False,False,False,False,,False,False,False,True,False,False,,False,False,True,,False,False,False,False,False,False,False,False,
California,8408,7540.4,7464.0,7519.4,7979.4,10987.0,7787.3,9993.0,7870.1,,7669.9,6708.0,10126.8,7178.0,9999.9,7295.5,,7073.3,7865.7,7455.5,,7218.0,7223.0,7417.4,8042.0,7863.2,7267.2,8130.0,7985.0,7742.7,-867.6,-944.0,-888.6,-428.6,2579.0,-620.7,1585.0,-537.9,,-738.1,-1700.0,1718.8,-1230.0,1591.9,-1112.5,,-1334.7,-542.3,-952.5,,-1190.0,-1185.0,-990.6,-366.0,-544.8,-1140.8,-278.0,-423.0,-665.3,False,False,True,False,True,False,True,,True,False,False,False,False,False,,False,True,False,,False,False,False,True,True,False,True,True,True
Colorado,1794,1787.9,1827.0,1800.6,1823.6,1867.0,1820.1,1763.0,1922.1,,1805.1,1796.0,1968.7,1855.3,1811.8,1822.5,,1754.0,1830.7,1781.5,,1858.0,1770.0,1786.7,1829.0,1872.9,1879.9,1774.0,1844.9,,-6.1,33.0,6.6,29.6,73.0,26.1,-31.0,128.1,,11.1,2.0,174.7,61.3,17.8,28.5,,-40.0,36.7,-12.5,,64.0,-24.0,-7.3,35.0,78.9,85.9,-20.0,50.9,,False,False,False,False,False,False,False,,False,True,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Connecticut,4413,4532.0,4521.0,4599.6,4452.7,4408.0,4473.7,4386.0,4491.8,,4448.4,4411.0,4603.0,4475.2,4553.5,4525.1,,4442.3,4403.8,4439.0,,4410.0,4431.0,4467.5,4414.0,4546.9,4409.7,4452.0,4497.6,,119.0,108.0,186.6,39.7,-5.0,60.7,-27.0,78.8,,35.4,-2.0,190.0,62.2,140.5,112.1,,29.3,-9.2,26.0,,-3.0,18.0,54.5,1.0,133.9,-3.3,39.0,84.6,,True,False,True,True,True,True,True,,True,True,False,True,False,True,,True,True,True,,True,True,True,True,False,True,True,True,
Delaware,579,784.7,593.0,799.0,579.2,578.0,512.3,533.0,,,549.1,580.0,702.9,569.4,530.9,616.1,,512.8,546.3,552.0,,604.0,518.0,543.2,679.0,532.9,625.8,598.0,562.9,,205.7,14.0,220.0,0.2,-1.0,-66.7,-46.0,,,-29.9,1.0,123.9,-9.6,-48.1,37.1,,-66.2,-32.7,-27.0,,25.0,-61.0,-35.8,100.0,-46.1,46.8,19.0,-16.1,,True,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,
District of Columbia,581,615.6,597.0,616.4,591.2,580.0,578.3,569.0,610.0,,598.9,627.0,641.8,580.4,553.5,,,585.3,579.7,558.0,,595.0,585.0,597.2,578.0,591.5,572.2,592.0,602.2,,34.6,16.0,35.4,10.2,-1.0,-2.7,-12.0,29.0,,17.9,46.0,60.8,-0.6,-27.5,,,4.3,-1.3,-23.0,,14.0,4.0,16.2,-3.0,10.5,-8.8,11.0,21.2,,True,False,True,True,True,True,True,,True,False,False,True,True,,,True,True,True,,True,True,True,True,True,True,True,True,
Florida,5777,4414.1,4528.0,4374.0,5872.9,18404.0,6938.6,5544.0,,,5152.4,4196.0,5304.6,5443.4,5423.8,4030.7,,4198.6,5578.8,4050.0,,4036.0,7533.0,4635.0,10256.0,7751.8,9354.1,5340.0,4830.3,4470.7,-1362.9,-1249.0,-1403.0,95.9,12627.0,1161.6,-233.0,,,-624.6,-1581.0,-472.4,-333.6,-353.2,-1746.3,,-1578.4,-198.2,-1727.0,,-1741.0,1756.0,-1142.0,4479.0,1974.8,3577.1,-437.0,-946.7,-1306.3,True,False,True,False,True,True,,,True,False,True,True,True,False,,False,True,False,,False,False,True,False,False,False,True,True,True
Georgia,3494,3298.7,3304.0,3311.5,3561.2,4663.0,3523.7,3681.0,3250.3,4300.3,3676.5,3477.0,3650.4,3583.8,3317.9,3253.1,,3072.2,3665.4,3323.5,,3299.0,3635.0,3400.7,4596.0,3118.4,3937.8,3240.0,3594.9,3602.7,-195.3,-190.0,-182.5,67.2,1169.0,29.7,187.0,-243.7,806.3,182.5,-17.0,156.4,89.8,-176.1,-240.9,,-421.8,171.4,-170.5,,-195.0,141.0,-93.3,1102.0,-375.6,443.8,-254.0,100.9,108.7,True,True,True,False,True,True,False,False,True,True,True,True,True,False,,False,True,True,,True,True,True,False,False,False,False,True,True
