,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1456,1159.6,1291.4,1721.0,1294.1,1036.0,1078.5,,1185.3,1066.0,,1267.7,1237.4,1260.9,-296.4,-164.6,265.0,-161.9,-420.0,-377.5,,-270.7,-390.0,,-188.3,-218.6,-195.1,True,True,True,False,False,,True,False,,True,True,True
Alaska,20,12.0,18.3,17.0,14.5,,15.1,,19.3,12.0,,13.1,22.8,15.8,-8.0,-1.7,-3.0,-5.5,,-4.9,,-0.7,-8.0,,-6.9,2.8,-4.2,True,True,True,,True,,True,False,,True,True,True
Arizona,3286,2116.4,3404.9,4069.0,2908.3,2441.0,3201.4,,2990.5,1731.0,,2482.2,3759.7,2405.4,-1169.6,118.9,783.0,-377.7,-845.0,-84.6,,-295.5,-1555.0,,-803.8,473.7,-880.6,True,True,True,True,True,,True,False,,True,True,True
Arkansas,399,448.4,399.8,441.0,532.9,444.0,389.1,,309.9,360.0,,392.1,444.7,425.4,49.4,0.8,42.0,133.9,45.0,-9.9,,-89.1,-39.0,,-6.9,45.7,26.4,True,True,False,True,True,,False,True,,True,True,True
California,8408,7535.6,7559.3,9200.0,8025.9,7215.0,7686.7,,6584.1,6948.0,,7174.4,8324.2,7765.3,-872.4,-848.7,792.0,-382.1,-1193.0,-721.3,,-1823.9,-1460.0,,-1233.6,-83.8,-642.7,True,True,True,False,True,,False,False,,False,True,True
Colorado,1794,1885.0,1832.2,1770.0,1755.3,1758.0,1868.9,,1793.5,1839.0,,1811.6,1886.6,1914.6,91.0,38.2,-24.0,-38.7,-36.0,74.9,,-0.5,45.0,,17.6,92.6,120.6,True,True,True,True,True,,True,True,,True,False,False
Connecticut,4413,4546.6,4509.3,4384.0,4444.9,4423.0,4479.2,,4365.6,4466.0,,4535.8,4489.7,4488.2,133.6,96.3,-29.0,31.9,10.0,66.2,,-47.4,53.0,,122.8,76.7,75.2,True,True,True,True,True,,True,True,,True,True,True
Delaware,579,498.1,504.3,463.0,486.1,473.0,515.6,,462.7,474.0,,493.7,468.3,503.8,-80.9,-74.7,-116.0,-92.9,-106.0,-63.4,,-116.3,-105.0,,-85.3,-110.7,-75.2,True,False,False,False,True,,False,False,,False,False,True
District of Columbia,581,620.4,588.8,564.0,610.2,636.0,560.5,,560.6,558.0,,613.7,594.4,593.9,39.4,7.8,-17.0,29.2,55.0,-20.5,,-20.4,-23.0,,32.7,13.4,12.9,True,True,True,False,True,,True,True,,True,True,True
Florida,5777,4278.1,5631.4,4711.0,5539.3,4603.0,5012.1,,5569.9,3881.0,,4163.5,5384.8,4773.2,-1498.9,-145.6,-1066.0,-237.7,-1174.0,-764.9,,-207.1,-1896.0,,-1613.5,-392.2,-1003.8,True,True,True,True,True,,True,False,,False,True,True
