,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1456,1250.7,1007.4,820.2,731.0,1072.2,1353.5,1531.5,-205.3,-448.6,-635.8,-725.0,-383.8,-102.5,75.5,False,False,False,False,True,True
Alaska,20,10.0,11.6,10.4,,11.4,9.7,11.4,-10.0,-8.4,-9.6,,-8.6,-10.3,-8.6,True,True,,True,False,True
Arizona,3286,1739.9,1195.6,2393.9,1508.0,1826.7,2128.3,2554.7,-1546.1,-2090.4,-892.1,-1778.0,-1459.3,-1157.7,-731.3,False,True,False,True,True,True
Arkansas,399,266.6,269.0,512.3,432.0,254.5,306.2,310.2,-132.4,-130.0,113.3,33.0,-144.5,-92.8,-88.8,True,True,True,False,True,True
California,8408,7464.1,6043.9,11824.0,7129.0,7828.2,9081.8,8221.6,-943.9,-2364.1,3416.0,-1279.0,-579.8,673.8,-186.4,False,False,False,True,True,True
Colorado,1794,2332.9,1660.8,3284.5,1930.0,2303.2,1803.3,2812.4,538.9,-133.2,1490.5,136.0,509.2,9.3,1018.4,True,False,True,True,True,False
Connecticut,4413,5916.1,4460.4,4249.5,4353.0,4975.2,4104.6,4943.0,1503.1,47.4,-163.5,-60.0,562.2,-308.4,530.0,True,True,True,True,True,True
Delaware,579,680.3,433.7,412.4,458.0,498.4,432.4,667.0,101.3,-145.3,-166.6,-121.0,-80.6,-146.6,88.0,False,False,False,True,False,True
District of Columbia,581,733.1,536.4,669.3,705.0,802.8,547.1,670.3,152.1,-44.6,88.3,124.0,221.8,-33.9,89.3,True,True,True,False,True,True
Florida,5777,4132.4,2999.4,3598.7,3300.0,4526.9,3257.9,4770.3,-1644.6,-2777.6,-2178.3,-2477.0,-1250.1,-2519.1,-1006.7,False,False,False,True,False,True
Georgia,3494,3828.7,2530.1,2734.5,2608.0,2773.3,2602.1,4363.7,334.7,-963.9,-759.5,-886.0,-720.7,-891.9,869.7,False,False,False,False,False,False
Hawaii,26,17.0,17.8,17.5,,18.7,17.8,20.1,-9.0,-8.2,-8.5,,-7.3,-8.2,-5.9,True,True,,True,True,True
Idaho,146,105.6,108.1,97.5,85.0,93.6,86.6,97.8,-40.4,-37.9,-48.5,-61.0,-52.4,-59.4,-48.2,True,False,False,False,False,False
Illinois,7589,9585.7,6803.8,6363.3,7812.0,8420.4,6581.1,8312.0,1996.7,-785.2,-1225.7,223.0,831.4,-1007.9,723.0,True,True,True,True,True,True
