,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1456,1332.7,1328.1,1361.1,1364.0,,1311.2,1471.0,,,1418.0,1425.5,1349.2,1503.4,1321.0,,1336.0,1372.1,1292.0,,1178.1,,1309.0,1335.4,1389.0,,1422.8,1425.9,1387.0,1383.1,1282.0,-123.3,-127.9,-94.9,-92.0,,-144.8,15.0,,,-38.0,-30.5,-106.8,47.4,-135.0,,-120.0,-83.9,-164.0,,-277.9,,-147.0,-120.6,-67.0,,-33.2,-30.1,-69.0,-72.9,-174.0,False,True,True,,False,True,,,True,True,True,True,False,,True,True,False,,False,,False,True,True,,True,True,True,True,False
Alaska,20,18.9,19.0,20.8,17.0,,22.0,21.0,20.3,,,21.9,25.2,13.7,21.0,,21.7,20.1,21.0,,18.5,,20.0,18.9,24.0,,25.0,22.7,22.0,19.6,,-1.1,-1.0,0.8,-3.0,,2.0,1.0,0.3,,,1.9,5.2,-6.3,1.0,,1.7,0.1,1.0,,-1.5,,0.0,-1.1,4.0,,5.0,2.7,2.0,-0.4,,True,True,False,,False,True,True,,,False,False,False,True,,False,True,True,,False,,True,True,False,,False,False,False,True,
Arizona,3286,3002.1,2819.0,2927.7,2770.0,,3029.8,3237.0,3011.1,,2855.0,2903.9,2663.4,1892.2,2789.3,,2978.3,2962.1,2693.0,,2606.7,,2952.0,2989.9,3003.0,,3012.5,2867.7,3511.5,2993.4,2700.0,-283.9,-467.0,-358.3,-516.0,,-256.2,-49.0,-274.9,,-431.0,-382.1,-622.6,-1393.8,-496.7,,-307.7,-323.9,-593.0,,-679.3,,-334.0,-296.1,-283.0,,-273.5,-418.3,225.5,-292.6,-586.0,False,False,False,,True,True,True,,False,False,False,False,False,,False,False,False,,False,,False,False,True,,True,False,True,False,False
Arkansas,399,384.1,385.0,397.8,389.0,,416.6,419.0,373.9,,401.0,489.8,380.8,329.4,402.0,,395.9,407.8,359.0,,378.3,,378.0,378.4,391.0,,405.4,409.9,399.0,401.8,,-14.9,-14.0,-1.2,-10.0,,17.6,20.0,-25.1,,2.0,90.8,-18.2,-69.6,3.0,,-3.1,8.8,-40.0,,-20.7,,-21.0,-20.6,-8.0,,6.4,10.9,0.0,2.8,,True,True,True,,False,False,False,,True,False,False,False,True,,True,True,False,,False,,False,False,True,,True,True,True,True,
California,8408,8310.1,8412.9,8353.6,8805.0,,8169.6,9157.0,8532.9,,8357.0,8956.0,7799.8,9980.2,8038.1,,7946.0,8819.7,7844.0,,9062.4,,8182.0,8271.8,8408.0,,8997.0,8944.0,8482.5,8361.4,7846.0,-97.9,4.9,-54.4,397.0,,-238.4,749.0,124.9,,-51.0,548.0,-608.2,1572.2,-369.9,,-462.0,411.7,-564.0,,654.4,,-226.0,-136.2,0.0,,589.0,536.0,74.5,-46.6,-562.0,True,True,False,,False,False,False,,True,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,True,True,False
Colorado,1794,1769.6,1775.0,1804.4,1861.0,,1803.7,1829.0,1830.0,,1840.0,1811.9,1803.5,1805.6,1805.4,,1815.6,1827.0,1735.0,,1793.9,,1814.0,1771.5,1792.0,,1848.1,1802.3,1772.0,1791.8,,-24.4,-19.0,10.4,67.0,,9.7,35.0,36.0,,46.0,17.9,9.5,11.6,11.4,,21.6,33.0,-59.0,,-0.1,,20.0,-22.5,-2.0,,54.1,8.3,-22.0,-2.2,,True,True,False,,True,False,False,,False,True,True,True,True,,True,False,False,,True,,True,True,True,,False,True,True,True,
Connecticut,4413,4372.1,4392.4,4395.3,4378.0,,4421.9,4373.0,4504.2,,4426.0,4394.3,4387.2,4533.8,4426.5,,4373.6,4370.9,4424.0,,4469.0,,4365.0,4374.3,4363.0,,4382.0,4394.9,4374.0,4374.4,,-40.9,-20.6,-17.7,-35.0,,8.9,-40.0,91.2,,13.0,-18.7,-25.8,120.8,13.5,,-39.4,-42.1,11.0,,56.0,,-48.0,-38.7,-50.0,,-31.0,-18.1,-39.0,-38.6,,True,True,True,,True,True,False,,True,True,True,False,True,,True,False,True,,False,,False,True,False,,True,True,True,True,
Delaware,579,526.3,528.4,538.1,536.0,,555.4,559.0,,,558.0,548.7,530.4,527.5,546.8,,520.8,529.0,577.0,,525.0,,524.0,532.5,531.0,,537.4,576.3,528.0,533.7,,-52.7,-50.6,-40.9,-43.0,,-23.6,-20.0,,,-21.0,-30.3,-48.6,-51.5,-32.2,,-58.2,-50.0,-2.0,,-54.0,,-55.0,-46.5,-48.0,,-41.6,-2.7,-51.0,-45.3,,True,True,True,,True,True,,,True,True,True,True,True,,False,True,True,,False,,False,True,True,,True,True,True,True,
District of Columbia,581,584.7,590.1,587.5,587.0,,576.3,580.0,602.5,,589.0,583.6,596.0,551.7,,,582.6,595.7,597.0,,596.9,,584.0,583.8,585.0,,583.1,594.0,584.0,583.5,,3.7,9.1,6.5,6.0,,-4.7,-1.0,21.5,,8.0,2.6,15.0,-29.3,,,1.6,14.7,16.0,,15.9,,3.0,2.8,4.0,,2.1,13.0,3.0,2.5,,False,False,False,,False,True,False,,False,True,False,False,,,True,False,False,,False,,True,True,False,,True,False,True,True,
Florida,5777,5191.0,5187.0,5469.4,5940.0,,6212.0,6478.0,5436.1,,5212.0,5298.0,5785.3,5297.4,4811.9,,5082.7,5416.0,4687.0,,4691.1,,5086.0,5371.4,5720.0,,5882.7,6401.4,6041.5,5380.5,5012.0,-586.0,-590.0,-307.6,163.0,,435.0,701.0,-340.9,,-565.0,-479.0,8.3,-479.6,-965.1,,-694.3,-361.0,-1090.0,,-1085.9,,-691.0,-405.6,-57.0,,105.7,624.4,264.5,-396.5,-765.0,False,True,True,,True,False,True,,True,True,True,True,False,,False,True,False,,False,,False,True,True,,True,False,True,True,False
