,actual_deaths,Baseline,IHME-CurveFit,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR
Alabama,1456,1511.3,1507.2,765.6,55.3,51.2,-690.4,True,False
Alaska,20,20.9,5.0,14.6,0.9,-15.0,-5.4,False,False
Arizona,3286,2425.1,2833.1,1162.8,-860.9,-452.9,-2123.2,True,False
Arkansas,399,253.9,208.5,283.8,-145.1,-190.5,-115.2,False,True
California,8408,8144.6,6011.2,7028.5,-263.4,-2396.8,-1379.5,False,False
Colorado,1794,2371.6,1669.0,1824.1,577.6,-125.0,30.1,True,True
Connecticut,4413,8732.1,4567.8,4431.4,4319.1,154.8,18.4,True,True
Delaware,579,698.7,411.6,457.9,119.7,-167.4,-121.1,False,False
District of Columbia,581,1104.7,536.3,576.6,523.7,-44.7,-4.4,True,True
Florida,5777,5434.1,5303.2,2746.3,-342.9,-473.8,-3030.7,False,False
Georgia,3494,3816.3,3560.6,2826.3,322.3,66.6,-667.7,True,False
Hawaii,26,17.0,19.0,25.3,-9.0,-7.0,-0.7,True,True
Idaho,146,99.6,75.1,111.9,-46.4,-70.9,-34.1,False,True
Illinois,7589,11961.4,7368.3,6736.9,4372.4,-220.7,-852.1,True,True
Indiana,2895,5590.3,4049.6,2756.7,2695.3,1154.6,-138.3,True,True
Iowa,826,1144.4,897.2,2200.7,318.4,71.2,1374.7,True,False
Kansas,329,499.7,405.7,978.8,170.7,76.7,649.8,True,False
Kentucky,696,857.7,696.8,715.2,161.7,0.8,19.2,True,True
Louisiana,3715,5260.9,3231.1,3490.2,1545.9,-483.9,-224.8,True,True
Maine,119,140.0,91.6,130.1,21.0,-27.4,11.1,False,True
Maryland,3433,5585.1,2600.5,3070.9,2152.1,-832.5,-362.1,True,True
Massachusetts,8510,15564.7,7542.0,7567.8,7054.7,-968.0,-942.2,True,True
Michigan,6400,10005.3,6212.0,6614.0,3833.3,40.0,442.0,True,True
Minnesota,1611,2315.1,2056.9,1746.6,704.1,445.9,135.6,True,True
Mississippi,1478,1808.9,1223.6,763.7,330.9,-254.4,-714.3,True,False
Missouri,1200,1827.6,1920.6,838.2,729.6,822.6,-259.8,False,True
Montana,46,16.0,14.0,22.9,-30.0,-32.0,-23.1,False,True
Nebraska,316,220.3,217.3,806.1,-95.7,-98.7,490.1,False,False
Nevada,732,874.6,510.3,513.8,142.6,-221.7,-218.2,False,False
New Hampshire,409,643.3,226.8,286.4,234.3,-182.2,-122.6,True,True
New Jersey,15776,24293.1,14740.9,13894.8,8517.1,-1035.1,-1881.2,True,True
New Mexico,607,732.0,381.3,347.1,125.0,-225.7,-259.9,False,False
New York,32608,47627.9,31619.1,38740.0,16018.9,10.1,7131.0,True,True
North Carolina,1811,1975.4,1186.2,995.0,164.4,-624.8,-816.0,False,False
North Dakota,99,143.6,80.9,98.9,44.6,-18.1,-0.1,True,True
Ohio,3297,4619.9,2940.4,2414.2,1322.9,-356.6,-882.8,True,True
Oklahoma,496,641.1,469.4,483.7,145.1,-26.6,-12.3,True,True
Oregon,285,322.4,203.8,246.8,37.4,-81.2,-38.2,False,False
Pennsylvania,7124,15596.9,10631.6,5389.2,8472.9,3507.6,-1734.8,True,True
Rhode Island,1002,1529.4,675.0,878.1,527.4,-327.0,-123.9,True,True
South Carolina,1465,939.0,741.6,557.1,-526.0,-723.4,-907.9,False,False
South Dakota,122,175.1,161.5,68.8,53.1,39.5,-53.2,True,False
Tennessee,964,601.3,505.5,529.2,-362.7,-458.5,-434.8,False,False
Texas,4990,3439.1,2536.3,2203.1,-1550.9,-2453.7,-2786.9,False,False
Utah,274,251.6,148.9,134.7,-22.4,-125.1,-139.3,False,False
Vermont,56,53.0,52.3,78.1,-3.0,-3.7,22.1,False,False
Virginia,2075,2782.4,1393.7,1863.8,707.4,-681.3,-211.2,True,True
Washington,1494,1984.1,1120.1,1396.4,490.1,-373.9,-97.6,True,True
West Virginia,103,119.1,78.2,87.1,16.1,-24.8,-15.9,False,True
Wisconsin,891,1062.3,671.3,995.6,171.3,-219.7,104.6,False,True
Wyoming,25,7.0,6.0,18.4,-18.0,-19.0,-6.6,False,True
US,146465,208118.0,136316.0,129185.5,62982.0,-8820.0,-15950.5,True,True
