,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4102,3315.3,3630.4,3188.0,,3067.4,-786.7,-471.6,-914.0,,-1034.6,True,False,,False
Alaska,176,69.7,147.8,,,62.9,-106.3,-28.2,,,-113.1,True,,,False
Arizona,7322,6620.6,6709.6,7184.0,,6565.6,-701.4,-612.4,-138.0,,-756.4,True,True,,False
Arkansas,2911,2099.6,2310.2,2726.0,,1766.7,-811.4,-600.8,-185.0,,-1144.3,True,True,,False
California,20977,22696.6,17788.5,21842.0,,19773.4,1719.6,-3188.5,865.0,,-1203.6,False,True,,True
Colorado,3871,2193.7,2301.2,2404.0,,2124.9,-1677.3,-1569.8,-1467.0,,-1746.1,True,True,,False
Connecticut,5363,4634.3,4581.8,4652.0,,4570.2,-728.7,-781.2,-711.0,,-792.8,False,True,,False
Delaware,815,692.1,753.6,666.0,,659.2,-122.9,-61.4,-149.0,,-155.8,True,False,,False
District of Columbia,713,680.3,660.1,659.0,,647.4,-32.7,-52.9,-54.0,,-65.6,False,False,,False
Florida,19785,22366.6,17528.2,18864.0,,18642.0,2581.6,-2256.8,-921.0,,-1143.0,True,True,,True
Georgia,10075,10138.7,8660.0,9224.0,,9205.7,63.7,-1415.0,-851.0,,-869.3,False,False,,False
Hawaii,271,279.0,199.9,,,234.8,8.0,-71.1,,,-36.2,False,,,False
Idaho,1169,800.7,756.8,746.0,,679.3,-368.3,-412.2,-423.0,,-489.7,False,False,,False
Illinois,15232,10482.4,9915.9,10145.0,,9840.2,-4749.6,-5316.1,-5087.0,,-5391.8,False,False,,False
Indiana,6758,4389.4,4305.3,4848.0,,4034.3,-2368.6,-2452.7,-1910.0,,-2723.7,False,True,,False
Iowa,3208,1901.4,1928.0,2146.0,,1782.7,-1306.6,-1280.0,-1062.0,,-1425.3,True,True,,False
Kansas,2072,1132.3,983.7,715.0,,898.1,-939.7,-1088.3,-1357.0,,-1173.9,False,False,,False
Kentucky,2192,1882.9,1942.8,2048.0,,1782.8,-309.1,-249.2,-144.0,,-409.2,True,True,,False
Louisiana,6767,7060.7,5991.8,6646.0,,7492.3,293.7,-775.2,-121.0,,725.3,False,True,,False
Maine,257,161.7,156.8,242.0,,144.2,-95.3,-100.2,-15.0,,-112.8,False,True,,False
Maryland,5100,4339.4,4545.1,4126.0,,4136.1,-760.6,-554.9,-974.0,,-963.9,True,False,,False
Massachusetts,11307,10302.9,9572.8,9731.0,,9566.6,-1004.1,-1734.2,-1576.0,,-1740.4,False,False,,False
Michigan,11195,8261.0,8219.4,7904.0,,7520.2,-2934.0,-2975.6,-3291.0,,-3674.8,False,False,,False
Minnesota,4418,2768.1,2574.1,2957.0,,2645.3,-1649.9,-1843.9,-1461.0,,-1772.7,False,True,,False
Mississippi,4180,4149.9,3414.3,5220.0,,3744.6,-30.1,-765.7,1040.0,,-435.4,False,False,,False
Missouri,4602,2322.4,3371.1,2482.0,,2269.9,-2279.6,-1230.9,-2120.0,,-2332.1,True,True,,False
Montana,816,366.4,380.3,611.0,,241.8,-449.6,-435.7,-205.0,,-574.2,True,True,,False
Nebraska,1365,819.7,868.8,987.0,,583.5,-545.3,-496.2,-378.0,,-781.5,True,True,,False
Nevada,2520,2262.0,1887.4,2193.0,,2402.4,-258.0,-632.6,-327.0,,-117.6,False,False,,True
New Hampshire,600,474.6,492.6,520.0,,482.6,-125.4,-107.4,-80.0,,-117.4,True,True,,True
New Jersey,17732,16571.0,16417.6,16792.0,,16334.1,-1161.0,-1314.4,-940.0,,-1397.9,False,True,,False
New Mexico,1913,1080.1,1048.8,1260.0,,952.5,-832.9,-864.2,-653.0,,-960.5,False,True,,False
New York,35504,33485.9,33491.6,34026.0,,33428.8,-2018.1,-2012.4,-1478.0,,-2075.2,True,True,,False
North Carolina,5796,5134.9,4786.8,5866.0,,4406.3,-661.1,-1009.2,70.0,,-1389.7,False,True,,False
North Dakota,1152,322.3,581.1,414.0,,222.7,-829.7,-570.9,-738.0,,-929.3,True,True,,False
Ohio,7477,6420.7,5974.9,7252.0,,5811.7,-1056.3,-1502.1,-225.0,,-1665.3,False,True,,False
