,total_deaths_2020-10-25,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,226066,290940.0,298158,65711.0,72092,-6381.0,-8.9%
Covid19Sim-Simulator,226066,286001.3,298158,60772.3,72092,-11319.7,-15.7%
BPagano-RtDriven,226066,285017.1,298158,59788.1,72092,-12303.9,-17.1%
USACE-ERDC_SEIR,226066,313811.9,298158,88582.9,72092,16490.9,22.9%
IHME-CurveFit,226066,280466.0,298158,55237.0,72092,-16855.0,-23.4%
JHUAPL-Bucky,226066,279970.3,298158,54741.3,72092,-17350.7,-24.1%
USC-SI_kJalpha,226066,279447.0,298158,54218.0,72092,-17874.0,-24.8%
QJHong-Encounter,226066,277245.3,298158,52016.3,72092,-20075.7,-27.8%
JCB-PRM,226066,276287.3,298158,51058.3,72092,-21033.7,-29.2%
IBF-TimeSeries,226066,273967.0,298158,48738.0,72092,-23354.0,-32.4%
COVIDhub-baseline,226066,264142.2,298158,38913.2,72092,-33178.8,-46.0%
Baseline,226066,263320.4,298158,38091.4,72092,-34000.6,-47.2%
IowaStateLW-STEM,226066,259914.0,298158,34685.0,72092,-37407.0,-51.9%
CovidAnalytics-DELPHI,226066,255783.0,298158,30554.0,72092,-41538.0,-57.6%
STH-3PU,226066,255224.0,298158,29995.0,72092,-42097.0,-58.4%
UCLA-SuEIR,226066,255075.5,298158,29846.5,72092,-42245.5,-58.6%
WalmartLabsML-LogForecasting,226066,247228.5,298158,21999.5,72092,-50092.5,-69.5%
LANL-GrowthRate,226066,244294.6,298158,19065.6,72092,-53026.4,-73.6%
