,mean_rank
Google_Harvard-CPF,13.9
MSRA-DeepST,13.9
COVIDhub-ensemble,14.0
Karlen-pypm,14.5
LNQ-ens1,15.4
UMass-MechBayes,15.5
Caltech-CS156,15.6
CMU-TimeSeries,15.7
UA-EpiCovDA,16.7
USC-SI_kJalpha,16.8
OliverWyman-Navigator,17.6
MIT_CritData-GBCF,17.6
GT-DeepCOVID,18.4
CU-select,18.4
IowaStateLW-STEM,18.5
JCB-PRM,18.6
UCSD_NEU-DeepGLEAM,20.1
JHU_CSSE-DECOM,20.3
BPagano-RtDriven,20.5
SteveMcConnell-CovidComplete,21.1
MOBS-GLEAM_COVID,21.1
CovidAnalytics-DELPHI,21.1
LANL-GrowthRate,21.7
Columbia_UNC-SurvCon,22.0
DDS-NBDS,22.3
epiforecasts-ensemble1,22.5
JHU_IDD-CovidSP,22.6
COVIDhub-baseline,23.7
Covid19Sim-Simulator,23.9
CEID-Walk,24.0
UCLA-SuEIR,24.1
UCSB-ACTS,24.1
IHME-CurveFit,24.3
JHUAPL-Bucky,25.1
RobertWalraven-ESG,25.6
UT-Mobility,27.6
PSI-DRAFT,27.9
UMich-RidgeTfReg,28.4
TTU-squider,28.9
NotreDame-mobility,30.0
USACE-ERDC_SEIR,30.1
WalmartLabsML-LogForecasting,38.9
