,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4102,4089.4,2804.3,3518.0,,-12.6,-1297.7,-584.0,,False,False,
Alaska,176,61.7,193.5,,,-114.3,17.5,,,True,,
Arizona,7322,10507.1,4571.3,8110.0,,3185.1,-2750.7,788.0,,True,True,
Arkansas,2911,1526.1,1410.9,1651.0,,-1384.9,-1500.1,-1260.0,,False,True,
California,20958,25841.3,22035.1,23200.0,,4883.3,1077.1,2242.0,,True,True,
Colorado,3871,2536.6,2386.3,2209.0,,-1334.4,-1484.7,-1662.0,,False,False,
Connecticut,5363,4655.3,4571.0,4537.0,,-707.7,-792.0,-826.0,,False,False,
Delaware,815,626.7,685.3,650.0,,-188.3,-129.7,-165.0,,True,True,
District of Columbia,713,698.1,686.1,650.0,,-14.9,-26.9,-63.0,,False,False,
Florida,19785,30793.1,13427.7,19776.0,,11008.1,-6357.3,-9.0,,True,True,
Georgia,10075,13181.1,7633.3,7682.0,,3106.1,-2441.7,-2393.0,,True,True,
Hawaii,271,191.7,937.7,,,-79.3,666.7,,,False,,
Idaho,1169,808.4,643.5,500.0,,-360.6,-525.5,-669.0,,False,False,
Illinois,15231,9809.3,10274.3,8835.0,,-5421.7,-4956.7,-6396.0,,True,False,
Indiana,6758,4683.9,4853.6,4100.0,,-2074.1,-1904.4,-2658.0,,True,False,
Iowa,3208,1716.7,1617.9,1693.0,,-1491.3,-1590.1,-1515.0,,False,False,
Kansas,2072,844.3,850.2,690.0,,-1227.7,-1221.8,-1382.0,,True,False,
Kentucky,2192,1433.7,,1113.0,,-758.3,,-1079.0,,,False,
Louisiana,6767,8620.1,,7656.0,,1853.1,,889.0,,,True,
Maine,257,160.7,,144.0,,-96.3,,-113.0,,,False,
Maryland,5100,4549.3,,3965.0,,-550.7,,-1135.0,,,False,
Massachusetts,11307,10574.3,,9003.0,,-732.7,,-2304.0,,,False,
Michigan,11195,7822.6,,7363.0,,-3372.4,,-3832.0,,,False,
Minnesota,4418,2662.3,,2380.0,,-1755.7,,-2038.0,,,False,
Mississippi,4180,5253.1,,4570.0,,1073.1,,390.0,,,True,
Missouri,4602,2209.0,,1932.0,,-2393.0,,-2670.0,,,False,
Montana,816,200.0,,265.0,,-616.0,,-551.0,,,True,
Nebraska,1365,630.7,,595.0,,-734.3,,-770.0,,,False,
Nevada,2520,3010.6,,2405.0,,490.6,,-115.0,,,True,
New Hampshire,600,490.4,,431.0,,-109.6,,-169.0,,,False,
New Jersey,17732,16552.6,,16243.0,,-1179.4,,-1489.0,,,False,
New Mexico,1913,1202.9,,1041.0,,-710.1,,-872.0,,,False,
New York,35504,33952.6,,33242.0,,-1575.4,,-2286.0,,,False,
North Carolina,5796,4959.9,,4808.0,,-836.1,,-988.0,,,False,
North Dakota,1152,344.1,,277.0,,-807.9,,-875.0,,,False,
Ohio,7477,6472.6,,5608.0,,-1004.4,,-1869.0,,,False,
Oklahoma,2042,1638.7,,1320.0,,-403.3,,-722.0,,,False,
Oregon,1150,927.4,,712.0,,-222.6,,-438.0,,,False,
Pennsylvania,12371,9846.7,,7977.0,,-2524.3,,-4394.0,,,False,
Rhode Island,1509,1139.0,,1087.0,,-364.0,,-416.0,,,False,
South Carolina,4685,6281.0,,3780.0,,1596.0,,-905.0,,,True,
South Dakota,1243,271.0,,314.0,,-972.0,,-929.0,,,True,
Tennessee,5400,3776.6,,3298.0,,-1623.4,,-2102.0,,,False,
Texas,24308,31282.0,,33055.0,22156.0,7132.0,,8905.0,-1994.0,,False,True
Utah,1038,818.1,,712.0,,-219.9,,-326.0,,,False,
Vermont,95,58.0,,58.0,,-37.0,,-37.0,,,False,
Virginia,4409,3308.1,,3000.0,,-1100.9,,-1409.0,,,False,
Washington,2941,3348.7,,2436.0,,428.7,,-484.0,,,False,
West Virginia,966,514.0,,337.0,,-452.0,,-629.0,,,False,
Wisconsin,4324,1730.1,,1517.0,,-2533.9,,-2747.0,,,False,
Wyoming,321,63.7,,34.0,,-257.3,,-287.0,,,False,
US,297904,289973.7,217493.5,242852.0,260574.0,-7709.3,-80189.5,-54831.0,-37109.0,False,False,False
