,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,4102,3195.9,2969.1,4413.4,3423.0,3094.0,-906.1,-1132.9,311.4,-679.0,-1008.0,False,True,True,False
Alaska,176,175.4,102.1,47.4,,83.8,-0.6,-73.9,-128.6,,-92.2,False,False,,False
Arizona,7322,7208.1,6762.5,8003.9,6679.0,6742.3,-113.9,-559.5,681.9,-643.0,-579.7,False,False,False,False
Arkansas,2911,2686.9,3383.9,2704.5,2007.0,2083.6,-224.1,472.9,-206.5,-904.0,-827.4,False,True,False,False
California,20977,22011.7,19139.3,32355.2,19301.0,20003.5,1034.7,-1837.7,11378.2,-1676.0,-973.5,False,False,False,True
Colorado,3871,2334.1,2562.8,2730.0,2284.0,2198.5,-1536.9,-1308.2,-1141.0,-1587.0,-1672.5,True,True,False,False
Connecticut,5363,4598.7,4604.1,5792.1,4601.0,4563.4,-764.3,-758.9,429.1,-762.0,-799.6,True,True,True,False
Delaware,815,763.3,745.1,851.1,689.0,691.4,-51.7,-69.9,36.1,-126.0,-123.6,False,True,False,False
District of Columbia,713,667.4,652.1,725.2,638.0,651.7,-45.6,-60.9,12.2,-75.0,-61.3,False,True,False,False
Florida,19785,22022.9,18818.3,25400.3,17623.0,18839.9,2237.9,-966.7,5615.3,-2162.0,-945.1,True,False,True,True
Georgia,10075,10680.9,8287.6,10076.8,8736.0,9381.2,605.9,-1787.4,1.8,-1339.0,-693.8,False,True,False,False
Hawaii,271,262.3,188.4,168.4,,207.9,-8.7,-82.6,-102.6,,-63.1,False,False,,False
Idaho,1169,644.6,751.6,892.7,666.0,664.7,-524.4,-417.4,-276.3,-503.0,-504.3,True,True,True,True
Illinois,15232,10571.3,10038.8,12268.4,10060.0,10196.3,-4660.7,-5193.2,-2963.6,-5172.0,-5035.7,False,True,False,False
Indiana,6758,4383.4,4217.9,5771.7,4275.0,4115.3,-2374.6,-2540.1,-986.3,-2483.0,-2642.7,False,True,False,False
Iowa,3208,1869.7,1731.8,1885.2,1927.0,1871.6,-1338.3,-1476.2,-1322.8,-1281.0,-1336.4,False,True,True,True
