,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4102,3400.9,3401.1,3411.8,4733.0,3812.1,3165.0,,4875.4,3365.0,3700.2,3705.7,3400.4,,,3259.0,4350.6,3651.0,3226.2,-701.1,-700.9,-690.2,631.0,-289.9,-937.0,,773.4,-737.0,-401.8,-396.3,-701.6,,,-843.0,248.6,-451.0,-875.8,True,True,True,True,False,,False,False,True,True,False,,,False,True,True,False
Alaska,176,74.9,75.4,77.4,115.0,158.8,127.0,,128.6,,103.5,162.9,132.7,,,85.9,223.1,82.0,79.7,-101.1,-100.6,-98.6,-61.0,-17.2,-49.0,,-47.4,,-72.5,-13.1,-43.3,,,-90.1,47.1,-94.0,-96.3,True,True,True,True,True,,True,,True,True,True,,,True,True,True,True
Arizona,7322,6196.3,6513.2,6224.3,6552.0,6531.7,6002.0,,6453.4,6237.0,6497.5,6480.6,6208.4,,,6294.2,7240.6,6479.0,6370.9,-1125.7,-808.8,-1097.7,-770.0,-790.3,-1320.0,,-868.6,-1085.0,-824.5,-841.4,-1113.6,,,-1027.8,-81.4,-843.0,-951.1,True,True,True,True,False,,True,True,True,True,True,,,True,True,True,True
Arkansas,2911,2552.6,2442.7,2587.9,2613.0,2781.2,2674.0,,3071.6,2621.0,3037.3,3047.6,2295.0,,,2350.1,2337.3,2653.0,2143.3,-358.4,-468.3,-323.1,-298.0,-129.8,-237.0,,160.6,-290.0,126.3,136.6,-616.0,,,-560.9,-573.7,-258.0,-767.7,False,True,True,True,True,,True,True,True,True,False,,,False,False,True,False
California,20977,19956.9,22538.6,20051.4,20640.0,20325.8,18326.0,,20870.7,19422.0,20123.2,19669.6,18758.6,,,19697.3,21872.5,21172.0,19431.0,-1020.1,1561.6,-925.6,-337.0,-651.2,-2651.0,,-106.3,-1555.0,-853.8,-1307.4,-2218.4,,,-1279.7,895.5,195.0,-1546.0,False,True,True,True,False,,True,False,True,False,False,,,False,True,True,False
Colorado,3871,2545.3,2373.3,2526.1,3330.0,3052.0,3802.0,,3186.1,2480.0,2879.5,3452.6,2561.0,,,2371.6,5186.4,2832.0,2370.3,-1325.7,-1497.7,-1344.9,-541.0,-819.0,-69.0,,-684.9,-1391.0,-991.5,-418.4,-1310.0,,,-1499.4,1315.4,-1039.0,-1500.7,False,False,True,True,True,,True,False,True,True,True,,,False,True,True,False
Connecticut,5363,4817.0,5279.8,4896.5,5390.0,4954.8,5074.0,,4656.8,4694.0,4853.5,5086.0,4629.9,,,4687.3,5926.8,4881.0,4594.1,-546.0,-83.2,-466.5,27.0,-408.2,-289.0,,-706.2,-669.0,-509.5,-277.0,-733.1,,,-675.7,563.8,-482.0,-768.9,True,True,True,True,True,,False,False,True,True,False,,,False,False,True,False
Delaware,887,790.7,818.4,800.1,767.0,779.2,777.0,,777.3,731.0,774.2,749.9,711.6,,,736.2,891.5,788.0,727.4,-61.3,-33.6,-51.9,-85.0,-72.8,-75.0,,-74.7,-121.0,-77.8,-102.1,-140.4,,,-115.8,39.5,-64.0,-124.6,True,True,False,False,False,,False,False,False,False,False,,,False,True,False,False
District of Columbia,713,648.9,644.7,664.4,687.0,704.2,650.0,,719.0,656.0,661.7,699.9,664.4,,,652.9,761.2,675.0,657.1,-64.1,-68.3,-48.6,-26.0,-8.8,-63.0,,6.0,-57.0,-51.3,-13.1,-48.6,,,-60.1,48.2,-38.0,-55.9,False,True,True,True,True,,True,True,True,True,True,,,True,True,True,True
Florida,19785,19597.0,19383.5,19915.7,26913.0,21156.2,18529.0,,23309.5,19378.0,21984.2,21091.8,18259.6,,,18993.4,19179.9,22078.0,18553.1,-188.0,-401.5,130.7,7128.0,1371.2,-1256.0,,3524.5,-407.0,2199.2,1306.8,-1525.4,,,-791.6,-605.1,2293.0,-1231.9,False,True,False,False,False,,False,False,False,False,False,,,False,False,False,False
