,mean_rank
Karlen-pypm,12.1
Google_Harvard-CPF,12.5
MSRA-DeepST,12.6
BPagano-RtDriven,13.6
MIT_CritData-GBCF,13.6
OliverWyman-Navigator,14.0
UCSD_NEU-DeepGLEAM,14.2
JHU_CSSE-DECOM,14.4
USC-SI_kJalpha,14.9
UCSB-ACTS,15.4
JCB-PRM,16.2
IowaStateLW-STEM,16.4
JHUAPL-Bucky,16.4
COVIDhub-ensemble,16.7
MOBS-GLEAM_COVID,16.9
SteveMcConnell-CovidComplete,16.9
GT-DeepCOVID,17.5
Covid19Sim-Simulator,17.9
Caltech-CS156,18.5
CovidAnalytics-DELPHI,19.4
UMass-MechBayes,19.6
CMU-TimeSeries,21.4
JHU_IDD-CovidSP,22.6
LANL-GrowthRate,23.8
epiforecasts-ensemble1,24.1
UA-EpiCovDA,24.6
CU-select,25.7
LNQ-ens1,26.1
TTU-squider,26.2
UT-Mobility,26.4
CEID-Walk,26.5
COVIDhub-baseline,27.1
PSI-DRAFT,27.1
USACE-ERDC_SEIR,27.2
NotreDame-mobility,27.2
DDS-NBDS,28.0
UCLA-SuEIR,29.1
RobertWalraven-ESG,29.2
UChicagoCHATTOPADHYAY-UnIT,29.3
Columbia_UNC-SurvCon,29.6
IQVIA_ACOE-STAN,32.5
WalmartLabsML-LogForecasting,39.8
