,mean_rank
UMass-MechBayes,12.2
CU-select,13.5
USC-SI_kJalpha,13.7
JCB-PRM,13.8
JHU_CSSE-DECOM,14.2
UA-EpiCovDA,14.6
OliverWyman-Navigator,14.7
Google_Harvard-CPF,14.7
LNQ-ens1,14.9
SteveMcConnell-CovidComplete,14.9
Karlen-pypm,15.4
Caltech-CS156,15.5
UCSD_NEU-DeepGLEAM,15.6
COVIDhub-ensemble,15.6
BPagano-RtDriven,17.4
JHU_IDD-CovidSP,17.6
GT-DeepCOVID,18.0
MOBS-GLEAM_COVID,18.0
CMU-TimeSeries,18.1
MSRA-DeepST,18.8
JHUAPL-Bucky,19.2
LANL-GrowthRate,20.2
MIT_CritData-GBCF,21.3
UCSB-ACTS,22.5
Columbia_UNC-SurvCon,23.1
epiforecasts-ensemble1,23.5
IowaStateLW-STEM,23.5
RobertWalraven-ESG,24.5
USACE-ERDC_SEIR,24.7
CovidAnalytics-DELPHI,24.8
UMich-RidgeTfReg,26.0
COVIDhub-baseline,26.2
CEID-Walk,26.2
TTU-squider,26.5
PSI-DRAFT,26.5
DDS-NBDS,26.7
NotreDame-mobility,27.4
UT-Mobility,27.7
UCLA-SuEIR,31.5
WalmartLabsML-LogForecasting,36.8
