,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4102,3599.7,3404.8,3573.1,6440.0,4051.0,3253.0,,3469.0,3649.5,3825.0,3297.5,3721.0,,3805.2,3829.0,,,3466.5,3682.0,3301.0,-502.3,-697.2,-528.9,2338.0,-51.0,-849.0,,-633.0,-452.5,-277.0,-804.5,-381.0,,-296.8,-273.0,,,-635.5,-420.0,-801.0,False,False,False,True,False,,False,True,True,False,True,,True,True,,,False,True,False
Alaska,176,170.9,88.0,166.0,202.0,177.7,125.0,,,135.2,142.6,120.1,119.0,,141.6,117.0,,,113.3,144.0,100.2,-5.1,-88.0,-10.0,26.0,1.7,-51.0,,,-40.8,-33.4,-55.9,-57.0,,-34.4,-59.0,,,-62.7,-32.0,-75.8,False,False,False,True,False,,,False,False,False,False,,False,False,,,False,False,False
Arizona,7322,6594.0,6464.2,6641.8,6851.0,6572.0,6091.0,,6265.0,6563.8,6354.3,6424.4,6834.0,,6492.7,6227.0,,,6765.0,7286.0,6397.7,-728.0,-857.8,-680.2,-471.0,-750.0,-1231.0,,-1057.0,-758.2,-967.7,-897.6,-488.0,,-829.3,-1095.0,,,-557.0,-36.0,-924.3,False,True,True,False,False,,False,False,False,False,True,,False,False,,,True,True,False
Arkansas,2911,2813.1,2510.6,2692.7,3219.0,2868.6,2724.0,,2745.0,2967.9,2657.3,2308.9,2617.0,,2296.9,2611.0,,,2511.3,2777.0,2276.9,-97.9,-400.4,-218.3,308.0,-42.4,-187.0,,-166.0,56.9,-253.7,-602.1,-294.0,,-614.1,-300.0,,,-399.7,-134.0,-634.1,False,False,False,True,False,,False,True,False,False,False,,False,False,,,False,False,False
California,20958,19504.3,21818.8,19553.6,21623.0,20373.4,18555.0,,19400.0,20126.6,19937.3,19483.8,19567.5,,18530.6,20514.0,,,19326.6,20732.0,19371.7,-1453.7,860.8,-1404.4,665.0,-584.6,-2403.0,,-1558.0,-831.4,-1020.7,-1474.2,-1390.5,,-2427.4,-444.0,,,-1631.4,-226.0,-1586.3,True,True,True,True,False,,False,True,True,False,True,,False,True,,,False,True,False
Colorado,3871,2668.7,2442.0,2690.0,4586.0,3221.5,6318.0,,2630.0,2842.2,3114.9,2732.7,3029.0,,2784.3,2632.0,,,2609.3,3002.0,2425.2,-1202.3,-1429.0,-1181.0,715.0,-649.5,2447.0,,-1241.0,-1028.8,-756.1,-1138.3,-842.0,,-1086.7,-1239.0,,,-1261.7,-869.0,-1445.8,False,True,True,True,False,,False,True,True,True,True,,True,False,,,False,True,False
Connecticut,5363,4844.4,5132.8,4895.4,6084.0,5102.4,5085.0,,4761.0,4970.5,5108.4,4815.0,5654.5,,4803.9,4724.0,,,4744.7,4977.0,4636.2,-518.6,-230.2,-467.6,721.0,-260.6,-278.0,,-602.0,-392.5,-254.6,-548.0,291.5,,-559.1,-639.0,,,-618.3,-386.0,-726.8,True,True,False,True,True,,False,True,True,False,True,,False,False,,,False,True,False
Delaware,815,879.9,841.2,877.7,833.0,779.6,770.0,,773.0,856.3,748.8,759.0,801.0,,853.9,810.0,,,724.7,881.0,753.7,64.9,26.2,62.7,18.0,-35.4,-45.0,,-42.0,41.3,-66.2,-56.0,-14.0,,38.9,-5.0,,,-90.3,66.0,-61.3,True,True,True,True,True,,True,True,False,True,True,,True,True,,,False,False,True
District of Columbia,713,669.4,647.6,676.0,668.0,686.9,653.0,,660.0,664.3,680.8,666.7,668.0,,666.5,673.0,,,656.0,677.0,659.6,-43.6,-65.4,-37.0,-45.0,-26.1,-60.0,,-53.0,-48.7,-32.2,-46.3,-45.0,,-46.5,-40.0,,,-57.0,-36.0,-53.4,False,True,False,True,False,,False,False,True,False,False,,False,True,,,False,True,False
Florida,19785,18897.6,19165.2,18824.9,25090.0,21571.4,18443.0,,19068.0,21042.8,20243.1,19261.3,17975.5,,18552.7,19334.0,,,18199.1,19992.0,18611.1,-887.4,-619.8,-960.1,5305.0,1786.4,-1342.0,,-717.0,1257.8,458.1,-523.7,-1809.5,,-1232.3,-451.0,,,-1585.9,207.0,-1173.9,True,False,False,False,False,,True,False,True,True,False,,False,True,,,False,True,False
