,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4102,3602.9,6307.1,3088.4,3146.0,3056.0,,3251.0,-499.1,2205.1,-1013.6,-956.0,-1046.0,,-851.0,False,False,False,False,,False
Alaska,176,77.7,62.3,177.8,,159.7,,79.3,-98.3,-113.7,1.8,,-16.3,,-96.7,False,True,,True,,True
Arizona,7322,6228.4,5843.5,6901.7,6362.0,6266.0,,6625.0,-1093.6,-1478.5,-420.3,-960.0,-1056.0,,-697.0,False,True,True,True,,True
Arkansas,2911,2844.4,3827.7,2620.1,2670.0,2393.4,,2373.1,-66.6,916.7,-290.9,-241.0,-517.6,,-537.9,False,False,False,False,,False
California,20958,20405.3,20504.0,20729.1,19169.0,19669.2,,19806.4,-552.7,-454.0,-228.9,-1789.0,-1288.8,,-1151.6,True,True,False,False,,False
Colorado,3871,2511.6,3593.9,2527.5,2304.5,2685.6,,2316.2,-1359.4,-277.1,-1343.5,-1566.5,-1185.4,,-1554.8,True,True,False,True,,False
Connecticut,5363,4680.6,4882.9,4679.7,4629.0,4895.8,,4604.7,-682.4,-480.1,-683.3,-734.0,-467.2,,-758.3,True,False,False,True,,False
Delaware,815,733.7,756.5,758.8,724.0,740.0,,694.2,-81.3,-58.5,-56.2,-91.0,-75.0,,-120.8,True,True,False,True,,False
District of Columbia,713,690.1,702.5,676.4,653.0,707.2,,652.9,-22.9,-10.5,-36.6,-60.0,-5.8,,-60.1,True,False,False,True,,False
Florida,19785,21502.0,19956.2,19885.1,18954.0,18573.4,,18614.0,1717.0,171.2,100.1,-831.0,-1211.6,,-1171.0,True,True,True,True,,True
Georgia,10075,9665.7,9272.6,8858.0,8703.0,8467.2,,9243.8,-409.3,-802.4,-1217.0,-1372.0,-1607.8,,-831.2,False,False,False,False,,False
Hawaii,271,284.1,455.0,258.3,,284.8,,234.0,13.1,184.0,-12.7,,13.8,,-37.0,False,True,,False,,False
Idaho,1169,728.4,1285.2,794.4,688.0,770.7,,712.9,-440.6,116.2,-374.6,-481.0,-398.3,,-456.1,True,True,False,True,,False
Illinois,15231,10912.9,11885.2,10849.3,10536.0,11227.9,,10429.5,-4318.1,-3345.8,-4381.7,-4695.0,-4003.1,,-4801.5,True,False,False,True,,False
Indiana,6758,4807.6,5469.5,4759.9,4437.0,4970.0,,4345.1,-1950.4,-1288.5,-1998.1,-2321.0,-1788.0,,-2412.9,True,False,False,True,,False
Iowa,3208,2126.3,2607.8,2091.2,1897.0,2000.7,,1982.1,-1081.7,-600.2,-1116.8,-1311.0,-1207.3,,-1225.9,True,False,False,False,,False
Kansas,2072,1518.0,3720.5,1200.7,1252.0,1371.9,,1070.5,-554.0,1648.5,-871.3,-820.0,-700.1,,-1001.5,False,False,False,False,,False
Kentucky,2192,1632.9,1818.9,1835.5,1747.0,1982.7,,1894.5,-559.1,-373.1,-356.5,-445.0,-209.3,,-297.5,True,True,True,True,,True
Louisiana,6767,6345.9,6149.9,6274.7,6259.0,6255.3,,7020.6,-421.1,-617.1,-492.3,-508.0,-511.7,,253.6,False,False,False,False,,True
Maine,257,151.9,194.4,157.5,173.0,163.0,,149.6,-105.1,-62.6,-99.5,-84.0,-94.0,,-107.4,True,True,True,True,,False
Maryland,5100,4362.1,4275.9,4294.8,4190.0,4388.4,11389.0,4194.4,-737.9,-824.1,-805.2,-910.0,-711.6,6289.0,-905.6,False,False,False,True,False,False
Massachusetts,11307,10436.6,10018.2,11480.8,10116.0,10670.7,,9911.0,-870.4,-1288.8,173.8,-1191.0,-636.3,,-1396.0,False,True,False,True,,False
Michigan,11195,8060.4,8714.3,8000.6,7788.0,8673.8,,7619.7,-3134.6,-2480.7,-3194.4,-3407.0,-2521.2,,-3575.3,True,False,False,True,,False
Minnesota,4418,2734.3,3131.2,2994.1,2836.0,2966.1,,2774.3,-1683.7,-1286.8,-1423.9,-1582.0,-1451.9,,-1643.7,True,True,True,True,,True
Mississippi,4180,3880.4,3802.5,3848.4,4015.0,3837.6,,3826.7,-299.6,-377.5,-331.6,-165.0,-342.4,,-353.3,False,False,True,False,,False
Missouri,4602,4532.0,6534.1,3745.8,3269.0,3337.1,,2875.8,-70.0,1932.1,-856.2,-1333.0,-1264.9,,-1726.2,False,False,False,False,,False
Montana,816,413.7,770.7,767.8,391.0,728.9,,358.7,-402.3,-45.3,-48.2,-425.0,-87.1,,-457.3,True,True,False,True,,False
Nebraska,1365,678.4,675.5,829.0,750.0,764.2,,617.9,-686.6,-689.5,-536.0,-615.0,-600.8,,-747.1,False,True,True,True,,False
Nevada,2520,1997.6,2184.2,2301.3,1864.0,2027.8,,2248.5,-522.4,-335.8,-218.7,-656.0,-492.2,,-271.5,True,True,False,True,,True
New Hampshire,600,571.1,702.6,482.5,490.0,555.3,,513.4,-28.9,102.6,-117.5,-110.0,-44.7,,-86.6,False,False,False,False,,False
New Jersey,17732,16510.6,16497.5,17013.6,16436.5,17066.4,,16400.2,-1221.4,-1234.5,-718.4,-1295.5,-665.6,,-1331.8,False,True,False,True,,False
New Mexico,1913,1079.3,1034.3,1460.2,1067.0,1332.2,,1007.0,-833.7,-878.7,-452.8,-846.0,-580.8,,-906.0,False,True,False,True,,False
New York,35504,34082.3,34782.8,34472.4,33728.0,34996.4,,33598.1,-1246.7,-546.2,-856.6,-1601.0,-332.6,,-1730.9,True,True,False,True,,False
North Carolina,5796,4974.6,4653.8,5496.8,5258.0,5567.9,,4858.6,-821.4,-1142.2,-299.2,-538.0,-228.1,,-937.4,False,True,True,True,,False
North Dakota,1152,895.0,1101.6,885.7,675.0,665.1,,481.2,-257.0,-50.4,-266.3,-477.0,-486.9,,-670.8,True,False,False,False,,False
Ohio,7477,5654.4,5626.8,6440.5,6124.0,6652.5,,5830.0,-1822.6,-1850.2,-1036.5,-1353.0,-824.5,,-1647.0,False,True,True,True,,True
Oklahoma,2042,1514.3,1537.0,1668.9,1680.0,1501.3,,1560.8,-527.7,-505.0,-373.1,-362.0,-540.7,,-481.2,True,True,True,False,,True
Oregon,1150,838.1,1310.4,856.9,760.0,893.6,,832.0,-311.9,160.4,-293.1,-390.0,-256.4,,-318.0,True,True,False,True,,False
Pennsylvania,12371,9525.7,10503.7,9672.2,9198.0,9904.7,,8968.3,-2845.3,-1867.3,-2698.8,-3173.0,-2466.3,,-3402.7,True,True,False,True,,False
Rhode Island,1509,1236.3,1173.5,1284.2,1215.0,1326.6,,1166.6,-272.7,-335.5,-224.8,-294.0,-182.4,,-342.4,False,True,False,True,,False
South Carolina,4685,4428.9,4808.6,4305.3,4407.0,4203.9,,4460.1,-256.1,123.6,-379.7,-278.0,-481.1,,-224.9,True,False,False,False,,True
South Dakota,1243,622.6,1015.4,680.0,505.0,686.0,,295.2,-620.4,-227.6,-563.0,-738.0,-557.0,,-947.8,True,True,False,True,,False
Tennessee,5400,4449.9,5851.2,4285.6,4270.0,4293.6,,4298.1,-950.1,451.2,-1114.4,-1130.0,-1106.4,,-1101.9,True,False,False,False,,False
Texas,24308,22737.0,25115.7,23248.3,21418.0,20265.1,18956.0,21199.4,-1509.0,869.7,-997.7,-2828.0,-3980.9,-5290.0,-3046.6,True,True,False,False,False,False
Utah,1038,862.4,996.5,999.8,762.0,668.1,,737.5,-175.6,-41.5,-38.2,-276.0,-369.9,,-300.5,True,True,False,False,,False
Vermont,95,58.0,60.2,63.6,59.0,59.5,,59.1,-37.0,-34.8,-31.4,-36.0,-35.5,,-35.9,True,True,True,True,,True
Virginia,4409,4107.9,3725.3,4368.9,3922.0,4263.5,,3749.8,-298.1,-680.7,-37.1,-484.0,-142.5,,-656.2,False,True,False,True,,False
Washington,2941,2615.1,2645.1,2751.5,2522.0,2717.3,,2661.2,-344.9,-314.9,-208.5,-438.0,-242.7,,-298.8,True,True,False,True,,True
West Virginia,966,571.0,598.6,601.0,605.0,652.5,,555.3,-395.0,-367.4,-365.0,-361.0,-313.5,,-410.7,True,True,True,True,,False
Wisconsin,4324,2244.4,2706.5,2644.9,2161.0,2358.0,,2021.4,-1948.6,-1486.5,-1548.1,-2032.0,-1835.0,,-2171.6,True,True,False,True,,False
Wyoming,321,62.9,76.7,126.8,82.0,104.2,,67.8,-258.1,-244.3,-194.2,-239.0,-216.8,,-253.2,True,True,True,True,,True
US,297904,259470.0,265150.5,268110.0,253550.0,255475.0,254719.0,251990.6,-38080.0,-32399.5,-29440.0,-44000.0,-42075.0,-42831.0,-45559.4,True,True,False,False,False,False
