,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,4102,4285.9,4986.5,,183.9,884.5,,False,
Alaska,176,61.7,33.9,,-114.3,-142.1,,False,
Arizona,7322,11025.0,7246.7,,3703.0,-75.3,,True,
Arkansas,2911,1972.6,2549.7,,-938.4,-361.3,,True,
California,20958,27894.9,37952.4,,6936.9,16994.4,,False,
Colorado,3871,2108.0,5502.0,,-1763.0,1631.0,,True,
Connecticut,5363,4601.7,5010.8,,-761.3,-352.2,,True,
Delaware,815,698.1,782.1,,-116.9,-32.9,,True,
District of Columbia,713,680.3,607.7,,-32.7,-105.3,,False,
Florida,19785,27864.6,20740.6,,8079.6,955.6,,True,
Georgia,10075,10609.7,11642.3,,534.7,1567.3,,False,
Hawaii,271,120.3,28.3,,-150.7,-242.7,,False,
Idaho,1169,951.3,1041.1,,-217.7,-127.9,,True,
Illinois,15231,10184.3,10574.3,,-5046.7,-4656.7,,True,
Indiana,6758,4219.6,4933.9,,-2538.4,-1824.1,,True,
Iowa,3208,1877.4,2610.8,,-1330.6,-597.2,,True,
Kansas,2072,719.3,2383.2,,-1352.7,311.2,,True,
Kentucky,2192,1326.6,3487.0,,-865.4,1295.0,,False,
Louisiana,6767,8834.4,8162.3,,2067.4,1395.3,,True,
Maine,257,160.7,163.6,,-96.3,-93.4,,True,
Maryland,5100,4835.0,5649.1,,-265.0,549.1,,False,
Massachusetts,11307,10467.1,10815.8,,-839.9,-491.2,,True,
Michigan,11195,7626.1,7978.9,,-3568.9,-3216.1,,True,
Minnesota,4418,2483.7,2615.7,,-1934.3,-1802.3,,True,
Mississippi,4180,5342.4,3593.1,,1162.4,-586.9,,True,
Missouri,4602,2369.7,5657.6,,-2232.3,1055.6,,True,
Montana,816,325.0,390.0,,-491.0,-426.0,,True,
Nebraska,1365,577.1,981.9,,-787.9,-383.1,,True,
Nevada,2520,3189.1,3253.9,,669.1,733.9,,False,
New Hampshire,600,454.7,640.1,,-145.3,40.1,,True,
New Jersey,17732,16552.6,16550.7,,-1179.4,-1181.3,,False,
New Mexico,1913,1238.6,1980.6,,-674.4,67.6,,True,
New York,35504,33916.9,34221.8,,-1606.1,-1301.2,,True,
North Carolina,5796,5924.1,9666.3,,128.1,3870.3,,False,
North Dakota,1152,237.0,235.3,,-915.0,-916.7,,False,
Ohio,7477,6169.0,10544.7,,-1308.0,3067.7,,False,
Oklahoma,2042,1549.4,3345.2,,-492.6,1303.2,,False,
Oregon,1150,891.7,3317.9,,-258.3,2167.9,,False,
Pennsylvania,12371,8882.4,9250.0,,-3488.6,-3121.0,,True,
Rhode Island,1509,1139.0,1108.9,,-359.0,-389.1,,False,
South Carolina,4685,6566.7,3745.9,,1881.7,-939.1,,True,
South Dakota,1243,342.4,280.1,,-900.6,-962.9,,False,
Tennessee,5400,3901.6,3344.6,,-1498.4,-2055.4,,False,
Texas,24308,37299.9,28376.3,21885.0,13151.9,4228.3,-2263.0,True,True
Utah,1038,782.4,1722.4,,-255.6,684.4,,False,
Vermont,95,75.9,63.8,,-19.1,-31.2,,False,
Virginia,4409,4254.6,6495.1,,-154.4,2086.1,,False,
Washington,2941,3330.9,5898.4,,423.9,2991.4,,False,
West Virginia,966,531.9,253.4,,-434.1,-712.6,,False,
Wisconsin,4324,1890.9,4357.0,,-2382.1,84.0,,True,
Wyoming,321,63.7,27.0,,-257.3,-294.0,,False,
US,297904,294598.7,316800.5,260520.0,-3068.3,19133.5,-37147.0,False,False
