,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4102,3623.1,4202.0,3657.1,3930.0,3994.9,3336.0,,3618.0,3719.9,3506.2,3336.0,3779.0,3627.0,,3779.3,3372.0,,3506.1,,3704.0,3376.9,-478.9,100.0,-444.9,-172.0,-107.1,-766.0,,-484.0,-382.1,-595.8,-766.0,-323.0,-475.0,,-322.7,-730.0,,-595.9,,-398.0,-725.1,True,True,True,True,False,,False,True,False,False,True,True,,True,False,,False,,True,False
Alaska,176,88.9,101.0,95.0,216.0,191.4,121.0,,,102.0,187.9,113.4,158.9,113.0,,106.4,124.0,,110.7,,118.0,97.1,-87.1,-75.0,-81.0,40.0,15.4,-55.0,,,-74.0,11.9,-62.6,-17.1,-63.0,,-69.6,-52.0,,-65.3,,-58.0,-78.9,True,True,True,True,True,,,True,True,True,True,True,,True,True,,True,,True,True
Arizona,7322,7062.6,8392.6,6987.7,7868.0,6649.4,6304.0,,6679.0,6937.4,6629.1,6631.9,7721.0,8283.5,,6584.6,6585.5,,6923.3,,7912.0,6524.9,-259.4,1070.6,-334.3,546.0,-672.6,-1018.0,,-643.0,-384.6,-692.9,-690.1,399.0,961.5,,-737.4,-736.5,,-398.7,,590.0,-797.1,False,False,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False
Arkansas,2911,2701.9,2914.3,2783.2,3413.0,2914.4,2738.0,,2779.0,2918.1,2667.1,2381.3,2839.5,2819.0,,2177.8,2609.0,,2614.8,,2898.0,2383.9,-209.1,3.3,-127.8,502.0,3.4,-173.0,,-132.0,7.1,-243.9,-529.7,-71.5,-92.0,,-733.2,-302.0,,-296.2,,-13.0,-527.1,True,True,False,True,True,,True,True,False,False,True,True,,False,False,,False,,True,False
California,20977,19439.9,19807.1,19469.7,20271.0,20319.3,18612.0,,19493.0,19818.0,19810.5,19375.1,19648.8,19379.0,,18776.7,19887.5,,19428.7,19633.0,20062.0,19394.2,-1533.1,-1165.9,-1503.3,-702.0,-653.7,-2361.0,,-1480.0,-1155.0,-1162.5,-1597.9,-1324.2,-1594.0,,-2196.3,-1085.5,,-1544.3,-1340.0,-911.0,-1578.8,True,True,True,True,False,,True,True,True,False,True,False,,False,True,,False,True,True,False
Colorado,3871,2908.9,4042.5,2909.4,5579.0,3292.8,6503.0,,2851.0,3121.5,3276.8,2877.2,3754.6,3604.0,,2941.9,2667.0,,2803.3,,3392.0,2525.6,-962.1,171.5,-961.6,1708.0,-578.2,2632.0,,-1020.0,-749.5,-594.2,-993.8,-116.4,-267.0,,-929.1,-1204.0,,-1067.7,,-479.0,-1345.4,True,True,False,True,False,,False,True,True,False,True,True,,True,False,,False,,True,False
Connecticut,5363,4938.1,5072.9,4964.1,5957.0,5257.9,5307.0,,4926.0,5097.0,5313.2,4887.9,5382.4,5054.0,,4884.5,4672.0,,4861.8,,5090.0,4684.1,-424.9,-290.1,-398.9,594.0,-105.1,-56.0,,-437.0,-266.0,-49.8,-475.1,19.4,-309.0,,-478.5,-691.0,,-501.2,,-273.0,-678.9,True,True,False,True,True,,False,True,True,False,True,True,,False,False,,False,,True,False
Delaware,887,756.9,756.0,763.9,964.0,845.3,778.0,,792.0,830.4,824.7,751.0,827.2,806.0,,856.2,790.5,,729.8,,812.0,755.2,-95.1,-96.0,-88.1,112.0,-6.7,-74.0,,-60.0,-21.6,-27.3,-101.0,-24.8,-46.0,,4.2,-61.5,,-122.2,,-40.0,-96.8,False,True,False,True,True,,True,True,True,False,True,True,,True,True,,False,,True,False
District of Columbia,713,692.9,919.0,695.4,686.0,670.2,669.0,,663.0,675.2,688.3,669.9,694.6,674.0,,672.3,675.0,,688.9,,699.0,665.7,-20.1,206.0,-17.6,-27.0,-42.8,-44.0,,-50.0,-37.8,-24.7,-43.1,-18.4,-39.0,,-40.7,-38.0,,-24.1,,-14.0,-47.3,False,True,False,False,False,,False,False,False,False,True,False,,False,False,,False,,True,False
Florida,19785,18733.6,18890.5,18796.7,20753.0,20788.9,18480.0,,19093.0,20152.3,19300.4,18839.3,19229.7,18080.0,,20261.7,19232.5,,18733.2,,19383.0,18654.1,-1051.4,-894.5,-988.3,968.0,1003.9,-1305.0,,-692.0,367.3,-484.6,-945.7,-555.3,-1705.0,,476.7,-552.5,,-1051.8,,-402.0,-1130.9,True,True,True,True,False,,True,True,True,True,True,False,,True,True,,False,,True,False
