,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4102,3762.3,4823.9,3780.9,3440.6,3247.3,,3911.6,3142.0,3493.9,3222.7,3091.5,,,3197.7,3787.0,3187.4,-339.7,721.9,-321.1,-661.4,-854.7,,-190.4,-960.0,-608.1,-879.3,-1010.5,,,-904.3,-315.0,-914.6,False,True,False,False,,True,False,False,False,False,,,False,True,False
Alaska,176,122.0,695.6,123.0,248.5,160.1,,95.7,,102.0,132.2,161.2,,,85.7,102.0,82.1,-54.0,519.6,-53.0,72.5,-15.9,,-80.3,,-74.0,-43.8,-14.8,,,-90.3,-74.0,-93.9,False,True,False,True,,False,,False,True,True,,,False,False,False
Arizona,7322,6361.3,7922.8,6377.1,6394.2,6322.4,,6687.9,6150.0,6789.4,6308.7,6356.7,,,6382.6,6614.0,6420.3,-960.7,600.8,-944.9,-927.8,-999.6,,-634.1,-1172.0,-532.6,-1013.3,-965.3,,,-939.4,-708.0,-901.7,True,True,True,False,,True,False,True,False,False,,,True,True,True
Arkansas,2911,2764.7,2831.9,2739.3,2431.8,2437.1,,3017.2,2878.0,2940.6,2720.5,2320.0,,,2348.9,2743.0,2060.3,-146.3,-79.1,-171.7,-479.2,-473.9,,106.2,-33.0,29.6,-190.5,-591.0,,,-562.1,-168.0,-850.7,True,False,False,False,,True,True,True,False,False,,,False,False,False
California,20958,20121.9,22032.1,20069.0,22045.3,19702.7,,21424.6,18948.0,20572.3,19827.1,18937.5,,,19622.2,19512.0,19172.0,-836.1,1074.1,-889.0,1087.3,-1255.3,,466.6,-2010.0,-385.7,-1130.9,-2020.5,,,-1335.8,-1446.0,-1786.0,False,False,False,False,,True,False,True,False,False,,,False,False,False
Colorado,3871,2671.0,3211.9,2697.5,2886.0,2650.7,,3627.0,2440.0,2632.6,2781.3,2452.7,,,2269.4,3054.0,2337.9,-1200.0,-659.1,-1173.5,-985.0,-1220.3,,-244.0,-1431.0,-1238.4,-1089.7,-1418.3,,,-1601.6,-817.0,-1533.1,True,True,True,False,,True,False,False,True,False,,,False,True,False
Connecticut,5363,4636.3,4621.4,4800.3,5167.9,4710.3,,4707.2,4639.0,4696.1,4951.0,5052.9,,,4595.6,4760.0,4555.8,-726.7,-741.6,-562.7,-195.1,-652.7,,-655.8,-724.0,-666.9,-412.0,-310.1,,,-767.4,-603.0,-807.2,False,True,True,True,,True,True,True,True,True,,,False,True,False
Delaware,815,751.4,728.1,769.7,769.4,761.4,,812.2,711.0,749.0,750.9,786.3,,,710.0,746.0,715.3,-63.6,-86.9,-45.3,-45.6,-53.6,,-2.8,-104.0,-66.0,-64.1,-28.7,,,-105.0,-69.0,-99.7,False,True,True,True,,True,False,False,False,True,,,False,False,False
District of Columbia,713,672.4,691.5,690.4,793.6,681.2,,743.3,653.0,677.3,704.8,698.7,,,654.6,729.0,653.2,-40.6,-21.5,-22.6,80.6,-31.8,,30.3,-60.0,-35.7,-8.2,-14.3,,,-58.4,16.0,-59.8,True,True,False,True,,True,False,True,True,True,,,False,True,False
Florida,19785,20704.9,24203.0,21763.6,22293.1,19527.4,,22778.9,18578.0,21511.5,19785.9,18763.1,,,19465.4,21390.0,18324.2,919.9,4418.0,1978.6,2508.1,-257.6,,2993.9,-1207.0,1726.5,0.9,-1021.9,,,-319.6,1605.0,-1460.8,False,False,False,True,,False,False,False,True,False,,,True,False,False
Georgia,10075,9382.3,10268.6,9314.7,9199.8,8682.7,,9294.9,8784.0,8941.6,8839.7,8623.5,,,9104.3,9434.0,8541.8,-692.7,193.6,-760.3,-875.2,-1392.3,,-780.1,-1291.0,-1133.4,-1235.3,-1451.5,,,-970.7,-641.0,-1533.2,True,False,False,False,,False,False,False,False,False,,,False,True,False
Hawaii,271,328.4,348.0,330.0,,314.0,,385.8,,310.5,339.7,355.3,,,227.5,269.0,235.4,57.4,77.0,59.0,,43.0,,114.8,,39.5,68.7,84.3,,,-43.5,-2.0,-35.6,False,False,,True,,False,,True,False,False,,,True,True,True
Idaho,1169,693.0,685.9,705.5,852.3,799.4,,1032.4,701.0,755.6,906.7,597.3,,,699.9,751.0,610.5,-476.0,-483.1,-463.5,-316.7,-369.6,,-136.6,-468.0,-413.4,-262.3,-571.7,,,-469.1,-418.0,-558.5,False,True,True,True,,True,True,True,True,False,,,True,True,False
Illinois,15231,11391.1,14033.5,11301.5,20314.9,11468.3,,13005.6,10730.0,11518.3,11771.3,10827.7,,,10577.4,13091.0,10018.3,-3839.9,-1197.5,-3929.5,5083.9,-3762.7,,-2225.4,-4501.0,-3712.7,-3459.7,-4403.3,,,-4653.6,-2140.0,-5212.7,True,False,False,True,,True,False,True,True,False,,,False,True,False
Indiana,6758,5099.9,6509.5,5009.1,15117.6,5159.3,,6451.5,4589.0,5170.6,5522.9,4756.2,,,4510.2,6847.0,4082.2,-1658.1,-248.5,-1748.9,8359.6,-1598.7,,-306.5,-2169.0,-1587.4,-1235.1,-2001.8,,,-2247.8,89.0,-2675.8,True,False,False,True,,True,False,True,True,False,,,False,True,False
Iowa,3208,2082.0,2114.4,2080.2,3979.0,2188.8,,2610.7,2009.0,2134.3,2371.2,1951.6,,,1971.3,2348.0,1764.4,-1126.0,-1093.6,-1127.8,771.0,-1019.2,,-597.3,-1199.0,-1073.7,-836.8,-1256.4,,,-1236.7,-860.0,-1443.6,True,False,True,True,,True,False,True,True,False,,,False,True,False
Kansas,2072,1526.9,1994.9,1546.8,2474.2,1318.8,,2177.8,1229.0,1610.5,1685.1,1320.6,,,1255.9,1510.0,1066.9,-545.1,-77.1,-525.2,402.2,-753.2,,105.8,-843.0,-461.5,-386.9,-751.4,,,-816.1,-562.0,-1005.1,True,True,True,False,,True,False,True,True,False,,,False,False,False
