,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4102,3880.6,4327.3,3918.0,3933.0,3902.1,3902.0,3919.0,3781.9,3886.0,3465.0,3708.1,3641.6,3895.3,,3815.0,3887.0,3569.5,4059.0,3796.0,3930.0,3955.0,4064.6,3845.0,4072.6,4001.0,,3652.0,3924.1,5049.0,,3796.8,4363.3,4007.0,3631.8,3939.0,3433.1,,3794.5,4112.8,3969.0,3690.0,4145.6,4069.0,3757.0,3510.6,3790.0,-221.4,225.3,-184.0,-169.0,-199.9,-200.0,-183.0,-320.1,-216.0,-637.0,-393.9,-460.4,-206.7,,-287.0,-215.0,-532.5,-43.0,-306.0,-172.0,-147.0,-37.4,-257.0,-29.4,-101.0,,-450.0,-177.9,947.0,,-305.2,261.3,-95.0,-470.2,-163.0,-668.9,,-307.5,10.8,-133.0,-412.0,43.6,-33.0,-345.0,-591.4,-312.0,False,True,True,True,True,True,False,True,False,False,False,True,,False,True,False,True,False,True,True,True,False,True,True,,False,True,False,,False,False,True,False,True,False,,False,True,True,False,True,True,False,False,False
Alaska,176,152.0,162.0,162.8,192.0,154.0,162.0,173.0,159.3,170.0,131.0,119.8,146.2,171.9,,,144.7,144.9,240.0,206.0,188.9,127.0,178.8,266.0,186.3,183.9,,114.8,164.3,154.0,,,168.5,164.0,188.7,208.0,121.4,,162.5,186.5,182.0,120.4,206.4,138.0,112.0,112.8,137.0,-24.0,-14.0,-13.2,16.0,-22.0,-14.0,-3.0,-16.7,-6.0,-45.0,-56.2,-29.8,-4.1,,,-31.3,-31.1,64.0,30.0,12.9,-49.0,2.8,90.0,10.3,7.9,,-61.2,-11.7,-22.0,,,-7.5,-12.0,12.7,32.0,-54.6,,-13.5,10.5,6.0,-55.6,30.4,-38.0,-64.0,-63.2,-39.0,True,True,True,True,True,True,True,True,False,False,False,True,,,False,False,False,False,True,False,True,False,True,True,,False,True,True,,,True,True,True,False,False,,True,True,True,False,False,False,False,False,False
Arizona,7322,6834.3,6885.5,6880.4,6977.0,6911.9,7111.0,7174.0,7212.8,8309.0,6423.0,6850.1,7117.2,7396.7,,6850.0,7323.8,7340.0,7013.0,7084.7,7732.1,7531.0,7283.0,6863.0,6979.6,7251.1,,6969.3,7176.3,8663.0,,7095.8,6832.1,7311.0,7572.1,7524.0,6743.5,,6945.9,7001.0,7488.0,6941.9,7744.8,7529.0,7377.0,6603.6,6753.0,-487.7,-436.5,-441.6,-345.0,-410.1,-211.0,-148.0,-109.2,987.0,-899.0,-471.9,-204.8,74.7,,-472.0,1.8,18.0,-309.0,-237.3,410.1,209.0,-39.0,-459.0,-342.4,-70.9,,-352.7,-145.7,1341.0,,-226.2,-489.9,-11.0,250.1,202.0,-578.5,,-376.1,-321.0,166.0,-380.1,422.8,207.0,55.0,-718.4,-569.0,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,True,True,True,False,,True,True,True,True,True,True,True,False,False
Arkansas,2911,2561.0,2471.7,2538.9,2614.0,2522.9,2636.0,2664.0,2659.0,3193.0,2714.0,2625.5,2516.8,3084.2,,2725.0,2812.5,2999.5,2814.0,2617.2,2897.5,2580.0,2685.1,2675.0,2630.7,2622.7,,2268.9,2977.3,2591.0,,2943.4,2390.5,2606.0,3107.0,2913.0,2401.4,,2757.4,2646.6,2684.0,2586.7,2620.2,2669.0,2499.0,2427.8,2391.0,-350.0,-439.3,-372.1,-297.0,-388.1,-275.0,-247.0,-252.0,282.0,-197.0,-285.5,-394.2,173.2,,-186.0,-98.5,88.5,-97.0,-293.8,-13.5,-331.0,-225.9,-236.0,-280.3,-288.3,,-642.1,66.3,-320.0,,32.4,-520.5,-305.0,196.0,2.0,-509.6,,-153.6,-264.4,-227.0,-324.3,-290.8,-242.0,-412.0,-483.2,-520.0,False,False,True,False,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,True,True,True,False,,True,True,True,True,True,True,False,False,False
California,20958,19376.7,19989.7,19400.0,19810.0,19421.2,19810.0,20931.0,20118.2,20572.0,18735.0,19290.4,19675.5,19873.1,,19429.0,19980.1,20306.9,19965.0,20965.4,20543.5,19628.0,20531.0,19671.0,19831.9,19395.8,,19388.9,19714.0,20517.0,,19461.7,19810.5,20020.0,17062.5,20248.0,19417.2,19629.0,18952.0,19842.2,21253.0,20615.9,22121.5,20173.0,19001.5,19393.9,19338.0,-1581.3,-968.3,-1558.0,-1148.0,-1536.8,-1148.0,-27.0,-839.8,-386.0,-2223.0,-1667.6,-1282.5,-1084.9,,-1529.0,-977.9,-651.1,-993.0,7.4,-414.5,-1330.0,-427.0,-1287.0,-1126.1,-1562.2,,-1569.1,-1244.0,-441.0,,-1496.3,-1147.5,-938.0,-3895.5,-710.0,-1540.8,-1329.0,-2006.0,-1115.8,295.0,-342.1,1163.5,-785.0,-1956.5,-1564.1,-1620.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,False
Colorado,3871,3132.3,3614.9,3077.3,3404.0,3069.3,3415.0,3677.0,3452.0,4474.0,5374.0,3212.8,3765.0,3560.5,,3118.0,3425.1,3626.8,3411.0,3557.6,3910.2,4073.0,3792.1,3144.0,3304.9,3425.8,,3244.5,3332.4,4540.0,,2981.6,3608.3,3113.0,4054.5,3274.0,2941.9,,3241.1,3325.7,3970.0,2793.5,6073.4,3569.0,3528.5,2683.6,3365.0,-738.7,-256.1,-793.7,-467.0,-801.7,-456.0,-194.0,-419.0,603.0,1503.0,-658.2,-106.0,-310.5,,-753.0,-445.9,-244.2,-460.0,-313.4,39.2,202.0,-78.9,-727.0,-566.1,-445.2,,-626.5,-538.6,669.0,,-889.4,-262.7,-758.0,183.5,-597.0,-929.1,,-629.9,-545.3,99.0,-1077.5,2202.4,-302.0,-342.5,-1187.4,-506.0,True,False,True,False,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,False,True,True,False,,True,True,True,False,False,True,True,False,True
Connecticut,5363,4991.6,5070.1,4999.1,5117.0,5006.7,5128.0,5288.0,5114.9,5652.0,5458.0,5077.5,5503.3,5350.7,,4990.0,5152.9,5574.9,5083.0,5283.2,5379.9,5239.0,5104.9,4972.0,5167.5,5099.7,,4917.8,5103.1,4748.0,,5040.7,4866.2,5362.0,5677.2,4960.0,4917.4,,5092.0,5187.6,5292.0,4918.7,7251.6,5233.0,4969.0,4787.1,5063.0,-371.4,-292.9,-363.9,-246.0,-356.3,-235.0,-75.0,-248.1,289.0,95.0,-285.5,140.3,-12.3,,-373.0,-210.1,211.9,-280.0,-79.8,16.9,-124.0,-258.1,-391.0,-195.5,-263.3,,-445.2,-259.9,-615.0,,-322.3,-496.8,-1.0,314.2,-403.0,-445.6,,-271.0,-175.4,-71.0,-444.3,1888.6,-130.0,-394.0,-575.9,-300.0,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,True,False,True,True,False,False,,True,True,True,False,False,True,False,False,True
Delaware,815,805.4,819.3,831.5,824.0,817.4,838.0,845.0,813.6,932.0,794.0,844.3,891.9,833.0,,806.0,856.1,852.6,841.0,834.1,875.3,812.0,811.3,800.0,833.2,801.8,,879.7,855.6,866.0,,,758.9,890.0,783.7,855.0,747.0,,811.3,857.3,857.0,801.9,1015.9,849.0,781.0,767.6,820.0,-9.6,4.3,16.5,9.0,2.4,23.0,30.0,-1.4,117.0,-21.0,29.3,76.9,18.0,,-9.0,41.1,37.6,26.0,19.1,60.3,-3.0,-3.7,-15.0,18.2,-13.2,,64.7,40.6,51.0,,,-56.1,75.0,-31.3,40.0,-68.0,,-3.7,42.3,42.0,-13.1,200.9,34.0,-34.0,-47.4,5.0,True,False,True,True,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,True,True,False,False,False,,False,False,False,,,False,False,False,False,False,,True,False,False,False,False,False,False,False,True
District of Columbia,713,683.1,686.2,676.3,688.0,676.3,687.0,709.0,691.3,723.0,687.0,694.1,682.3,705.8,,668.0,693.4,718.1,690.0,708.1,704.9,678.0,686.8,704.0,,,,676.5,684.6,672.0,,,673.7,681.0,669.8,726.0,664.3,,721.2,,704.0,,812.4,695.0,680.0,669.1,,-29.9,-26.8,-36.7,-25.0,-36.7,-26.0,-4.0,-21.7,10.0,-26.0,-18.9,-30.7,-7.2,,-45.0,-19.6,5.1,-23.0,-4.9,-8.1,-35.0,-26.2,-9.0,,,,-36.5,-28.4,-41.0,,,-39.3,-32.0,-43.2,13.0,-48.7,,8.2,,-9.0,,99.4,-18.0,-33.0,-43.9,,True,False,True,False,True,True,True,True,True,True,False,True,,False,True,True,True,True,True,False,True,True,,,,False,True,False,,,False,False,False,True,False,,True,,True,,False,True,False,False,
Florida,19785,19049.3,19892.0,19119.5,19222.0,19044.7,19326.0,19640.0,19490.5,19049.0,18558.0,18822.0,19169.2,19634.5,,19166.0,19654.3,18863.5,19408.0,20231.4,19969.6,18913.0,19592.3,18854.0,18519.9,18933.3,,19599.9,19495.4,21212.5,,19376.9,19282.1,19737.0,20227.7,19422.0,19039.2,,18598.7,18532.6,20179.0,19440.6,20219.9,19528.0,18293.0,18767.7,18860.0,-735.7,107.0,-665.5,-563.0,-740.3,-459.0,-145.0,-294.5,-736.0,-1227.0,-963.0,-615.8,-150.5,,-619.0,-130.7,-921.5,-377.0,446.4,184.6,-872.0,-192.7,-931.0,-1265.1,-851.7,,-185.1,-289.6,1427.5,,-408.1,-502.9,-48.0,442.7,-363.0,-745.8,,-1186.3,-1252.4,394.0,-344.4,434.9,-257.0,-1492.0,-1017.3,-925.0,True,True,True,False,True,True,True,False,False,False,True,True,,True,True,False,True,True,True,False,True,False,False,False,,True,True,False,,True,True,True,True,True,False,,False,False,True,True,True,True,False,False,False
