,mean_rank
MSRA-DeepST,14.2
Microsoft-DeepSTIA,14.3
Karlen-pypm,15.4
UCSD_NEU-DeepGLEAM,16.8
GT-DeepCOVID,16.9
JHU_CSSE-DECOM,17.0
JCB-PRM,17.4
UChicagoCHATTOPADHYAY-UnIT,17.4
DDS-NBDS,17.5
OliverWyman-Navigator,17.6
COVIDhub-ensemble,17.7
LNQ-ens1,17.9
MIT_CritData-GBCF,18.2
BPagano-RtDriven,18.4
CMU-TimeSeries,18.5
MOBS-GLEAM_COVID,19.0
LANL-GrowthRate,19.1
Caltech-CS156,19.5
CEID-Walk,19.8
COVIDhub-baseline,20.0
Geneva-DetGrowth,20.3
UCLA-SuEIR,20.4
IowaStateLW-STEM,20.8
JHUAPL-Bucky,20.9
epiforecasts-ensemble1,21.2
UMass-MechBayes,21.3
USC-SI_kJalpha,21.7
CU-select,23.4
UA-EpiCovDA,23.5
Google_Harvard-CPF,24.0
UCSB-ACTS,24.4
UT-Mobility,24.4
SteveMcConnell-CovidComplete,24.9
RobertWalraven-ESG,25.1
PSI-DRAFT,26.0
CovidAnalytics-DELPHI,26.1
Wadhwani_AI-BayesOpt,27.1
IHME-CurveFit,29.0
JHU_IDD-CovidSP,29.5
NotreDame-mobility,30.1
TTU-squider,31.0
WalmartLabsML-LogForecasting,39.1
Covid19Sim-Simulator,40.5
Columbia_UNC-SurvCon,42.8
