,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4102,3855.7,4786.0,5580.0,3308.0,,3139.7,-246.3,684.0,1478.0,-794.0,,-962.3,False,False,False,,False
Alaska,176,111.3,128.6,63.4,,,70.3,-64.7,-47.4,-112.6,,,-105.7,True,False,,,False
Arizona,7322,7867.7,6646.8,7507.1,7874.0,,6678.9,545.7,-675.2,185.1,552.0,,-643.1,False,True,False,,False
Arkansas,2911,2418.3,2326.0,2852.2,1986.0,,1908.9,-492.7,-585.0,-58.8,-925.0,,-1002.1,False,True,False,,False
California,20977,24733.6,18054.4,39079.4,22226.0,,21328.0,3756.6,-2922.6,18102.4,1249.0,,351.0,True,False,True,,True
Colorado,3871,2387.7,2220.4,3072.5,2312.0,,2155.9,-1483.3,-1650.6,-798.5,-1559.0,,-1715.1,False,True,False,,False
Connecticut,5363,4509.6,4558.2,4776.9,4617.0,,4542.5,-853.4,-804.8,-586.1,-746.0,,-820.5,True,True,True,,True
Delaware,815,678.3,689.3,1076.4,667.0,,650.1,-136.7,-125.7,261.4,-148.0,,-164.9,True,False,False,,False
District of Columbia,713,680.3,643.8,926.5,649.0,,686.3,-32.7,-69.2,213.5,-64.0,,-26.7,False,False,False,,True
Florida,19785,21964.7,16018.4,24025.5,18650.0,,17642.1,2179.7,-3766.6,4240.5,-1135.0,,-2142.9,False,False,True,,True
Georgia,10075,12037.1,9082.3,12921.8,8594.0,,8804.8,1962.1,-992.7,2846.8,-1481.0,,-1270.2,True,False,True,,True
Hawaii,271,389.9,372.7,197.3,,,390.4,118.9,101.7,-73.7,,,119.4,True,True,,,False
Idaho,1169,745.3,659.1,1459.6,810.0,,647.6,-423.7,-509.9,290.6,-359.0,,-521.4,False,True,True,,False
