,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4102,3119.9,2661.4,3163.1,3164.0,,3067.3,-982.1,-1440.6,-938.9,-938.0,,-1034.7,False,True,True,,False
Alaska,176,77.7,67.6,153.9,,,75.7,-98.3,-108.4,-22.1,,,-100.3,False,True,,,False
Arizona,7322,6524.1,5861.1,7144.3,6414.0,,6505.4,-797.9,-1460.9,-177.7,-908.0,,-816.6,False,True,False,,False
Arkansas,2911,2578.3,2605.8,3019.1,2683.0,,2221.3,-332.7,-305.2,108.1,-228.0,,-689.7,True,True,True,,False
California,20977,21479.7,19430.1,20528.3,19695.0,,19989.1,502.7,-1546.9,-448.7,-1282.0,,-987.9,False,True,False,,False
Colorado,3871,2334.1,2356.0,2586.8,2311.0,,2187.4,-1536.9,-1515.0,-1284.2,-1560.0,,-1683.6,True,True,False,,False
Connecticut,5363,4631.3,4734.6,4702.5,4643.0,,4578.7,-731.7,-628.4,-660.5,-720.0,,-784.3,True,True,True,,False
Delaware,887,763.3,796.3,779.0,690.0,,681.3,-107.7,-74.7,-92.0,-181.0,,-189.7,True,True,False,,False
District of Columbia,713,700.0,728.1,669.3,649.0,,654.4,-13.0,15.1,-43.7,-64.0,,-58.6,False,False,False,,False
Florida,19785,20969.7,19186.4,20057.9,18552.5,,18620.0,1184.7,-598.6,272.9,-1232.5,,-1165.0,True,True,False,,True
Georgia,10075,9291.1,8257.2,8965.1,8753.0,,9100.7,-783.9,-1817.8,-1109.9,-1322.0,,-974.3,False,False,False,,False
Hawaii,271,392.6,962.3,214.8,,,209.3,121.6,691.3,-56.2,,,-61.7,False,True,,,True
