,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4102,3799.9,3899.2,3810.2,3819.0,3802.0,3912.0,3799.0,3854.7,4005.0,4153.9,3920.0,3881.5,3772.8,3904.0,,3765.0,4032.0,4023.0,4065.8,3918.0,3845.7,3976.9,3943.0,3826.5,3975.0,3996.2,3911.9,3909.9,4144.6,3912.0,,3997.4,4322.4,3993.0,4030.9,3896.0,3742.9,,4076.1,3993.0,3828.9,3879.0,,4049.3,3972.0,3808.0,3733.4,3866.0,-302.1,-202.8,-291.8,-283.0,-300.0,-190.0,-303.0,-247.3,-97.0,51.9,-182.0,-220.5,-329.2,-198.0,,-337.0,-70.0,-79.0,-36.2,-184.0,-256.3,-125.1,-159.0,-275.5,-127.0,-105.8,-190.1,-192.1,42.6,-190.0,,-104.6,220.4,-109.0,-71.1,-206.0,-359.1,,-25.9,-109.0,-273.1,-223.0,,-52.7,-130.0,-294.0,-368.6,-236.0,True,True,True,True,True,False,True,True,True,True,True,False,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Alaska,176,154.4,175.8,168.0,168.0,159.0,155.0,145.0,146.2,127.0,178.6,149.0,135.4,161.6,189.1,,,,155.0,129.1,181.0,161.6,155.1,137.0,145.6,191.0,155.1,178.5,127.8,156.4,142.0,,,103.8,143.0,188.6,162.0,157.5,,177.2,155.3,173.8,155.0,,179.9,143.0,128.0,131.4,151.0,-21.6,-0.2,-8.0,-8.0,-17.0,-21.0,-31.0,-29.8,-49.0,2.6,-27.0,-40.6,-14.4,13.1,,,,-21.0,-46.9,5.0,-14.4,-20.9,-39.0,-30.4,15.0,-20.9,2.5,-48.2,-19.6,-34.0,,,-72.2,-33.0,12.6,-14.0,-18.5,,1.2,-20.7,-2.2,-21.0,,3.9,-33.0,-48.0,-44.6,-25.0,True,True,True,True,True,False,False,False,True,False,False,True,True,,,,True,False,True,True,True,False,False,True,True,True,False,True,False,,,False,False,True,True,True,,True,True,True,True,,True,False,False,False,False
Arizona,7322,6949.7,7112.6,6943.2,6996.0,6958.2,7079.0,7079.0,7123.7,7128.0,7661.5,6788.0,6966.2,6976.0,7188.1,,7005.0,7038.0,7138.3,7149.1,7063.0,7180.4,7239.9,6905.0,7001.1,7266.0,7018.3,7123.1,7131.2,7087.9,7002.0,,7113.7,7189.3,7306.0,7582.3,6971.0,6931.0,,7253.4,7024.5,6990.3,7198.0,,7624.1,7147.0,6960.0,6804.7,7000.0,-372.3,-209.4,-378.8,-326.0,-363.8,-243.0,-243.0,-198.3,-194.0,339.5,-534.0,-355.8,-346.0,-133.9,,-317.0,-284.0,-183.7,-172.9,-259.0,-141.6,-82.1,-417.0,-320.9,-56.0,-303.7,-198.9,-190.8,-234.1,-320.0,,-208.3,-132.7,-16.0,260.3,-351.0,-391.0,,-68.6,-297.5,-331.7,-124.0,,302.1,-175.0,-362.0,-517.3,-322.0,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Arkansas,2911,2679.9,2703.1,2658.3,2719.0,2673.0,2703.0,2673.0,2723.7,2676.0,2931.6,2817.0,2665.6,2800.3,2834.6,,2673.0,2773.0,2751.3,2858.1,2757.0,2691.2,2821.1,2678.0,2702.0,2775.0,2693.5,2755.2,2545.9,2934.4,2677.5,,2909.2,3075.3,2787.0,3109.4,2656.0,2677.3,,2843.7,2703.3,2663.9,2689.0,,2738.3,2715.0,2637.5,2617.5,2561.0,-231.1,-207.9,-252.7,-192.0,-238.0,-208.0,-238.0,-187.3,-235.0,20.6,-94.0,-245.4,-110.7,-76.4,,-238.0,-138.0,-159.7,-52.9,-154.0,-219.8,-89.9,-233.0,-209.0,-136.0,-217.5,-155.8,-365.1,23.4,-233.5,,-1.8,164.3,-124.0,198.4,-255.0,-233.7,,-67.3,-207.7,-247.1,-222.0,,-172.7,-196.0,-273.5,-293.5,-350.0,True,False,True,False,True,False,True,False,True,True,False,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,,True,True,True,True,False,False,,True,True,False,True,,True,True,False,False,False
California,20977,19940.3,20691.2,19988.2,20282.0,20004.1,20222.0,20845.0,20411.0,20600.0,20555.7,19862.0,19954.8,20249.8,20410.5,,19987.0,20336.0,20222.0,20943.0,20289.0,20824.6,20625.1,20101.0,20332.8,20482.0,20075.7,20582.9,19878.2,20255.8,20152.0,,20297.5,21234.2,20394.0,17299.8,20089.0,20002.4,19711.0,20136.8,20089.5,20223.5,20436.0,,21702.2,20722.0,19951.0,19715.7,20026.0,-1035.7,-284.8,-987.8,-694.0,-971.9,-754.0,-131.0,-565.0,-376.0,-420.3,-1114.0,-1021.2,-726.2,-565.5,,-989.0,-640.0,-754.0,-33.0,-687.0,-151.4,-350.9,-875.0,-643.2,-494.0,-900.3,-393.1,-1097.8,-720.2,-824.0,,-678.5,258.2,-582.0,-3676.2,-887.0,-973.6,-1265.0,-839.2,-886.5,-752.5,-540.0,,726.2,-254.0,-1025.0,-1260.3,-950.0,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,False,True,True,False,True,True,True,True,,True,True,True,False,True
Colorado,3871,3368.9,3547.1,3362.0,3480.0,3375.0,3522.0,3460.0,3545.5,3377.0,4113.1,3530.0,3437.9,3471.6,3649.0,,3231.0,3553.0,3641.2,3607.1,3538.0,3512.9,3579.9,3348.0,3448.8,3614.0,3534.4,3529.5,3379.6,3683.6,3380.0,,3686.7,4259.5,3546.0,4128.0,3274.0,3287.3,,3725.1,3538.5,3363.2,3462.0,,5286.0,3693.0,3567.5,3098.9,3450.0,-502.1,-323.9,-509.0,-391.0,-496.0,-349.0,-411.0,-325.5,-494.0,242.1,-341.0,-433.1,-399.4,-222.0,,-640.0,-318.0,-229.8,-263.9,-333.0,-358.1,-291.1,-523.0,-422.2,-257.0,-336.6,-341.5,-491.4,-187.4,-491.0,,-184.3,388.5,-325.0,257.0,-597.0,-583.7,,-145.9,-332.5,-507.8,-409.0,,1415.0,-178.0,-303.5,-772.1,-421.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,False,,True,True,False,True,,False,True,True,False,True
Connecticut,5363,5208.0,5351.7,5232.5,5237.0,5227.0,5266.0,5199.0,5235.9,5074.0,5368.6,5176.0,5167.6,5352.4,5414.8,,5129.0,5249.0,5239.5,5298.1,5229.0,5198.5,5339.5,5260.0,5155.4,5234.0,5301.1,5267.8,5122.7,5265.7,5008.0,,5309.8,5033.1,5346.0,5525.4,5095.0,5029.5,,5298.3,5312.4,5176.9,5283.0,,6971.9,5306.0,5163.5,4986.9,5300.0,-155.0,-11.3,-130.5,-126.0,-136.0,-97.0,-164.0,-127.1,-289.0,5.6,-187.0,-195.4,-10.6,51.8,,-234.0,-114.0,-123.5,-64.9,-134.0,-164.5,-23.5,-103.0,-207.6,-129.0,-61.9,-95.2,-240.3,-97.3,-355.0,,-53.2,-329.9,-17.0,162.4,-268.0,-333.5,,-64.7,-50.6,-186.1,-80.0,,1608.9,-57.0,-199.5,-376.1,-63.0,True,True,True,True,True,False,True,False,True,False,False,True,True,,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,,True,False,True,False,False,False,,True,True,False,True,,False,True,False,False,True
Delaware,887,810.9,821.1,796.1,802.0,797.0,818.0,825.0,807.6,796.0,837.8,804.0,829.9,829.6,835.9,,789.0,811.0,803.9,811.3,808.0,833.0,823.0,818.0,805.6,820.0,801.5,836.9,828.1,816.5,787.0,,,765.6,801.0,783.7,835.0,801.4,,824.4,815.0,805.1,826.0,,944.8,806.0,802.0,787.3,818.0,-29.1,-18.9,-43.9,-38.0,-43.0,-22.0,-15.0,-32.4,-44.0,-2.2,-36.0,-10.1,-10.4,-4.1,,-51.0,-29.0,-36.1,-28.7,-32.0,-7.0,-17.0,-22.0,-34.4,-20.0,-38.5,-3.1,-11.9,-23.5,-53.0,,,-74.4,-39.0,-56.3,-5.0,-38.6,,-15.6,-25.0,-34.9,-14.0,,104.8,-34.0,-38.0,-52.7,-22.0,True,False,False,False,True,True,False,False,True,False,True,True,True,,False,True,False,True,False,True,True,True,False,True,False,True,True,True,False,,,False,False,False,True,False,,True,True,False,True,,False,False,False,False,True
District of Columbia,713,698.6,701.6,696.8,698.0,694.0,702.0,702.0,706.2,704.0,714.7,689.0,708.8,705.8,727.2,,695.0,702.0,700.5,716.0,700.0,711.1,705.1,693.0,694.5,709.0,,,690.1,702.7,702.0,,,705.7,696.0,723.3,708.0,688.7,,717.9,,694.4,703.0,,767.9,706.0,699.0,684.2,704.0,-14.4,-11.4,-16.2,-15.0,-19.0,-11.0,-11.0,-6.8,-9.0,1.7,-24.0,-4.2,-7.2,14.2,,-18.0,-11.0,-12.5,3.0,-13.0,-1.9,-7.9,-20.0,-18.5,-4.0,,,-22.9,-10.3,-11.0,,,-7.3,-17.0,10.3,-5.0,-24.3,,4.9,,-18.6,-10.0,,54.9,-7.0,-14.0,-28.8,-9.0,True,False,False,False,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,False,False,True,,,False,True,True,,,True,False,True,True,False,,True,,False,True,,False,True,True,False,True
Florida,19785,19445.3,19789.0,19464.1,19456.0,19466.0,19576.0,19720.0,19591.2,19139.0,19460.9,19326.0,19372.2,19764.3,19575.6,,19424.0,19455.0,19507.7,19491.7,19597.0,20043.3,19623.4,19889.0,19668.7,19740.0,19759.3,19829.1,19726.8,19766.9,19272.0,,19739.4,19603.2,19619.0,20815.5,19527.0,19524.3,,19396.0,19766.9,19357.3,19691.0,,20112.4,19671.0,19352.5,19154.3,19281.0,-339.7,4.0,-320.9,-329.0,-319.0,-209.0,-65.0,-193.8,-646.0,-324.1,-459.0,-412.8,-20.7,-209.4,,-361.0,-330.0,-277.3,-293.3,-188.0,258.3,-161.6,104.0,-116.3,-45.0,-25.7,44.1,-58.2,-18.1,-513.0,,-45.6,-181.8,-166.0,1030.5,-258.0,-260.7,,-389.0,-18.1,-427.7,-94.0,,327.4,-114.0,-432.5,-630.7,-504.0,True,True,True,True,True,True,True,False,True,False,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,False,True,,True,True,False,False,False
