,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3246,4085.3,4401.5,2629.5,3162.0,,839.3,1155.5,-616.5,-84.0,,False,True,True,
Alaska,98,34.9,280.6,22.7,,,-63.1,182.6,-75.3,,,False,False,,
Arizona,6300,11594.1,8813.2,5469.9,7887.0,,5294.1,2513.2,-830.1,1587.0,,True,True,True,
Arkansas,2159,963.9,1488.8,637.9,941.0,,-1195.1,-670.2,-1521.1,-1218.0,,True,False,False,
California,18253,18908.1,25074.3,23144.4,16864.0,,655.1,6821.3,4891.4,-1389.0,,False,False,False,
Colorado,2525,2207.1,3116.4,2068.3,2005.0,,-317.9,591.4,-456.7,-520.0,,False,False,False,
Connecticut,4737,5205.1,4501.3,4465.4,4529.0,,468.1,-235.7,-271.6,-208.0,,True,True,True,
Delaware,736,624.1,719.0,555.8,577.0,,-111.9,-17.0,-180.2,-159.0,,True,False,False,
District of Columbia,658,746.6,647.5,693.0,644.0,,88.6,-10.5,35.0,-14.0,,True,True,True,
Florida,17489,17456.3,28696.3,21837.2,17521.0,,-32.7,11207.3,4348.2,32.0,,False,False,True,
Georgia,8956,6056.6,12082.2,4959.2,4467.0,,-2899.4,3126.2,-3996.8,-4489.0,,False,False,False,
Hawaii,222,108.3,92.7,20.7,,,-113.7,-129.3,-201.3,,,False,False,,
Idaho,759,405.6,2293.0,735.1,375.0,,-353.4,1534.0,-23.9,-384.0,,False,True,False,
Illinois,11088,9173.7,9339.8,8454.8,8313.0,,-1914.3,-1748.2,-2633.2,-2775.0,,True,False,False,
Indiana,4888,3867.1,4602.6,3803.9,3089.0,,-1020.9,-285.4,-1084.1,-1799.0,,True,False,False,
Iowa,1985,1484.1,2404.4,1301.9,959.0,,-500.9,419.4,-683.1,-1026.0,,True,False,False,
Kansas,1256,511.3,1652.9,423.1,463.0,,-744.7,396.9,-832.9,-793.0,,True,False,False,
Kentucky,1658,1428.6,1685.6,1324.9,859.0,,-229.4,27.6,-333.1,-799.0,,True,False,False,
