,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3246,3015.3,3222.0,2957.0,,2902.6,-230.7,-24.0,-289.0,,-343.4,True,False,,False
Alaska,98,61.7,105.1,,,58.3,-36.3,7.1,,,-39.7,True,,,False
Arizona,6300,6216.6,6309.5,6731.0,,6276.6,-83.4,9.5,431.0,,-23.4,True,False,,True
Arkansas,2159,1751.6,1975.2,2182.0,,1554.6,-407.4,-183.8,23.0,,-604.4,True,True,,False
California,18253,20108.6,17101.8,19924.0,,18591.1,1855.6,-1151.2,1671.0,,338.1,True,True,,True
Colorado,2525,2129.7,2206.4,2300.0,,2097.9,-395.3,-318.6,-225.0,,-427.1,True,True,,False
Connecticut,4737,4586.3,4558.4,4609.0,,4550.6,-150.7,-178.6,-128.0,,-186.4,False,True,,False
Delaware,736,668.1,697.4,653.0,,648.3,-67.9,-38.6,-83.0,,-87.7,True,False,,False
District of Columbia,658,660.3,648.6,647.0,,641.8,2.3,-9.4,-11.0,,-16.2,False,False,,False
Florida,17489,19330.6,16366.1,17459.0,,17444.1,1841.6,-1122.9,-30.0,,-44.9,True,True,,True
Georgia,8956,8954.7,8144.0,8465.0,,8521.8,-1.3,-812.0,-491.0,,-434.2,False,False,,False
Hawaii,222,223.0,184.9,,,201.8,1.0,-37.1,,,-20.2,False,,,False
Idaho,759,680.7,652.2,649.0,,616.5,-78.3,-106.8,-110.0,,-142.5,False,False,,False
Illinois,11088,9878.4,9616.7,9710.0,,9512.5,-1209.6,-1471.3,-1378.0,,-1575.5,False,False,,False
Indiana,4888,4093.4,4081.3,4422.0,,3900.4,-794.6,-806.7,-466.0,,-987.6,False,True,,False
Iowa,1985,1689.4,1755.7,1871.0,,1628.1,-295.6,-229.3,-114.0,,-356.9,True,True,,False
Kansas,1256,944.3,850.8,663.0,,804.7,-311.7,-405.2,-593.0,,-451.3,False,False,,False
Kentucky,1658,1626.9,1684.9,1762.0,,1576.6,-31.1,26.9,104.0,,-81.4,True,False,,False
Louisiana,6121,6492.7,5922.3,6194.0,,6836.6,371.7,-198.7,73.0,,715.6,True,True,,False
Maine,163,153.7,150.8,210.0,,142.0,-9.3,-12.2,47.0,,-21.0,False,False,,False
Maryland,4293,4183.4,4293.4,4054.0,,4073.7,-109.6,0.4,-239.0,,-219.3,True,False,,False
Massachusetts,10293,9962.9,9476.1,9573.0,,9516.0,-330.1,-816.9,-720.0,,-777.0,False,False,,False
Michigan,8376,7841.0,7843.4,7626.0,,7394.0,-535.0,-532.6,-750.0,,-982.0,True,False,,False
Minnesota,2930,2520.1,2384.7,2641.0,,2442.0,-409.9,-545.3,-289.0,,-488.0,False,True,,False
Mississippi,3540,3697.9,3259.2,4454.0,,3502.7,157.9,-280.8,914.0,,-37.3,False,False,,True
Missouri,3387,2138.4,2913.9,2278.0,,2160.1,-1248.6,-473.1,-1109.0,,-1226.9,True,True,,True
Montana,514,294.4,308.2,459.0,,220.4,-219.6,-205.8,-55.0,,-293.6,True,True,,False
Nebraska,779,699.7,736.3,827.0,,565.1,-79.3,-42.7,48.0,,-213.9,True,True,,False
Nevada,1908,2010.0,1798.3,2003.0,,2116.9,102.0,-109.7,95.0,,208.9,False,True,,False
New Hampshire,499,462.6,471.9,493.0,,470.6,-36.4,-27.1,-6.0,,-28.4,True,True,,True
New Jersey,16548,16403.0,16357.1,16624.0,,16267.5,-145.0,-190.9,76.0,,-280.5,False,True,,False
New Mexico,1208,1000.1,979.4,1143.0,,930.8,-207.9,-228.6,-65.0,,-277.2,False,True,,False
New York,34010,33341.9,33467.0,33803.0,,33311.4,-668.1,-543.0,-207.0,,-698.6,True,True,,False
North Carolina,4756,4486.9,4402.8,5005.0,,4089.5,-269.1,-353.2,249.0,,-666.5,False,True,,False
North Dakota,726,274.3,411.7,338.0,,206.0,-451.7,-314.3,-388.0,,-520.0,True,True,,False
Ohio,5714,5796.7,5530.9,6386.0,,5472.3,82.7,-183.1,672.0,,-241.7,False,False,,False
Oklahoma,1516,1365.6,1399.5,1648.0,,1298.0,-150.4,-116.5,132.0,,-218.0,True,True,,False
Oregon,759,757.0,672.3,788.0,,711.0,-2.0,-86.7,29.0,,-48.0,False,False,,False
Pennsylvania,9252,8528.7,8742.6,8605.0,,8233.0,-723.3,-509.4,-647.0,,-1019.0,True,True,,False
Rhode Island,1254,1212.7,1164.4,1130.0,,1141.7,-41.3,-89.6,-124.0,,-112.3,False,False,,False
South Carolina,4110,4631.7,4560.0,4208.0,,4142.3,521.7,450.0,98.0,,32.3,True,True,,True
South Dakota,621,281.4,338.6,401.0,,231.9,-339.6,-282.4,-220.0,,-389.1,True,True,,False
Tennessee,3877,3964.6,3155.1,3639.0,,3482.1,87.6,-721.9,-238.0,,-394.9,False,False,,False
Texas,20049,21056.7,17622.8,20450.0,20348.0,19220.7,1108.7,-2325.2,502.0,400.0,-727.3,False,True,True,True
Utah,710,530.4,752.8,778.0,,580.7,-179.6,42.8,68.0,,-129.3,True,True,,True
Vermont,59,58.0,61.8,82.0,,59.5,-1.0,2.8,23.0,,0.5,False,False,,True
Virginia,3799,3131.4,3497.4,3816.0,,3011.6,-667.6,-301.6,17.0,,-787.4,True,True,,False
Washington,2493,2327.6,2278.0,2276.0,,2446.9,-173.4,-223.0,-225.0,,-54.1,False,False,,True
West Virginia,574,426.4,794.3,676.0,,399.3,-147.6,220.3,102.0,,-174.7,False,True,,False
Wisconsin,2739,1582.0,1979.6,1745.0,,1512.4,-1099.0,-701.4,-936.0,,-1168.6,True,True,,False
