,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3246,3399.7,3903.0,4383.1,3049.0,,2992.0,153.7,657.0,1137.1,-197.0,,-254.0,False,False,False,,False
Alaska,98,91.3,100.3,58.1,,,65.8,-6.7,2.3,-39.9,,,-32.2,True,False,,,False
Arizona,6300,7103.7,6333.8,6653.4,7316.0,,6446.8,803.7,33.8,353.4,1016.0,,146.8,True,True,False,,True
Arkansas,2159,1978.3,2003.5,2469.8,1663.0,,1662.0,-180.7,-155.5,310.8,-496.0,,-497.0,True,False,False,,False
California,18253,21557.6,17382.2,25644.0,20345.0,,19850.3,3304.6,-870.8,7391.0,2092.0,,1597.3,True,False,True,,True
Colorado,2525,2267.7,2157.1,2400.2,2237.0,,2128.8,-257.3,-367.9,-124.8,-288.0,,-396.2,False,True,False,,False
Connecticut,4737,4497.6,4544.1,4604.1,4594.0,,4521.4,-239.4,-192.9,-132.9,-143.0,,-215.6,True,True,True,,True
Delaware,736,658.3,668.2,800.1,654.0,,641.4,-77.7,-67.8,64.1,-82.0,,-94.6,True,True,False,,False
District of Columbia,658,660.3,637.9,723.7,639.0,,669.4,2.3,-20.1,65.7,-19.0,,11.4,False,False,False,,False
Florida,17489,19044.7,15086.6,18467.1,17179.0,,16625.6,1555.7,-2402.4,978.1,-310.0,,-863.4,False,True,True,,True
Georgia,8956,10305.1,8489.5,11500.6,8032.0,,8303.1,1349.1,-466.5,2544.6,-924.0,,-652.9,True,False,True,,True
Hawaii,222,301.9,309.5,143.4,,,309.6,79.9,87.5,-78.6,,,87.6,False,True,,,False
Idaho,759,641.3,601.1,1264.7,694.0,,588.0,-117.7,-157.9,505.7,-65.0,,-171.0,False,False,True,,False
Illinois,11088,9986.9,10038.9,12473.9,9259.0,,9997.7,-1101.1,-1049.1,1385.9,-1829.0,,-1090.3,True,False,False,,True
Indiana,4888,4083.6,4020.4,4658.3,4059.0,,3977.8,-804.4,-867.6,-229.7,-829.0,,-910.2,False,True,False,,False
Iowa,1985,1699.3,2299.2,2874.6,1872.0,,1678.7,-285.7,314.2,889.6,-113.0,,-306.3,False,False,True,,False
Kansas,1256,796.4,898.3,983.0,667.0,,781.5,-459.6,-357.7,-273.0,-589.0,,-474.5,True,True,False,,False
Kentucky,1658,1656.4,1769.8,2806.3,1299.0,,1756.8,-1.6,111.8,1148.3,-359.0,,98.8,False,False,False,,False
Louisiana,6121,6689.9,5809.3,7570.6,6222.0,,6335.9,568.9,-311.7,1449.6,101.0,,214.9,True,False,True,,True
Maine,163,153.7,154.1,183.8,190.0,,144.4,-9.3,-8.9,20.8,27.0,,-18.6,True,False,False,,False
Maryland,4293,4262.3,4296.0,5056.1,4070.0,,4052.9,-30.7,3.0,763.1,-223.0,,-240.1,True,False,False,,False
Massachusetts,10293,9874.1,12546.5,12064.6,9404.0,,9306.2,-418.9,2253.5,1771.6,-889.0,,-986.8,False,False,False,,False
Michigan,8376,7377.7,7484.8,8677.6,7570.0,,7289.9,-998.3,-891.2,301.6,-806.0,,-1086.1,True,True,True,,False
Minnesota,2930,2342.7,2481.1,4349.9,2306.0,,2348.6,-587.3,-448.9,1419.9,-624.0,,-581.4,True,False,False,,True
Mississippi,3540,3993.6,3673.9,3829.6,4012.0,,3363.8,453.6,133.9,289.6,472.0,,-176.2,True,True,False,,True
