,mean_rank
Karlen-pypm,16.1
Caltech-CS156,16.4
OliverWyman-Navigator,16.9
UMass-MechBayes,17.1
COVIDhub-ensemble,17.4
USC-SI_kJalpha,17.7
SteveMcConnell-CovidComplete,18.0
LNQ-ens1,18.0
Columbia_UNC-SurvCon,18.1
MSRA-DeepST,18.4
GT-DeepCOVID,18.8
UCSD_NEU-DeepGLEAM,18.8
LANL-GrowthRate,19.2
MOBS-GLEAM_COVID,19.6
Google_Harvard-CPF,19.8
UChicagoCHATTOPADHYAY-UnIT,20.7
BPagano-RtDriven,21.0
JCB-PRM,21.4
USC-SI_kJalpha_RF,21.4
JHU_CSSE-DECOM,21.5
COVIDhub-baseline,21.9
CEID-Walk,22.1
DDS-NBDS,22.1
CMU-TimeSeries,22.5
IQVIA_ACOE-STAN,23.4
UT-Mobility,23.4
epiforecasts-ensemble1,23.5
UCLA-SuEIR,23.5
IowaStateLW-STEM,24.0
UA-EpiCovDA,24.6
RobertWalraven-ESG,25.3
Geneva-DetGrowth,25.5
MIT_CritData-GBCF,25.9
UMich-RidgeTfReg,26.0
CovidAnalytics-DELPHI,26.1
CU-select,26.1
UCSB-ACTS,26.4
JHU_UNC_GAS-StatMechPool,26.8
JHUAPL-Bucky,26.8
NotreDame-mobility,28.2
PSI-DRAFT,28.7
Covid19Sim-Simulator,31.5
JHU_IDD-CovidSP,34.1
TTU-squider,35.2
WalmartLabsML-LogForecasting,35.3
