,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3246,4422.4,4896.8,3618.2,3375.0,,1176.4,1650.8,372.2,129.0,,False,True,True,
Alaska,98,51.7,183.8,19.0,,,-46.3,85.8,-79.0,,,False,False,,
Arizona,6300,11931.3,7176.0,5767.1,7486.0,,5631.3,876.0,-532.9,1186.0,,True,True,True,
Arkansas,2159,1098.7,1855.1,954.9,1208.0,,-1060.3,-303.9,-1204.1,-951.0,,True,False,True,
California,18255,20071.3,25577.9,21116.1,16804.0,,1816.3,7322.9,2861.1,-1451.0,,False,False,True,
Colorado,2525,2460.0,3086.2,3013.0,2064.0,,-65.0,561.2,488.0,-461.0,,False,False,False,
Connecticut,4737,4682.6,4509.9,4787.1,4485.0,,-54.4,-227.1,50.1,-252.0,,False,True,False,
Delaware,736,1467.0,744.4,568.1,619.0,,731.0,8.4,-167.9,-117.0,,True,True,True,
District of Columbia,658,628.6,679.2,714.0,597.0,,-29.4,21.2,56.0,-61.0,,True,False,False,
Florida,17489,19681.4,25456.9,19733.5,14406.0,,2192.4,7967.9,2244.5,-3083.0,,False,False,False,
Georgia,8956,8635.7,9986.3,7855.7,5264.0,,-320.3,1030.3,-1100.3,-3692.0,,False,False,False,
Hawaii,222,57.7,104.1,27.6,,,-164.3,-117.9,-194.4,,,True,False,,
Idaho,759,574.1,1617.3,660.8,396.0,,-184.9,858.3,-98.2,-363.0,,False,True,False,
Illinois,11088,9207.4,10374.1,8562.2,8343.0,,-1880.6,-713.9,-2525.8,-2745.0,,True,False,False,
Indiana,4888,4187.4,4207.6,3442.8,3673.0,,-700.6,-680.4,-1445.2,-1215.0,,True,False,False,
Iowa,1985,1399.9,1854.9,2036.5,1198.0,,-585.1,-130.1,51.5,-787.0,,True,True,False,
Kansas,1256,679.9,1429.3,423.1,569.0,,-576.1,173.3,-832.9,-687.0,,True,False,False,
Kentucky,1658,1175.7,2493.9,1169.1,964.0,,-482.3,835.9,-488.9,-694.0,,False,False,False,
Louisiana,6121,7251.6,7056.0,5114.5,7397.0,,1130.6,935.0,-1006.5,1276.0,,True,True,False,
Maine,163,150.7,126.9,192.1,171.0,,-12.3,-36.1,29.1,8.0,,False,False,True,
