,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3246,3915.0,5348.2,4271.9,3050.0,,669.0,2102.2,1025.9,-196.0,,False,False,True,
Alaska,98,83.4,219.5,21.9,,,-14.6,121.5,-76.1,,,False,False,,
Arizona,6300,10599.3,5828.3,8210.4,8806.0,,4299.3,-471.7,1910.4,2506.0,,True,True,True,
Arkansas,2159,1400.0,1463.3,1003.8,1352.0,,-759.0,-695.7,-1155.2,-807.0,,True,False,False,
California,18253,23480.6,20458.1,17817.4,18844.0,,5227.6,2205.1,-435.6,591.0,,True,True,True,
Colorado,2525,2586.9,2813.6,2974.3,2174.0,,61.9,288.6,449.3,-351.0,,False,False,False,
Connecticut,4737,4714.3,4629.6,4902.2,4523.0,,-22.7,-107.4,165.2,-214.0,,False,False,False,
Delaware,736,674.1,702.6,746.0,639.0,,-61.9,-33.4,10.0,-97.0,,True,True,False,
District of Columbia,658,628.6,698.7,653.7,616.0,,-27.4,42.7,-2.3,-40.0,,False,True,False,
Florida,17489,25358.3,19567.5,16831.9,18182.0,,7869.3,2078.5,-657.1,693.0,,True,True,True,
Georgia,8956,8921.1,7984.0,10777.9,5937.0,,-34.9,-972.0,1821.9,-3019.0,,False,False,False,
Hawaii,222,26.0,199.7,34.3,,,-196.0,-22.3,-187.7,,,True,True,,
Idaho,759,954.7,1011.3,374.9,441.0,,195.7,252.3,-384.1,-318.0,,False,False,False,
Illinois,11088,9556.3,10494.2,8351.9,8615.0,,-1531.7,-593.8,-2736.1,-2473.0,,True,False,False,
Indiana,4888,4044.7,4260.1,4107.5,3354.0,,-843.3,-627.9,-780.5,-1534.0,,True,True,False,
Iowa,1985,1606.0,1585.1,1922.8,1016.0,,-379.0,-399.9,-62.2,-969.0,,False,True,False,
Kansas,1256,806.7,1105.9,632.1,692.0,,-449.3,-150.1,-623.9,-564.0,,True,False,False,
