,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8956,8297.6,8442.7,8426.0,8458.0,8411.3,8412.0,8406.0,8865.0,8461.8,8281.0,8476.5,8383.0,8412.3,,8553.9,8469.0,8382.1,8453.7,8292.0,8185.7,8355.0,8472.6,8325.9,8338.3,8304.0,8302.6,8314.3,,8196.1,8540.7,7922.0,,8640.7,8337.7,,8501.0,8873.0,8458.0,8390.7,,8277.4,8313.4,8388.0,8486.5,8413.5,8602.0,8226.0,8119.9,8239.0,-658.4,-513.3,-530.0,-498.0,-544.7,-544.0,-550.0,-91.0,-494.2,-675.0,-479.5,-573.0,-543.7,,-402.1,-487.0,-573.9,-502.3,-664.0,-770.3,-601.0,-483.4,-630.1,-617.7,-652.0,-653.4,-641.7,,-759.9,-415.3,-1034.0,,-315.3,-618.3,,-455.0,-83.0,-498.0,-565.3,,-678.6,-642.6,-568.0,-469.5,-542.5,-354.0,-730.0,-836.1,-717.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,,False,True,False,,True,True,,True,True,True,True,,False,True,True,True,True,True,False,False,False
Hawaii,222,283.4,336.0,296.2,280.0,290.0,271.0,229.0,270.0,265.0,250.0,277.7,,237.4,,242.5,,274.7,244.8,273.0,283.7,275.5,260.6,250.4,246.1,257.0,273.6,275.3,,355.1,271.3,271.0,,,199.2,,271.0,186.9,316.0,232.8,,254.2,279.6,260.0,265.5,225.6,272.0,291.0,242.1,275.0,61.4,114.0,74.2,58.0,68.0,49.0,7.0,48.0,43.0,28.0,55.7,,15.4,,20.5,,52.7,22.8,51.0,61.7,53.5,38.6,28.4,24.1,35.0,51.6,53.3,,133.1,49.3,49.0,,,-22.8,,49.0,-35.1,94.0,10.8,,32.2,57.6,38.0,43.5,3.6,50.0,69.0,20.1,53.0,False,False,True,False,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,True,,True,True,False,True,,True,True,True,True,True,True,False,True,True
Idaho,759,701.6,851.6,702.0,677.0,701.0,700.0,780.0,685.0,676.2,638.0,668.5,712.9,700.1,,599.3,676.0,704.3,691.3,770.0,665.8,663.5,750.7,644.3,717.4,733.0,746.8,734.4,,706.9,695.6,791.0,,,588.1,,697.0,616.9,721.0,679.3,,625.7,764.7,728.0,671.6,739.2,745.0,690.0,623.3,672.0,-57.4,92.6,-57.0,-82.0,-58.0,-59.0,21.0,-74.0,-82.8,-121.0,-90.5,-46.1,-58.9,,-159.7,-83.0,-54.7,-67.7,11.0,-93.2,-95.5,-8.3,-114.7,-41.6,-26.0,-12.2,-24.6,,-52.1,-63.4,32.0,,,-170.9,,-62.0,-142.1,-38.0,-79.7,,-133.3,5.7,-31.0,-87.4,-19.8,-14.0,-69.0,-135.7,-87.0,False,True,False,False,False,True,False,False,False,False,True,False,,False,False,True,False,True,False,False,True,False,True,True,True,True,,True,False,True,,,False,,False,False,True,False,,False,True,True,False,True,True,False,False,False
Illinois,11088,10635.0,11160.9,10644.0,10686.0,10648.2,10807.0,11013.0,11987.0,10931.8,10694.0,10587.7,10956.0,10777.7,,10450.5,10508.0,10828.9,11254.7,10352.0,10368.6,10465.5,11300.6,10446.6,10952.4,10359.0,10822.5,10846.5,10644.5,10244.3,10982.8,10456.0,,10420.3,10319.7,,10876.0,10284.0,11162.0,10425.0,,10465.1,10872.5,10891.0,10636.1,12359.8,11079.0,10837.0,9878.8,10592.0,-453.0,72.9,-444.0,-402.0,-439.8,-281.0,-75.0,899.0,-156.2,-394.0,-500.3,-132.0,-310.3,,-637.5,-580.0,-259.1,166.7,-736.0,-719.4,-622.5,212.6,-641.4,-135.6,-729.0,-265.5,-241.5,-443.5,-843.7,-105.2,-632.0,,-667.7,-768.3,,-212.0,-804.0,74.0,-663.0,,-622.9,-215.5,-197.0,-451.9,1271.8,-9.0,-251.0,-1209.2,-496.0,True,True,True,True,True,True,False,True,True,False,True,True,,False,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,False,True,True,False,False
Indiana,4888,4681.4,5041.2,4716.2,4732.0,4717.6,4718.0,4839.0,5278.0,4950.0,4590.0,4594.0,4715.7,4713.0,,4706.7,4617.0,4804.3,4858.1,4522.0,4414.4,4638.5,5018.0,4591.7,4805.2,4552.0,4713.7,4729.8,4995.0,4698.2,4886.2,4440.0,,4537.6,4381.1,,4816.0,5212.8,4846.0,4548.0,,4558.0,4738.5,4753.0,4510.8,5505.5,4972.0,4971.0,4079.6,4907.0,-206.6,153.2,-171.8,-156.0,-170.4,-170.0,-49.0,390.0,62.0,-298.0,-294.0,-172.3,-175.0,,-181.3,-271.0,-83.7,-29.9,-366.0,-473.6,-249.5,130.0,-296.3,-82.8,-336.0,-174.3,-158.2,107.0,-189.8,-1.8,-448.0,,-350.4,-506.9,,-72.0,324.8,-42.0,-340.0,,-330.0,-149.5,-135.0,-377.2,617.5,84.0,83.0,-808.4,19.0,True,True,True,True,True,True,False,True,False,False,True,True,,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,True,False,True
Iowa,1985,1929.3,2070.0,1948.4,1900.0,1952.0,1931.0,1761.0,2002.0,1946.4,1858.0,1923.5,1907.6,1955.2,,1909.6,1858.0,1963.2,1945.6,2075.0,1787.6,1922.0,1948.0,1874.6,1956.2,1957.0,1940.5,1925.9,,1940.9,2034.3,1877.0,,1901.7,1709.9,,1943.0,2183.3,1969.0,1892.2,,1878.6,1955.5,1898.0,1856.1,2048.4,1958.0,1919.0,1749.7,1942.0,-55.7,85.0,-36.6,-85.0,-33.0,-54.0,-224.0,17.0,-38.6,-127.0,-61.5,-77.4,-29.8,,-75.4,-127.0,-21.8,-39.4,90.0,-197.4,-63.0,-37.0,-110.4,-28.8,-28.0,-44.5,-59.1,,-44.1,49.3,-108.0,,-83.3,-275.1,,-42.0,198.3,-16.0,-92.8,,-106.4,-29.5,-87.0,-128.9,63.4,-27.0,-66.0,-235.3,-43.0,False,True,False,True,True,False,True,True,False,False,False,True,,False,False,True,True,False,False,False,True,False,True,True,True,False,,True,True,False,,False,False,,True,False,True,False,,False,True,False,False,False,True,False,False,True
Kansas,1256,1233.1,1359.5,1248.1,1292.0,1247.0,1248.0,1119.0,1493.0,1268.7,1145.0,1216.1,1227.9,1225.9,,1381.3,1185.0,1325.0,1377.2,1280.0,1127.8,1267.5,1244.7,1115.1,1195.0,1267.0,1285.5,1254.1,,1174.9,1256.7,1335.0,,,1019.9,,1316.0,1101.7,1216.0,1175.6,,1276.7,1298.2,1309.0,1291.8,1115.6,1288.0,1226.5,1066.2,1222.0,-3.9,122.5,11.1,55.0,10.0,11.0,-118.0,256.0,31.7,-92.0,-20.9,-9.1,-11.1,,144.3,-52.0,88.0,140.2,43.0,-109.2,30.5,7.7,-121.9,-42.0,30.0,48.5,17.1,,-62.1,19.7,98.0,,,-217.1,,79.0,-135.3,-21.0,-61.4,,39.7,61.2,72.0,54.8,-121.4,51.0,-10.5,-170.8,-15.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Kentucky,1658,1661.3,1829.1,1678.8,1656.0,1680.0,1672.0,1722.0,1667.0,1654.3,1630.0,1628.3,1614.1,1674.9,,1576.2,1686.0,1659.1,1649.9,1769.0,1624.2,1693.5,1694.3,1620.9,1687.1,1736.0,1742.8,1672.2,1684.0,1532.8,1747.9,1606.0,,1596.6,1585.0,,1679.0,1659.8,1707.0,1654.7,,1538.1,1761.9,1672.0,1585.4,1877.5,1731.0,1660.0,1514.5,1722.0,3.3,171.1,20.8,-2.0,22.0,14.0,64.0,9.0,-3.7,-28.0,-29.7,-43.9,16.9,,-81.8,28.0,1.1,-8.1,111.0,-33.8,35.5,36.3,-37.1,29.1,78.0,84.8,14.2,26.0,-125.2,89.9,-52.0,,-61.4,-73.0,,21.0,1.8,49.0,-3.3,,-119.9,103.9,14.0,-72.6,219.5,73.0,2.0,-143.5,64.0,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,,False,False,False,False,False,False,True,False,False
Louisiana,6121,6085.6,6091.0,6102.3,6063.0,6099.8,6097.0,6061.0,6144.0,6096.8,5965.0,6083.4,6144.0,6089.2,,6131.0,6065.0,6068.7,6121.8,5967.0,5985.2,6061.0,6094.6,6062.2,6033.3,6038.0,6134.7,6091.7,,6078.9,6075.6,6188.0,,6150.4,6080.9,,6131.0,5811.7,6150.0,6151.0,,6018.0,6144.2,6066.0,6214.8,6202.6,6094.0,6043.0,5866.8,6087.0,-35.4,-30.0,-18.7,-58.0,-21.2,-24.0,-60.0,23.0,-24.2,-156.0,-37.6,23.0,-31.8,,10.0,-56.0,-52.3,0.8,-154.0,-135.8,-60.0,-26.4,-58.8,-87.7,-83.0,13.7,-29.3,,-42.1,-45.4,67.0,,29.4,-40.1,,10.0,-309.3,29.0,30.0,,-103.0,23.2,-55.0,93.8,81.6,-27.0,-78.0,-254.2,-34.0,True,True,False,True,True,False,True,True,False,False,True,True,,True,False,False,True,False,False,False,True,False,False,False,True,True,,False,False,False,,True,False,,True,False,True,True,,False,True,False,False,False,True,False,False,True
Maine,163,146.0,147.9,147.3,152.0,148.0,152.0,147.0,152.0,151.3,153.0,158.2,151.7,150.3,,151.1,156.0,149.3,158.6,159.0,161.9,147.5,150.8,153.0,146.2,180.0,152.0,165.3,,148.3,150.8,150.0,,,160.0,,152.0,167.7,161.0,146.6,,149.1,171.0,153.0,154.6,167.0,151.0,149.0,150.4,,-17.0,-15.1,-15.7,-11.0,-15.0,-11.0,-16.0,-11.0,-11.7,-10.0,-4.8,-11.3,-12.7,,-11.9,-7.0,-13.7,-4.4,-4.0,-1.1,-15.5,-12.2,-10.0,-16.8,17.0,-11.0,2.3,,-14.7,-12.2,-13.0,,,-3.0,,-11.0,4.7,-2.0,-16.4,,-13.9,8.0,-10.0,-8.4,4.0,-12.0,-14.0,-12.6,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,
Maryland,4293,4264.6,4259.4,4252.8,4232.0,4256.4,4242.0,4292.0,4227.0,4213.4,4178.0,4286.7,4243.6,4249.2,,4268.3,4210.0,4226.2,4266.2,4245.0,4260.0,4204.0,4249.0,4201.9,4279.6,4240.0,4262.8,4237.5,,4252.2,4246.6,4176.0,,4225.3,4157.5,4911.0,4241.0,4347.3,4242.0,4211.7,,4198.2,4282.4,4242.0,4260.0,4559.4,4254.0,4295.0,4161.9,4293.0,-28.4,-33.6,-40.2,-61.0,-36.6,-51.0,-1.0,-66.0,-79.6,-115.0,-6.3,-49.4,-43.8,,-24.7,-83.0,-66.8,-26.8,-48.0,-33.0,-89.0,-44.0,-91.1,-13.4,-53.0,-30.2,-55.5,,-40.8,-46.4,-117.0,,-67.7,-135.5,618.0,-52.0,54.3,-51.0,-81.3,,-94.8,-10.6,-51.0,-33.0,266.4,-39.0,2.0,-131.1,0.0,False,False,False,False,False,True,False,False,False,True,False,False,,True,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,True
Massachusetts,10293,10226.9,10289.0,10189.4,10206.0,10191.1,10238.0,10398.0,10223.0,10352.8,10302.0,10298.7,10207.9,10414.4,,10233.3,10193.0,10271.0,10351.8,10157.0,10113.4,10054.0,10348.2,10193.4,10331.1,10084.0,10240.9,10234.3,,10241.2,10336.6,10175.0,,10235.9,9993.1,,10322.0,10597.8,10441.0,10077.9,,10183.5,10258.9,10370.0,10193.6,10936.6,10363.0,10294.0,10000.1,10081.0,-66.1,-4.0,-103.6,-87.0,-101.9,-55.0,105.0,-70.0,59.8,9.0,5.7,-85.1,121.4,,-59.7,-100.0,-22.0,58.8,-136.0,-179.6,-239.0,55.2,-99.6,38.1,-209.0,-52.1,-58.7,,-51.8,43.6,-118.0,,-57.1,-299.9,,29.0,304.8,148.0,-215.1,,-109.5,-34.1,77.0,-99.4,643.6,70.0,1.0,-292.9,-212.0,True,False,False,False,True,False,False,True,True,True,False,False,,True,False,True,True,False,False,False,True,False,True,False,True,True,,True,True,False,,True,False,,True,False,False,False,,False,True,False,False,False,False,True,False,False
Michigan,8376,8042.0,8504.8,8077.6,8046.0,8068.5,8074.0,8301.0,8479.0,8155.3,7979.0,7889.4,8459.6,7976.4,,8078.8,8085.0,8151.8,8458.3,7945.0,7974.8,7988.0,8239.1,7739.1,8106.7,7932.0,8228.3,8039.4,9553.5,7665.6,8245.7,7982.0,,7777.6,7779.2,,8152.0,8457.0,7960.0,7891.4,,7855.1,8248.6,8360.0,7894.6,9507.0,8343.0,8048.0,7593.4,8052.0,-334.0,128.8,-298.4,-330.0,-307.5,-302.0,-75.0,103.0,-220.7,-397.0,-486.6,83.6,-399.6,,-297.2,-291.0,-224.2,82.3,-431.0,-401.2,-388.0,-136.9,-636.9,-269.3,-444.0,-147.7,-336.6,1177.5,-710.4,-130.3,-394.0,,-598.4,-596.8,,-224.0,81.0,-416.0,-484.6,,-520.9,-127.4,-16.0,-481.4,1131.0,-33.0,-328.0,-782.6,-324.0,True,True,True,True,True,True,True,True,False,False,True,False,,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,,False,False,,True,True,False,False,,False,True,True,False,False,True,True,False,True
Minnesota,2930,2730.6,2843.1,2716.1,2677.0,2713.7,2737.0,2640.0,2827.0,2752.8,2767.0,2732.4,,2741.0,,2788.0,2737.0,2773.2,2716.6,2756.0,2618.8,2712.5,2735.7,2658.6,2793.5,2728.0,2787.5,2749.0,2623.5,2691.0,2810.5,2827.0,,2703.5,2652.7,,2674.0,3079.8,2767.0,2661.7,,2684.1,2809.4,2788.0,2668.3,3158.5,2773.0,2926.5,2469.7,2819.0,-199.4,-86.9,-213.9,-253.0,-216.3,-193.0,-290.0,-103.0,-177.2,-163.0,-197.6,,-189.0,,-142.0,-193.0,-156.8,-213.4,-174.0,-311.2,-217.5,-194.3,-271.4,-136.5,-202.0,-142.5,-181.0,-306.5,-239.0,-119.5,-103.0,,-226.5,-277.3,,-256.0,149.8,-163.0,-268.3,,-245.9,-120.6,-142.0,-261.7,228.5,-157.0,-3.5,-460.3,-111.0,True,False,False,False,True,False,True,True,True,True,,True,,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,,False,False,,False,True,True,False,,False,True,True,False,False,True,True,False,True
Mississippi,3540,3495.0,3544.2,3505.6,3516.0,3507.1,3507.0,3554.0,3592.0,3590.1,3420.0,3502.4,3430.2,3567.4,,3638.4,3469.0,3526.8,3579.3,3546.0,3384.0,3452.0,3638.6,3390.2,3467.9,3494.0,3508.2,3553.0,,3478.7,3528.3,3502.0,,3471.9,3290.8,,3566.0,3031.7,3402.0,3499.8,,3408.0,3527.7,3571.0,3533.9,3693.0,3558.0,3386.0,3452.1,3423.0,-45.0,4.2,-34.4,-24.0,-32.9,-33.0,14.0,52.0,50.1,-120.0,-37.6,-109.8,27.4,,98.4,-71.0,-13.2,39.3,6.0,-156.0,-88.0,98.6,-149.8,-72.1,-46.0,-31.8,13.0,,-61.3,-11.7,-38.0,,-68.1,-249.2,,26.0,-508.3,-138.0,-40.2,,-132.0,-12.3,31.0,-6.1,153.0,18.0,-154.0,-87.9,-117.0,True,True,True,True,True,True,False,False,False,True,False,True,,False,False,True,True,True,False,False,False,False,False,False,True,True,,False,True,True,,False,False,,True,False,False,True,,False,True,True,True,False,True,False,False,False
Missouri,3387,3471.4,3395.5,3602.9,3478.0,3489.1,3485.0,3515.0,3636.0,3666.1,3244.0,3372.4,3518.0,3296.1,,2917.4,3260.0,3637.6,3259.2,3294.0,3130.5,3362.5,3391.5,3285.5,3442.7,3310.0,3546.6,3457.6,,3305.9,3639.2,3439.0,,3381.3,3485.9,,3521.0,3410.7,3599.0,2987.1,,3551.1,3610.1,3242.0,3292.8,3484.9,3527.0,3631.0,2850.0,3555.0,84.4,8.5,215.9,91.0,102.1,98.0,128.0,249.0,279.1,-143.0,-14.6,131.0,-90.9,,-469.6,-127.0,250.6,-127.8,-93.0,-256.5,-24.5,4.5,-101.5,55.7,-77.0,159.6,70.6,,-81.1,252.2,52.0,,-5.7,98.9,,134.0,23.7,212.0,-399.9,,164.1,223.1,-145.0,-94.2,97.9,140.0,244.0,-537.0,168.0,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,True,True,False,True,True,False,True,,True,False,True,,True,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False
Montana,514,457.0,522.7,460.0,399.0,459.0,461.0,412.0,470.0,468.7,412.0,394.5,468.9,490.0,,493.9,394.0,491.0,523.7,472.0,343.8,416.0,469.8,410.7,447.8,477.0,554.4,462.5,,409.7,500.0,394.0,,,320.4,,483.0,591.6,472.0,358.8,,387.9,571.4,482.0,409.4,483.0,495.0,404.0,345.6,508.0,-57.0,8.7,-54.0,-115.0,-55.0,-53.0,-102.0,-44.0,-45.3,-102.0,-119.5,-45.1,-24.0,,-20.1,-120.0,-23.0,9.7,-42.0,-170.2,-98.0,-44.2,-103.3,-66.2,-37.0,40.4,-51.5,,-104.3,-14.0,-120.0,,,-193.6,,-31.0,77.6,-42.0,-155.2,,-126.1,57.4,-32.0,-104.6,-31.0,-19.0,-110.0,-168.4,-6.0,True,True,False,True,True,False,True,True,False,False,True,True,,True,False,True,True,True,False,False,True,False,False,True,True,True,,False,True,False,,,False,,True,False,True,False,,False,False,True,False,True,True,False,False,True
Nebraska,779,733.1,910.5,732.5,750.0,739.0,737.0,835.0,772.0,732.6,745.0,740.9,765.2,755.4,,648.0,731.0,739.7,727.8,811.0,714.4,725.0,757.0,669.3,735.8,843.0,763.3,760.0,,696.5,792.3,672.0,,,655.9,,747.0,650.8,743.0,694.2,,679.7,782.5,718.0,662.4,783.1,773.0,722.0,642.8,737.0,-45.9,131.5,-46.5,-29.0,-40.0,-42.0,56.0,-7.0,-46.4,-34.0,-38.1,-13.8,-23.6,,-131.0,-48.0,-39.3,-51.2,32.0,-64.6,-54.0,-22.0,-109.7,-43.2,64.0,-15.7,-19.0,,-82.5,13.3,-107.0,,,-123.1,,-32.0,-128.2,-36.0,-84.8,,-99.3,3.5,-61.0,-116.6,4.1,-6.0,-57.0,-136.2,-42.0,False,False,True,True,True,False,True,False,True,True,True,True,,False,False,True,False,True,False,False,True,False,True,False,True,True,,False,True,False,,,False,,True,False,True,False,,False,True,False,False,True,True,False,False,True
Nevada,1908,1841.1,1822.9,1823.8,1873.0,1834.8,1877.0,1909.0,1902.0,1927.5,1832.0,1883.9,1857.3,1872.3,,2072.2,1894.0,1873.8,1960.8,1867.0,1851.8,1845.0,1926.2,1868.7,1884.6,1853.0,1859.5,1928.9,,1889.0,1895.7,1785.0,,1966.3,1830.0,,1913.0,2095.8,1907.0,1883.3,,1852.8,1870.8,1921.0,1878.2,2005.4,1859.0,1843.0,1851.4,1852.0,-62.9,-81.1,-80.2,-31.0,-69.2,-27.0,5.0,-2.0,23.5,-72.0,-20.1,-46.7,-31.7,,168.2,-10.0,-30.2,56.8,-37.0,-52.2,-59.0,22.2,-35.3,-19.4,-51.0,-44.5,24.9,,-15.0,-8.3,-119.0,,62.3,-74.0,,9.0,191.8,3.0,-20.7,,-51.2,-33.2,17.0,-25.8,101.4,-45.0,-61.0,-52.6,-52.0,False,False,True,False,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,True,True,,True,True,True,True,False,True,True,True,True
New Hampshire,499,493.0,482.5,492.6,495.0,494.3,507.0,498.0,527.0,570.4,512.0,514.5,523.9,519.3,,531.0,499.0,512.7,533.0,502.0,498.8,501.0,529.8,494.8,492.0,510.0,492.6,524.4,,488.2,495.7,503.5,,,505.6,,509.0,498.0,510.0,490.5,,523.7,513.0,505.0,509.3,578.4,512.0,530.0,481.3,493.0,-6.0,-16.5,-6.4,-4.0,-4.7,8.0,-1.0,28.0,71.4,13.0,15.5,24.9,20.3,,32.0,0.0,13.7,34.0,3.0,-0.2,2.0,30.8,-4.2,-7.0,11.0,-6.4,25.4,,-10.8,-3.3,4.5,,,6.6,,10.0,-1.0,11.0,-8.5,,24.7,14.0,6.0,10.3,79.4,13.0,31.0,-17.7,-6.0,False,False,True,True,False,True,False,False,False,False,False,False,,False,True,False,False,True,True,True,False,True,False,False,False,False,,False,True,True,,,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False
New Jersey,16548,16496.4,16654.4,16503.0,16519.0,16538.4,16515.0,16795.0,16474.0,16499.7,16713.0,16449.2,,16562.0,,16281.7,16457.0,16461.0,16688.4,16583.0,16516.8,16503.0,16528.2,16411.8,16549.8,16474.0,16602.1,16493.5,,16525.0,16504.1,16303.5,,16382.6,16305.1,,16515.0,18741.8,16477.0,16447.1,,16388.2,16625.0,16560.0,16920.6,18010.1,16574.0,16726.0,16365.8,16796.0,-51.6,106.4,-45.0,-29.0,-9.6,-33.0,247.0,-74.0,-48.3,165.0,-98.8,,14.0,,-266.3,-91.0,-87.0,140.4,35.0,-31.2,-45.0,-19.8,-136.2,1.8,-74.0,54.1,-54.5,,-23.0,-43.9,-244.5,,-165.4,-242.9,,-33.0,2193.8,-71.0,-100.9,,-159.8,77.0,12.0,372.6,1462.1,26.0,178.0,-182.2,248.0,False,True,True,True,True,False,False,True,False,False,,True,,False,False,False,False,True,True,True,True,False,True,False,False,False,,True,True,False,,False,False,,True,False,False,False,,False,False,True,False,False,True,False,False,False
New Mexico,1208,1061.3,1129.5,1075.8,1060.0,1073.0,1087.0,1192.0,1154.0,1149.4,1038.0,1071.4,,1123.1,,1107.2,1035.0,1119.2,1190.1,1107.0,1054.7,1051.0,1187.1,1063.0,1098.0,1080.0,1082.8,1130.4,,1056.4,1103.8,993.0,,,1004.3,,1129.0,1219.9,1115.0,1044.2,,1013.6,1102.7,1134.0,1063.8,1302.2,1182.0,1057.0,1015.3,1083.0,-146.7,-78.5,-132.2,-148.0,-135.0,-121.0,-16.0,-54.0,-58.6,-170.0,-136.6,,-84.9,,-100.8,-173.0,-88.8,-17.9,-101.0,-153.3,-157.0,-20.9,-145.0,-110.0,-128.0,-125.2,-77.6,,-151.6,-104.2,-215.0,,,-203.7,,-79.0,11.9,-93.0,-163.8,,-194.4,-105.3,-74.0,-144.2,94.2,-26.0,-151.0,-192.7,-125.0,True,True,False,True,True,True,True,True,False,True,,True,,True,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,,,False,,True,True,True,False,,False,True,True,True,True,True,False,False,True
