,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3246,3569.4,2720.3,3208.0,,2895.4,323.4,-525.7,-38.0,,-350.6,False,True,,False
Alaska,98,53.7,140.9,,,50.9,-44.3,42.9,,,-47.1,True,,,False
Arizona,6300,9083.1,4535.5,7579.0,,6664.2,2783.1,-1764.5,1279.0,,364.2,True,True,,True
Arkansas,2159,1306.1,1268.3,1397.0,,827.7,-852.9,-890.7,-762.0,,-1331.3,False,True,,False
California,18253,22377.3,19137.0,20980.0,,17566.1,4124.3,884.0,2727.0,,-686.9,True,True,,True
Colorado,2525,2384.6,2294.7,2173.0,,2389.9,-140.4,-230.3,-352.0,,-135.1,False,False,,True
Connecticut,4737,4607.3,4549.1,4534.0,,4596.3,-129.7,-187.9,-203.0,,-140.7,False,False,,False
Delaware,736,618.7,665.4,644.0,,638.2,-117.3,-70.6,-92.0,,-97.8,True,True,,True
District of Columbia,658,674.1,668.1,638.0,,674.5,16.1,10.1,-20.0,,16.5,True,False,,False
Florida,17489,25729.1,12750.2,18142.0,,18547.3,8240.1,-4738.8,653.0,,1058.3,True,True,,True
Georgia,8956,11169.1,7095.8,7165.0,,8155.0,2213.1,-1860.2,-1791.0,,-801.0,True,True,,True
Hawaii,222,155.7,590.7,,,215.4,-66.3,368.7,,,-6.6,False,,,True
Idaho,759,680.4,581.2,454.0,,414.1,-78.6,-177.8,-305.0,,-344.9,False,False,,False
Illinois,11088,9369.3,9739.1,8703.0,,8947.1,-1718.7,-1348.9,-2385.0,,-2140.9,True,False,,False
Indiana,4888,4315.9,4342.5,3876.0,,4034.7,-572.1,-545.5,-1012.0,,-853.3,True,False,,False
Iowa,1985,1540.7,1461.6,1527.0,,1183.3,-444.3,-523.4,-458.0,,-801.7,False,False,,False
Kansas,1256,740.3,765.5,642.0,,587.2,-515.7,-490.5,-614.0,,-668.8,True,False,,False
Kentucky,1658,1285.7,,1058.0,,1216.7,-372.3,,-600.0,,-441.3,,False,,False
Louisiana,6121,7644.1,,6919.0,,5372.6,1523.1,,798.0,,-748.4,,True,,True
Maine,163,152.7,,141.0,,140.6,-10.3,,-22.0,,-22.4,,False,,False
Maryland,4293,4333.3,,3920.0,,4067.3,40.3,,-373.0,,-225.7,,False,,False
Massachusetts,10293,10162.3,,8976.0,,9583.1,-130.7,,-1317.0,,-709.9,,False,,False
Michigan,8376,7530.6,,7214.0,,7111.8,-845.4,,-1162.0,,-1264.2,,False,,False
Minnesota,2930,2446.3,,2220.0,,1851.0,-483.7,,-710.0,,-1079.0,,False,,False
Mississippi,3540,4501.1,,3991.0,,3348.7,961.1,,451.0,,-191.3,,True,,True
Missouri,3387,2013.0,,1826.0,,2775.1,-1374.0,,-1561.0,,-611.9,,False,,True
Montana,514,172.0,,221.0,,101.7,-342.0,,-293.0,,-412.3,,True,,False
Nebraska,779,566.7,,544.0,,490.3,-212.3,,-235.0,,-288.7,,False,,False
Nevada,1908,2550.6,,2163.0,,1675.6,642.6,,255.0,,-232.4,,True,,True
New Hampshire,499,474.4,,428.0,,509.6,-24.6,,-71.0,,10.6,,False,,True
New Jersey,16548,16400.6,,16229.0,,16474.7,-147.4,,-319.0,,-73.3,,False,,True
New Mexico,1208,1086.9,,989.0,,931.9,-121.1,,-219.0,,-276.1,,False,,False
New York,34010,33688.6,,33227.0,,33177.7,-345.4,,-807.0,,-856.3,,False,,False
North Carolina,4756,4339.9,,4226.0,,3056.8,-416.1,,-530.0,,-1699.2,,False,,False
North Dakota,726,292.1,,240.0,,249.4,-433.9,,-486.0,,-476.6,,False,,False
Ohio,5714,5844.6,,5186.0,,4936.3,130.6,,-528.0,,-777.7,,False,,False
Oklahoma,1516,1406.7,,1152.0,,980.2,-109.3,,-364.0,,-535.8,,False,,False
Oregon,759,799.4,,658.0,,562.4,40.4,,-101.0,,-196.6,,False,,False
Pennsylvania,9252,9278.7,,7867.0,,8798.0,26.7,,-1385.0,,-454.0,,False,,False
Rhode Island,1254,1111.0,,1082.0,,1112.2,-137.0,,-166.0,,-135.8,,False,,True
South Carolina,4110,5329.0,,3512.0,,3587.4,1219.0,,-598.0,,-522.6,,True,,True
South Dakota,621,243.0,,276.0,,287.5,-378.0,,-345.0,,-333.5,,True,,True
Tennessee,3877,3204.6,,2860.0,,2015.0,-672.4,,-1017.0,,-1862.0,,False,,False
Texas,19911,26326.0,,27745.0,18858.0,16497.4,6420.0,,7839.0,-1048.0,-3408.6,,False,True,True
Utah,710,710.1,,632.0,,613.3,0.1,,-78.0,,-96.7,,False,,False
Vermont,59,58.0,,58.0,,60.3,-1.0,,-1.0,,1.3,,False,,False
Virginia,3799,3088.1,,2908.0,,2641.5,-710.9,,-891.0,,-1157.5,,False,,False
Washington,2519,2976.7,,2335.0,,2096.1,457.7,,-184.0,,-422.9,,True,,True
West Virginia,574,430.0,,296.0,,377.7,-144.0,,-278.0,,-196.3,,False,,False
Wisconsin,2739,1566.1,,1403.0,,1248.1,-1112.9,,-1276.0,,-1430.9,,False,,False
Wyoming,144,55.7,,33.0,,42.5,-88.3,,-111.0,,-101.5,,False,,False
US,245663,261517.7,207980.2,228375.0,240355.0,224874.2,15901.7,-37635.8,-17241.0,-5261.0,-20741.8,False,False,True,False
