,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3246,2891.9,2628.6,2900.2,2844.0,2921.1,2778.0,2968.0,2962.5,2878.6,2960.9,2806.9,,3136.7,2887.0,,2682.9,,2888.1,2854.0,2874.6,-354.1,-617.4,-345.8,-402.0,-324.9,-468.0,-278.0,-283.5,-367.4,-285.1,-439.1,,-109.3,-359.0,,-563.1,,-357.9,-392.0,-371.4,False,True,False,True,False,True,True,False,True,False,,True,False,,False,,False,False,False
Alaska,98,69.7,65.5,94.0,162.0,113.5,88.0,,80.5,109.8,106.2,78.4,,65.3,92.0,,66.0,,69.7,121.0,70.0,-28.3,-32.5,-4.0,64.0,15.5,-10.0,,-17.5,11.8,8.2,-19.6,,-32.7,-6.0,,-32.0,,-28.3,23.0,-28.0,False,True,False,True,True,,True,True,True,True,,False,True,,False,,False,True,True
Arizona,6300,6192.1,5831.1,6212.1,6408.0,6531.1,6206.0,6216.0,6476.2,6355.4,6079.8,6079.8,,5945.3,6228.0,,5759.2,,6227.3,6136.0,6271.3,-107.9,-468.9,-87.9,108.0,231.1,-94.0,-84.0,176.2,55.4,-220.2,-220.2,,-354.7,-72.0,,-540.8,,-72.7,-164.0,-28.7,False,True,False,False,True,True,False,True,False,False,,False,True,,False,,True,False,True
Arkansas,2159,2110.3,2097.7,2138.9,2265.0,2330.9,2043.0,2169.0,2357.0,2158.5,1860.0,1776.4,,1717.3,1860.0,,1811.5,,1946.7,2074.0,1726.9,-48.7,-61.3,-20.1,106.0,171.9,-116.0,10.0,198.0,-0.5,-299.0,-382.6,,-441.7,-299.0,,-347.5,,-212.3,-85.0,-432.1,False,True,False,False,False,True,False,True,False,False,,False,False,,False,,False,False,False
California,18253,19315.7,18000.0,19306.8,19932.0,18785.8,18020.0,18756.0,18795.1,18617.3,19210.6,17989.9,,18041.9,17357.0,,17258.1,,18760.1,19119.0,18152.6,1062.7,-253.0,1053.8,1679.0,532.8,-233.0,503.0,542.1,364.3,957.6,-263.1,,-211.1,-896.0,,-994.9,,507.1,866.0,-100.4,True,True,False,True,True,True,True,True,True,True,,True,True,,True,,True,True,True
Colorado,2525,2226.1,2212.0,2206.2,2522.0,2361.6,2317.0,2233.0,2352.2,2433.5,2324.2,2179.0,,2270.5,2172.0,,2134.8,,2149.9,2286.0,2140.2,-298.9,-313.0,-318.8,-3.0,-163.4,-208.0,-292.0,-172.8,-91.5,-200.8,-346.0,,-254.5,-353.0,,-390.2,,-375.1,-239.0,-384.8,False,False,True,True,True,True,True,True,True,False,,True,False,,False,,False,True,False
Connecticut,4737,4583.3,4647.5,4685.9,4586.0,4610.2,4598.0,4611.0,4586.8,4732.9,4615.7,4544.4,,4608.5,4517.0,,4534.4,,4560.1,4598.0,4531.1,-153.7,-89.5,-51.1,-151.0,-126.8,-139.0,-126.0,-150.2,-4.1,-121.3,-192.6,,-128.5,-220.0,,-202.6,,-176.9,-139.0,-205.9,True,True,True,True,True,True,True,True,True,False,,True,False,,False,,False,True,False
Delaware,736,715.3,733.1,725.8,684.0,717.8,684.0,674.0,692.3,711.6,687.9,675.6,,735.5,668.0,,655.6,,669.5,712.0,685.9,-20.7,-2.9,-10.2,-52.0,-18.2,-52.0,-62.0,-43.7,-24.4,-48.1,-60.4,,-0.5,-68.0,,-80.4,,-66.5,-24.0,-50.1,True,True,False,True,False,False,False,False,False,False,,True,False,,False,,False,False,False
District of Columbia,658,672.0,687.9,664.4,646.0,653.1,637.0,642.0,650.5,658.4,654.3,643.3,,652.5,650.0,,643.1,,647.8,656.0,642.9,14.0,29.9,6.4,-12.0,-4.9,-21.0,-16.0,-7.5,0.4,-3.7,-14.7,,-5.5,-8.0,,-14.9,,-10.2,-2.0,-15.1,False,True,True,True,False,False,True,True,True,False,,True,True,,False,,True,True,False
Florida,17489,18413.7,17449.2,18264.6,17973.0,17913.8,16775.0,17379.0,17994.2,17269.0,17723.1,16759.5,,19555.1,16833.5,,16385.8,,17423.9,17568.0,16709.9,924.7,-39.8,775.6,484.0,424.8,-714.0,-110.0,505.2,-220.0,234.1,-729.5,,2066.1,-655.5,,-1103.2,,-65.1,79.0,-779.1,True,True,True,True,True,True,True,True,True,True,,False,True,,False,,True,True,True
