,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8956,8715.6,8231.0,7880.0,,8449.4,8567.0,8384.9,9494.3,7214.6,,8595.5,8198.6,7965.0,7688.3,-240.4,-725.0,-1076.0,,-506.6,-389.0,-571.1,538.3,-1741.4,,-360.5,-757.4,-991.0,-1267.7,False,False,,False,False,False,False,False,,False,False,False,False
Hawaii,222,285.0,133.0,164.0,,160.6,,188.6,177.1,127.1,,226.4,156.5,173.0,174.2,63.0,-89.0,-58.0,,-61.4,,-33.4,-44.9,-94.9,,4.4,-65.5,-49.0,-47.8,False,True,,True,,True,True,False,,True,False,True,True
Idaho,759,663.0,663.0,617.9,,613.7,704.0,616.4,2732.6,493.2,,612.0,630.4,619.0,551.4,-96.0,-96.0,-141.1,,-145.3,-55.0,-142.6,1973.6,-265.8,,-147.0,-128.6,-140.0,-207.6,False,False,,False,True,False,False,False,,False,False,False,False
Illinois,11088,9825.3,9460.0,9602.1,,9842.1,9594.0,9960.2,9208.1,9176.4,,9594.6,12137.2,9587.0,8907.9,-1262.7,-1628.0,-1485.9,,-1245.9,-1494.0,-1127.8,-1879.9,-1911.6,,-1493.4,1049.2,-1501.0,-2180.1,False,False,,True,False,True,False,False,,False,True,False,False
Indiana,4888,4040.3,4013.0,3983.2,,4181.3,4110.0,4058.2,4346.6,3805.6,,3912.2,5173.0,3941.0,3608.0,-847.7,-875.0,-904.8,,-706.7,-778.0,-829.8,-541.4,-1082.4,,-975.8,285.0,-947.0,-1280.0,False,False,,True,True,True,True,False,,False,True,False,False
Iowa,1985,1618.6,1384.0,1572.6,,1904.3,1783.0,1729.5,1660.0,1329.4,,1636.2,2151.7,1477.0,1458.3,-366.4,-601.0,-412.4,,-80.7,-202.0,-255.5,-325.0,-655.6,,-348.8,166.7,-508.0,-526.7,False,False,,True,True,True,True,False,,True,True,False,False
Kansas,1256,1121.4,818.0,995.2,,1466.7,892.0,863.1,878.9,654.4,,931.0,862.8,962.0,719.3,-133.6,-437.0,-259.8,,211.7,-363.0,-391.9,-376.1,-600.6,,-324.0,-392.2,-293.0,-535.7,False,False,,False,False,False,False,False,,False,False,False,False
Kentucky,1658,1511.7,1722.0,1549.7,,1888.7,1873.0,1612.0,1532.1,1312.3,,1593.1,1810.5,1489.0,1302.3,-146.3,64.0,-108.3,,230.7,215.0,-46.0,-125.9,-345.7,,-64.9,152.5,-169.0,-355.7,True,True,,False,False,True,True,False,,True,False,False,False
Louisiana,6121,6413.0,8264.0,6080.7,,6273.7,6567.0,5924.3,6857.3,5904.2,,6682.0,6140.6,5948.0,5849.1,292.0,2143.0,-40.3,,152.7,446.0,-196.7,736.3,-216.8,,561.0,19.6,-173.0,-271.9,False,True,,True,False,True,False,True,,False,True,True,True
Maine,163,162.6,160.0,152.6,,143.9,229.0,166.1,224.6,144.7,,153.4,215.9,171.0,151.5,-0.4,-3.0,-10.4,,-19.1,66.0,3.1,61.6,-18.3,,-9.6,52.9,8.0,-11.5,False,False,,False,False,False,False,False,,False,False,False,False
