,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3246,3178.9,4404.3,3193.9,2958.8,2861.5,2846.0,,2966.0,3012.9,2912.2,2992.6,2942.1,2879.6,,3135.6,3034.0,,,3053.2,,3279.9,3092.0,2945.9,-67.1,1158.3,-52.1,-287.2,-384.5,-400.0,,-280.0,-233.1,-333.8,-253.4,-303.9,-366.4,,-110.4,-212.0,,,-192.8,,33.9,-154.0,-300.1,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,,False,,True,False,False
Alaska,98,69.7,61.9,70.0,140.6,115.2,89.0,,,68.0,116.7,95.9,126.8,84.3,,96.0,82.0,,,72.0,,113.5,90.0,69.5,-28.3,-36.1,-28.0,42.6,17.2,-9.0,,,-30.0,18.7,-2.1,28.8,-13.7,,-2.0,-16.0,,,-26.0,,15.5,-8.0,-28.5,False,True,False,True,True,,,False,True,True,False,True,,True,True,,,True,,True,True,False
Arizona,6300,6016.4,5826.9,6044.2,6191.9,6349.9,6133.0,,6177.0,6277.5,6100.6,6006.8,6443.8,6106.7,,6021.9,5948.0,,,6326.2,,6302.4,6105.0,6220.2,-283.6,-473.1,-255.8,-108.1,49.9,-167.0,,-123.0,-22.5,-199.4,-293.2,143.8,-193.3,,-278.1,-352.0,,,26.2,,2.4,-195.0,-79.8,False,True,True,True,True,,True,True,True,False,True,True,,True,False,,,True,,True,True,True
Arkansas,2159,2268.4,2654.8,2277.2,1820.6,2086.1,2146.0,,2163.0,2359.6,2079.0,1927.8,2391.9,2015.6,,1663.0,1996.0,,,2077.0,,1903.8,2200.0,1850.2,109.4,495.8,118.2,-338.4,-72.9,-13.0,,4.0,200.6,-80.0,-231.2,232.9,-143.4,,-496.0,-163.0,,,-82.0,,-255.2,41.0,-308.8,False,False,False,True,True,,True,False,True,False,False,False,,False,False,,,True,,False,True,False
California,18253,18677.3,18587.9,18828.2,19893.6,18687.0,18196.0,,18341.0,18965.1,18575.4,18848.8,19019.2,17935.4,,17787.2,18012.0,,,18585.6,19611.0,18693.9,19013.0,18283.1,424.3,334.9,575.2,1640.6,434.0,-57.0,,88.0,712.1,322.4,595.8,766.2,-317.6,,-465.8,-241.0,,,332.6,1358.0,440.9,760.0,30.1,True,False,False,False,True,,True,False,True,False,False,True,,False,True,,,True,False,False,False,True
Colorado,2525,2331.6,2768.2,2375.3,2224.5,2307.5,2490.0,,2232.0,2347.7,2458.7,2357.6,2394.1,2255.9,,2331.0,2210.0,,,2265.5,,3134.8,2377.0,2196.5,-193.4,243.2,-149.7,-300.5,-217.5,-35.0,,-293.0,-177.3,-66.3,-167.4,-130.9,-269.1,,-194.0,-315.0,,,-259.5,,609.8,-148.0,-328.5,False,True,False,False,True,,False,True,True,True,True,False,,False,False,,,False,,False,True,False
Connecticut,4737,4612.6,4719.9,4671.8,4654.1,4601.9,4625.0,,4597.0,4607.8,4756.0,4628.0,4681.9,4551.1,,4591.0,4614.0,,,4583.2,,5162.1,4639.0,4545.6,-124.4,-17.1,-65.2,-82.9,-135.1,-112.0,,-140.0,-129.2,19.0,-109.0,-55.1,-185.9,,-146.0,-123.0,,,-153.8,,425.1,-98.0,-191.4,True,True,True,False,True,,False,False,True,True,True,False,,False,True,,,False,,False,True,False
Delaware,736,697.7,710.7,700.8,714.7,713.1,697.0,,696.0,707.0,708.2,685.9,731.3,674.2,,708.3,672.0,,,680.9,,820.8,703.0,678.7,-38.3,-25.3,-35.2,-21.3,-22.9,-39.0,,-40.0,-29.0,-27.8,-50.1,-4.7,-61.8,,-27.7,-64.0,,,-55.1,,84.8,-33.0,-57.3,True,True,True,True,False,,False,True,True,False,True,False,,True,False,,,False,,False,True,False
District of Columbia,658,666.1,673.8,673.0,662.9,655.4,644.0,,647.0,656.6,680.7,654.2,662.4,663.5,,650.8,674.0,,,646.7,,748.7,678.0,647.2,8.1,15.8,15.0,4.9,-2.6,-14.0,,-11.0,-1.4,22.7,-3.8,4.4,5.5,,-7.2,16.0,,,-11.3,,90.7,20.0,-10.8,False,False,True,True,False,,False,True,False,True,True,True,,True,False,,,False,,False,False,False
Florida,17489,18730.0,17919.2,17975.1,17593.8,17707.2,17068.0,,17707.0,18411.1,17495.5,17733.4,17685.3,18313.2,,17089.8,16566.0,,,17417.5,,16587.5,17532.0,17148.2,1241.0,430.2,486.1,104.8,218.2,-421.0,,218.0,922.1,6.5,244.4,196.3,824.2,,-399.2,-923.0,,,-71.5,,-901.5,43.0,-340.8,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,True,,True,True,True
