,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3246,3156.7,3409.8,5265.0,,-89.3,163.8,2019.0,,False,False,
Alaska,98,34.9,184.3,,,-63.1,86.3,,,False,,
Arizona,6300,9594.1,10828.4,6002.0,,3294.1,4528.4,-298.0,,False,True,
Arkansas,2159,928.1,1145.4,2026.0,,-1230.9,-1013.6,-133.0,,True,True,
California,18253,19158.1,30474.5,12060.0,,905.1,12221.5,-6193.0,,False,False,
Colorado,2525,2153.6,2656.5,2163.0,,-371.4,131.5,-362.0,,True,True,
Connecticut,4737,4580.1,4462.5,4521.0,,-156.9,-274.5,-216.0,,False,False,
Delaware,736,606.3,948.6,651.0,,-129.7,212.6,-85.0,,False,True,
District of Columbia,658,728.7,602.8,604.0,,70.7,-55.2,-54.0,,True,True,
Florida,17489,13367.0,38857.7,10629.0,,-4122.0,21368.7,-6860.0,,False,False,
Georgia,8956,5556.6,11861.8,6804.0,,-3399.4,2905.8,-2152.0,,True,True,
Hawaii,222,19.0,143.0,,,-203.0,-79.0,,,True,,
Idaho,759,262.7,1881.2,508.0,,-496.3,1122.2,-251.0,,False,True,
Illinois,11088,13959.4,8856.1,9189.0,,2871.4,-2231.9,-1899.0,,True,True,
Indiana,4888,3956.4,5357.0,3940.0,,-931.6,469.0,-948.0,,True,False,
Iowa,1985,1305.6,2324.4,1226.0,,-679.4,339.4,-759.0,,True,False,
Kansas,1256,529.1,1900.7,1043.0,,-726.9,644.7,-213.0,,True,True,
Kentucky,1658,1339.3,1810.1,1232.0,,-318.7,152.1,-426.0,,True,False,
Louisiana,6121,5701.7,8172.0,10141.0,,-419.3,2051.0,4020.0,,False,False,
Maine,163,203.3,129.2,121.0,,40.3,-33.8,-42.0,,True,False,
Maryland,4293,4676.1,3921.9,3655.0,,383.1,-371.1,-638.0,,True,False,
Massachusetts,10293,10860.7,8628.8,12985.0,,567.7,-1664.2,2692.0,,False,False,
Michigan,8376,8028.3,7686.8,6922.0,,-347.7,-689.2,-1454.0,,False,False,
Minnesota,2930,2111.4,3071.1,2964.0,,-818.6,141.1,34.0,,True,True,
Mississippi,3540,3713.3,3738.6,3332.0,,173.3,198.6,-208.0,,False,False,
Missouri,3387,1824.1,2534.0,2027.0,,-1562.9,-853.0,-1360.0,,True,True,
Montana,514,136.1,776.4,88.0,,-377.9,262.4,-426.0,,True,False,
Nebraska,779,302.9,539.1,560.0,,-476.1,-239.9,-219.0,,True,True,
Nevada,1908,1646.6,2924.6,1112.0,,-261.4,1016.6,-796.0,,False,False,
New Hampshire,499,569.6,448.8,496.0,,70.6,-50.2,-3.0,,True,True,
New Jersey,16548,21132.1,16556.4,20694.0,,4584.1,8.4,4146.0,,True,True,
New Mexico,1208,1116.4,1307.9,1612.0,,-91.6,99.9,404.0,,False,False,
New York,34010,34921.4,33214.4,35689.0,,956.4,-750.6,1724.0,,True,False,
North Carolina,4756,3289.9,4488.9,6008.0,,-1466.1,-267.1,1252.0,,True,True,
North Dakota,726,212.0,291.5,276.0,,-514.0,-434.5,-450.0,,True,True,
Ohio,5714,5683.0,6271.8,5766.0,,-31.0,557.8,52.0,,False,False,
Oklahoma,1516,850.6,2067.8,2705.0,,-665.4,551.8,1189.0,,True,False,
Oregon,759,573.3,953.3,768.0,,-185.7,194.3,9.0,,False,True,
Pennsylvania,9252,9600.4,9021.0,8955.0,,348.4,-231.0,-297.0,,True,True,
Rhode Island,1254,1261.7,1115.1,1182.0,,18.7,-127.9,-61.0,,False,False,
South Carolina,4110,3478.9,4563.0,3836.0,,-631.1,453.0,-274.0,,True,True,
South Dakota,621,323.3,198.0,237.0,,-297.7,-423.0,-384.0,,False,False,
Tennessee,3877,2455.3,4147.2,4327.0,,-1421.7,270.2,450.0,,True,True,
Texas,19911,13483.9,31443.9,26622.0,11147.0,-5897.1,12062.9,7241.0,-8234.0,False,False,False
Utah,710,768.6,1341.2,996.0,,58.6,631.2,286.0,,False,False,
Vermont,59,56.0,60.1,58.0,,-3.0,1.1,-1.0,,True,True,
Virginia,3799,3983.9,2784.6,2965.0,,184.9,-1014.4,-834.0,,False,False,
Washington,2519,2848.7,3609.1,2462.0,,329.7,1090.1,-57.0,,False,True,
West Virginia,574,131.7,969.2,225.0,,-442.3,395.2,-349.0,,True,True,
Wisconsin,2739,1248.6,2922.4,1473.0,,-1461.4,212.4,-1237.0,,True,True,
Wyoming,144,38.9,170.6,56.0,,-105.1,26.6,-88.0,,True,True,
US,245664,228865.7,298574.9,223404.0,171362.0,-16183.3,53525.9,-21645.0,-73687.0,False,False,False
