,mean_rank
USC-SI_kJalpha,14.8
OliverWyman-Navigator,15.0
SteveMcConnell-CovidComplete,15.4
Karlen-pypm,15.6
UMass-MechBayes,15.6
MSRA-DeepST,15.7
COVIDhub-ensemble,16.2
Google_Harvard-CPF,16.3
UA-EpiCovDA,16.7
MOBS-GLEAM_COVID,17.4
Covid19Sim-Simulator,17.8
CU-select,17.9
LNQ-ens1,17.9
UCSD_NEU-DeepGLEAM,17.9
JCB-PRM,18.0
JHUAPL-Bucky,18.3
Columbia_UNC-SurvCon,19.3
JHU_CSSE-DECOM,19.6
GT-DeepCOVID,20.3
CMU-TimeSeries,20.6
COVIDhub-baseline,20.8
DDS-NBDS,21.6
UT-Mobility,21.8
BPagano-RtDriven,21.9
MIT_CritData-GBCF,22.0
CEID-Walk,22.3
IowaStateLW-STEM,23.0
epiforecasts-ensemble1,23.1
UMich-RidgeTfReg,23.2
TTU-squider,24.3
NotreDame-mobility,24.4
CovidAnalytics-DELPHI,24.9
IHME-CurveFit,25.1
JHU_UNC_GAS-StatMechPool,25.5
USACE-ERDC_SEIR,26.4
LANL-GrowthRate,26.6
PSI-DRAFT,27.7
UCLA-SuEIR,27.7
JHU_IDD-CovidSP,28.0
UCSB-ACTS,29.0
RobertWalraven-ESG,33.3
WalmartLabsML-LogForecasting,34.4
