,total_deaths_2020-11-01,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Karlen-pypm,232127,245530.7,246811,14535.7,14684,-148.3,-1.0%
Covid19Sim-Simulator,232127,245478.8,246811,14483.8,14684,-200.2,-1.4%
CU-select,232127,245332.0,246811,14337.0,14684,-347.0,-2.4%
SteveMcConnell-CovidComplete,232127,245173.0,246811,14178.0,14684,-506.0,-3.4%
USC-SI_kJalpha,232127,244695.5,246811,13700.5,14684,-983.5,-6.7%
LNQ-ens1,232127,244664.2,246811,13669.2,14684,-1014.8,-6.9%
BPagano-RtDriven,232127,244613.8,246811,13618.8,14684,-1065.2,-7.3%
UMass-MechBayes,232127,244504.0,246811,13509.0,14684,-1175.0,-8.0%
RobertWalraven-ESG,232127,244413.8,246811,13418.8,14684,-1265.2,-8.6%
UA-EpiCovDA,232127,244039.0,246811,13044.0,14684,-1640.0,-11.2%
JCB-PRM,232127,244017.1,246811,13022.1,14684,-1661.9,-11.3%
QJHong-Encounter,232127,244009.7,246811,13014.7,14684,-1669.3,-11.4%
OliverWyman-Navigator,232127,243681.3,246811,12686.3,14684,-1997.7,-13.6%
GT-DeepCOVID,232127,243661.1,246811,12666.1,14684,-2017.9,-13.7%
UCM_MESALab-FoGSEIR,232127,243628.0,246811,12633.0,14684,-2051.0,-14.0%
LANL-GrowthRate,232127,243445.0,246811,12450.0,14684,-2234.0,-15.2%
IBF-TimeSeries,232127,248038.0,246811,17043.0,14684,2359.0,16.1%
epiforecasts-ensemble1,232127,243293.0,246811,12298.0,14684,-2386.0,-16.2%
TTU-squider,232127,243251.8,246811,12256.8,14684,-2427.2,-16.5%
UCSD_NEU-DeepGLEAM,232127,243178.2,246811,12183.2,14684,-2500.8,-17.0%
MSRA-DeepST,232127,243156.4,246811,12161.4,14684,-2522.6,-17.2%
COVIDhub-ensemble,232127,243130.0,246811,12135.0,14684,-2549.0,-17.4%
MOBS-GLEAM_COVID,232127,242820.9,246811,11825.9,14684,-2858.1,-19.5%
Columbia_UNC-SurvCon,232127,242763.0,246811,11768.0,14684,-2916.0,-19.9%
JHUAPL-Bucky,232127,242737.6,246811,11742.6,14684,-2941.4,-20.0%
UMich-RidgeTfReg,232127,242717.2,246811,11722.2,14684,-2961.8,-20.2%
Caltech-CS156,232127,242473.4,246811,11478.4,14684,-3205.6,-21.8%
MIT_CritData-GBCF,232127,242167.0,246811,11172.0,14684,-3512.0,-23.9%
RPI_UW-Mob_Collision,232127,242141.4,246811,11146.4,14684,-3537.6,-24.1%
USC-SI_kJalpha_RF,232127,242098.5,246811,11103.5,14684,-3580.5,-24.4%
PSI-DRAFT,232127,242089.0,246811,11094.0,14684,-3590.0,-24.4%
CEID-Walk,232127,241892.9,246811,10897.9,14684,-3786.1,-25.8%
UT-Mobility,232127,241891.5,246811,10896.5,14684,-3787.5,-25.8%
COVIDhub-baseline,232127,241858.9,246811,10863.9,14684,-3820.1,-26.0%
IowaStateLW-STEM,232127,241812.0,246811,10817.0,14684,-3867.0,-26.3%
Baseline,232127,241695.9,246811,10700.9,14684,-3983.1,-27.1%
STH-3PU,232127,241684.0,246811,10689.0,14684,-3995.0,-27.2%
UCLA-SuEIR,232127,241545.1,246811,10550.1,14684,-4133.9,-28.2%
IQVIA_ACOE-STAN,232127,241412.0,246811,10417.0,14684,-4267.0,-29.1%
DDS-NBDS,232127,241187.2,246811,10192.2,14684,-4491.8,-30.6%
CovidAnalytics-DELPHI,232127,240868.0,246811,9873.0,14684,-4811.0,-32.8%
NotreDame-mobility,232127,240518.3,246811,9523.3,14684,-5160.7,-35.1%
JHU_CSSE-DECOM,232127,240369.0,246811,9374.0,14684,-5310.0,-36.2%
WalmartLabsML-LogForecasting,232127,238391.1,246811,7396.1,14684,-7287.9,-49.6%
JHU_IDD-CovidSP,232127,238355.0,246811,7360.0,14684,-7324.0,-49.9%
CMU-TimeSeries,232127,,246811,,14684,,
Google_Harvard-CPF,232127,,246811,,14684,,
JHU_UNC_GAS-StatMechPool,232127,,246811,,14684,,
NotreDame-FRED,232127,,246811,,14684,,
UCSB-ACTS,232127,,246811,,14684,,
