,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8956,8494.3,8746.0,8428.8,8298.0,8462.9,8419.0,8445.0,8405.9,8140.2,8240.0,8459.3,8423.7,8386.0,,8298.5,8328.0,8348.5,8275.7,8341.2,8191.7,8226.4,8289.2,8460.2,8291.5,8276.0,8368.3,8332.4,,8156.5,8564.7,8062.0,,8542.0,8411.5,,8516.0,8350.4,8596.0,8418.7,,8368.5,8462.0,8528.2,8591.0,8314.0,8119.9,8427.0,-461.7,-210.0,-527.2,-658.0,-493.1,-537.0,-511.0,-550.1,-815.8,-716.0,-496.7,-532.3,-570.0,,-657.5,-628.0,-607.5,-680.3,-614.8,-764.3,-729.6,-666.8,-495.8,-664.5,-680.0,-587.7,-623.6,,-799.5,-391.3,-894.0,,-414.0,-544.5,,-440.0,-605.6,-360.0,-537.3,,-587.5,-494.0,-427.8,-365.0,-642.0,-836.1,-529.0,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,True,False,,True,False,True,False,,False,False,True,True,False,False,False
Hawaii,222,256.4,257.2,261.0,254.0,258.0,244.0,206.0,,245.6,227.0,271.8,,208.6,,269.2,,244.7,259.7,234.2,296.0,241.3,235.7,224.0,277.4,254.0,235.1,248.8,,265.7,239.9,232.0,,,217.4,,251.0,186.9,282.0,210.5,,232.7,227.0,251.7,245.0,273.0,220.5,252.0,34.4,35.2,39.0,32.0,36.0,22.0,-16.0,,23.6,5.0,49.8,,-13.4,,47.2,,22.7,37.7,12.2,74.0,19.3,13.7,2.0,55.4,32.0,13.1,26.8,,43.7,17.9,10.0,,,-4.6,,29.0,-35.1,60.0,-11.5,,10.7,5.0,29.7,23.0,51.0,-1.5,30.0,False,False,True,False,True,True,,True,True,False,,True,,False,,True,False,True,False,True,True,True,False,True,True,True,,False,True,True,,,True,,True,False,False,True,,True,True,True,True,False,True,True
Idaho,759,609.0,606.6,620.2,661.0,617.0,644.0,754.0,650.3,645.6,589.0,627.0,667.6,624.6,,730.3,622.0,646.7,698.7,756.7,651.6,733.2,603.2,658.9,578.7,703.0,698.4,712.2,,673.3,647.9,564.0,,,585.9,,648.0,491.4,668.0,617.9,,714.5,654.0,615.3,639.0,587.0,583.1,612.0,-150.0,-152.4,-138.8,-98.0,-142.0,-115.0,-5.0,-108.7,-113.4,-170.0,-132.0,-91.4,-134.4,,-28.7,-137.0,-112.3,-60.3,-2.3,-107.4,-25.8,-155.8,-100.1,-180.3,-56.0,-60.6,-46.8,,-85.7,-111.1,-195.0,,,-173.1,,-111.0,-267.6,-91.0,-141.1,,-44.5,-105.0,-143.7,-120.0,-172.0,-175.9,-147.0,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True
Illinois,11088,10415.1,11300.8,10380.7,10361.0,10376.1,10376.0,10886.0,11598.5,10283.1,9865.0,10422.2,10432.5,10182.7,,10412.3,10187.0,10434.1,10619.4,10234.1,10197.5,10803.3,10345.5,10762.1,10300.8,10178.0,10110.4,10430.3,10244.0,10060.9,10712.2,9846.0,,10072.5,10333.0,,10476.0,10209.9,11039.0,10136.0,,10140.4,10916.0,10447.3,10834.0,10739.0,9797.6,10428.0,-672.9,212.8,-707.3,-727.0,-711.9,-712.0,-202.0,510.5,-804.9,-1223.0,-665.8,-655.5,-905.3,,-675.7,-901.0,-653.9,-468.6,-853.9,-890.5,-284.7,-742.5,-325.9,-787.2,-910.0,-977.6,-657.7,-844.0,-1027.1,-375.8,-1242.0,,-1015.5,-755.0,,-612.0,-878.1,-49.0,-952.0,,-947.6,-172.0,-640.7,-254.0,-349.0,-1290.4,-660.0,True,False,False,False,False,True,True,False,False,True,True,False,,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,True,False,True
Indiana,4888,4507.9,4985.0,4460.1,4426.0,4462.1,4472.0,4908.0,5622.9,4424.1,4203.0,4440.9,4420.7,4438.6,,4706.3,4247.0,4479.3,4664.5,4353.7,4306.2,4699.5,4321.5,4659.2,4414.1,4394.0,4614.1,4460.3,4981.0,4604.8,4783.8,4352.0,,4246.1,4471.6,,4541.0,5455.7,4618.0,4296.3,,4636.7,4695.0,4361.6,4847.0,4878.5,3914.4,5220.0,-380.1,97.0,-427.9,-462.0,-425.9,-416.0,20.0,734.9,-463.9,-685.0,-447.1,-467.3,-449.4,,-181.7,-641.0,-408.7,-223.5,-534.3,-581.8,-188.5,-566.5,-228.8,-473.9,-494.0,-273.9,-427.7,93.0,-283.2,-104.2,-536.0,,-641.9,-416.4,,-347.0,567.7,-270.0,-591.7,,-251.3,-193.0,-526.4,-41.0,-9.5,-973.6,332.0,True,False,False,False,False,True,False,False,False,False,False,False,,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,False,True
Iowa,1985,1802.0,1814.1,1809.8,1861.0,1804.0,1814.0,1747.0,2158.0,1826.1,1693.0,1781.1,1793.7,1813.5,,1925.1,1776.0,1840.1,1912.0,2024.4,1749.7,1898.6,1696.2,1861.7,1784.7,1919.0,1844.3,1845.1,,1875.8,1912.2,2006.0,,1798.4,1736.9,,1843.0,2232.8,1880.0,1769.8,,1856.2,1792.0,1761.9,1875.0,1858.0,1672.4,1816.0,-183.0,-170.9,-175.2,-124.0,-181.0,-171.0,-238.0,173.0,-158.9,-292.0,-203.9,-191.3,-171.5,,-59.9,-209.0,-144.9,-73.0,39.4,-235.3,-86.4,-288.8,-123.3,-200.3,-66.0,-140.7,-139.9,,-109.2,-72.8,21.0,,-186.6,-248.1,,-142.0,247.8,-105.0,-215.2,,-128.8,-193.0,-223.1,-110.0,-127.0,-312.6,-169.0,True,True,True,True,True,False,True,True,False,False,False,True,,True,False,True,True,True,False,True,False,True,False,True,True,True,,True,True,True,,False,False,,True,False,True,False,,True,False,False,True,True,False,True
Kansas,1256,1186.9,1361.7,1229.7,1226.0,1203.0,1172.0,1128.0,1368.1,1047.1,886.0,1229.0,1279.7,1137.1,,1475.2,1074.0,1216.1,1215.8,1292.9,1087.6,1186.1,1047.6,1159.7,1130.9,1232.0,1262.4,1138.2,,1055.5,1248.6,1125.0,,,1171.5,,1206.0,1034.4,1139.0,1104.3,,1275.0,1458.0,1253.2,1246.0,1170.0,979.2,1166.0,-69.1,105.7,-26.3,-30.0,-53.0,-84.0,-128.0,112.1,-208.9,-370.0,-27.0,23.7,-118.9,,219.2,-182.0,-39.9,-40.2,36.9,-168.4,-69.9,-208.4,-96.3,-125.1,-24.0,6.4,-117.8,,-200.5,-7.4,-131.0,,,-84.5,,-50.0,-221.6,-117.0,-151.7,,19.0,202.0,-2.8,-10.0,-86.0,-276.8,-90.0,False,True,True,True,False,False,False,False,False,True,True,False,,False,False,True,True,True,False,False,False,False,False,True,True,False,,False,True,False,,,False,,True,False,False,False,,True,False,True,True,False,False,False
Kentucky,1658,1572.6,1776.4,1557.5,1609.0,1564.0,1578.0,1702.0,1609.9,1517.3,1528.0,1586.7,,1565.5,,1709.5,1529.0,1574.7,1550.0,1720.8,1610.2,1645.5,1462.4,1575.3,1596.2,1681.0,1657.6,1593.4,1748.0,1446.0,1628.8,1414.0,,1468.3,1584.5,,1591.0,1676.4,1538.0,1571.9,,1677.3,1643.0,1499.6,1643.0,1533.0,1441.8,1589.0,-85.4,118.4,-100.5,-49.0,-94.0,-80.0,44.0,-48.1,-140.7,-130.0,-71.3,,-92.5,,51.5,-129.0,-83.3,-108.0,62.8,-47.8,-12.5,-195.6,-82.7,-61.8,23.0,-0.4,-64.6,90.0,-212.0,-29.2,-244.0,,-189.7,-73.5,,-67.0,18.4,-120.0,-86.1,,19.3,-15.0,-158.4,-15.0,-125.0,-216.2,-69.0,False,False,True,False,True,True,True,False,False,True,,False,,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,,False,True,,True,True,False,False,,True,True,False,True,False,False,True
Louisiana,6121,6116.4,6020.0,6096.4,6002.0,6095.8,6038.0,6035.0,6020.3,5974.4,5974.0,6057.7,6177.3,6006.4,,6149.5,5971.0,6036.9,6013.5,5952.3,5975.1,6014.9,6038.2,6009.2,6104.2,6047.0,6123.5,6041.3,,6030.5,6028.9,5857.0,,6019.7,5993.7,,6126.0,5811.7,6221.0,6185.1,,6123.4,6066.0,6273.7,6022.0,5978.0,5871.2,6061.0,-4.6,-101.0,-24.6,-119.0,-25.2,-83.0,-86.0,-100.7,-146.6,-147.0,-63.3,56.3,-114.6,,28.5,-150.0,-84.1,-107.5,-168.7,-145.9,-106.1,-82.8,-111.8,-16.8,-74.0,2.5,-79.7,,-90.5,-92.1,-264.0,,-101.3,-127.3,,5.0,-309.3,100.0,64.1,,2.4,-55.0,152.7,-99.0,-143.0,-249.8,-60.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,False,,True,False,False,False,False,False,False
Maine,163,157.6,196.0,156.3,158.0,158.0,155.0,147.0,148.8,149.4,150.0,163.3,155.4,153.3,,148.6,156.0,150.6,151.0,167.4,170.4,156.0,150.8,147.1,162.5,189.0,157.7,164.3,,149.4,156.0,147.0,,,146.3,,154.0,180.2,170.0,148.9,,177.5,155.0,159.6,157.0,154.0,152.3,,-5.4,33.0,-6.7,-5.0,-5.0,-8.0,-16.0,-14.2,-13.6,-13.0,0.3,-7.6,-9.7,,-14.4,-7.0,-12.4,-12.0,4.4,7.4,-7.0,-12.2,-15.9,-0.5,26.0,-5.3,1.3,,-13.6,-7.0,-16.0,,,-16.7,,-9.0,17.2,7.0,-14.1,,14.5,-8.0,-3.4,-6.0,-9.0,-10.7,,False,False,True,True,False,False,False,False,False,True,False,False,,False,False,False,False,True,False,False,False,False,True,False,True,True,,False,False,False,,,False,,False,False,False,False,,False,False,True,False,False,False,
Maryland,4293,4183.6,4302.9,4184.7,4214.0,4203.5,4203.0,4292.0,4198.2,4137.5,4118.0,4205.7,4222.2,4259.3,,4153.6,4152.0,4203.3,4225.4,4259.5,4300.0,4182.3,4147.3,4196.5,4212.1,4210.0,4243.2,4214.5,,4202.4,4242.0,4168.0,,4145.9,4243.0,4979.0,4216.0,4703.5,4223.0,4153.8,,4260.8,4197.0,4212.1,4237.0,4196.5,4133.9,4259.0,-109.4,9.9,-108.3,-79.0,-89.5,-90.0,-1.0,-94.8,-155.5,-175.0,-87.3,-70.8,-33.7,,-139.4,-141.0,-89.7,-67.6,-33.5,7.0,-110.7,-145.7,-96.5,-80.9,-83.0,-49.8,-78.5,,-90.6,-51.0,-125.0,,-147.1,-50.0,686.0,-77.0,410.5,-70.0,-139.2,,-32.2,-96.0,-80.9,-56.0,-96.5,-159.1,-34.0,True,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True,False,False,True,True,True,True,True,,True,True,False,,False,True,False,True,False,True,False,,True,True,True,True,True,False,True
Massachusetts,10293,10250.0,10471.0,10255.1,10164.0,10274.9,10220.0,10294.0,10144.6,10246.3,9990.0,10218.5,10195.4,10126.1,,10219.4,10089.0,10226.6,10238.2,10154.5,10084.9,10448.2,10043.1,10244.7,10283.2,10098.0,10216.9,10146.4,,10151.6,10390.5,9819.0,,10021.4,10237.2,,10274.0,10688.7,10328.0,10052.9,,10243.5,10255.0,10203.5,10402.0,10288.0,9925.0,10214.0,-43.0,178.0,-37.9,-129.0,-18.1,-73.0,1.0,-148.4,-46.7,-303.0,-74.5,-97.6,-166.9,,-73.6,-204.0,-66.4,-54.8,-138.5,-208.1,155.2,-249.9,-48.3,-9.8,-195.0,-76.1,-146.6,,-141.4,97.5,-474.0,,-271.6,-55.8,,-19.0,395.7,35.0,-240.1,,-49.5,-38.0,-89.5,109.0,-5.0,-368.0,-79.0,False,True,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,True,False,True,False,,False,True,False,False,True,False,False
Michigan,8376,7806.7,8454.1,7819.6,7831.0,7827.0,7823.0,8352.0,8193.8,7724.6,7498.0,7734.6,8034.9,7653.0,,7786.7,7630.0,7816.5,8073.5,7835.6,7954.2,8079.3,7550.1,7888.4,7830.3,7782.0,7983.8,7777.3,7960.0,7500.7,8032.6,7916.5,,7491.2,7766.7,,7812.0,8457.0,7553.0,7646.1,,7996.7,8195.0,7718.8,8088.0,7744.5,7378.2,7744.0,-569.3,78.1,-556.4,-545.0,-549.0,-553.0,-24.0,-182.2,-651.4,-878.0,-641.4,-341.1,-723.0,,-589.3,-746.0,-559.5,-302.5,-540.4,-421.8,-296.7,-825.9,-487.6,-545.7,-594.0,-392.2,-598.7,-416.0,-875.3,-343.4,-459.5,,-884.8,-609.3,,-564.0,81.0,-823.0,-729.9,,-379.3,-181.0,-657.2,-288.0,-631.5,-997.8,-632.0,True,True,True,True,True,True,True,False,False,False,True,False,,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,,False,False,,True,True,False,False,,True,True,False,True,False,False,False
Minnesota,2930,2645.7,2945.9,2624.9,2407.0,2613.9,2612.0,2628.0,2768.9,2582.1,2600.0,2570.4,2730.2,2605.1,,2664.1,2616.0,2604.3,2672.8,2764.8,2550.7,2699.5,2565.0,2752.0,2538.0,2642.0,2547.8,2649.4,2861.0,2563.4,2756.0,2536.0,,2503.9,2565.1,,2521.0,3047.4,2587.0,2576.2,,2565.3,2780.0,2565.4,2715.0,2825.0,2377.8,2611.0,-284.3,15.9,-305.1,-523.0,-316.1,-318.0,-302.0,-161.1,-347.9,-330.0,-359.6,-199.8,-324.9,,-265.9,-314.0,-325.7,-257.2,-165.2,-379.3,-230.5,-365.0,-178.0,-392.0,-288.0,-382.2,-280.6,-69.0,-366.6,-174.0,-394.0,,-426.1,-364.9,,-409.0,117.4,-343.0,-353.8,,-364.7,-150.0,-364.6,-215.0,-105.0,-552.2,-319.0,True,False,False,False,False,False,True,False,False,False,True,False,,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,,False,False,,False,True,False,False,,False,True,False,True,True,False,False
Mississippi,3540,3441.0,3603.0,3470.4,3441.0,3471.2,3471.0,3637.0,3846.9,3515.2,3392.0,3446.6,3431.2,3475.8,,3419.8,3464.0,3565.4,3577.2,3575.4,3351.6,3763.2,3374.8,3435.0,3438.6,3496.0,3325.6,3557.5,,3446.1,3513.3,3305.0,,3505.0,3453.3,,3566.0,3031.7,3387.0,3476.0,,3341.8,3711.0,3553.3,3600.0,3330.0,3428.3,3357.0,-99.0,63.0,-69.6,-99.0,-68.8,-69.0,97.0,306.9,-24.8,-148.0,-93.4,-108.8,-64.2,,-120.2,-76.0,25.4,37.2,35.4,-188.4,223.2,-165.2,-105.0,-101.4,-44.0,-214.4,17.5,,-93.9,-26.7,-235.0,,-35.0,-86.7,,26.0,-508.3,-153.0,-64.0,,-198.2,171.0,13.3,60.0,-210.0,-111.7,-183.0,True,True,False,True,True,True,False,True,False,True,False,True,,False,True,True,True,True,False,False,False,False,False,True,False,True,,True,True,False,,True,True,,True,False,False,True,,False,False,True,True,False,False,False
Missouri,3377,3240.0,3474.9,3271.7,3193.0,3209.3,3373.0,3607.0,3735.8,3293.7,2941.0,3351.4,3090.4,3223.7,,2841.3,3392.0,3311.8,3370.7,3230.7,3005.4,3560.3,3209.6,3295.3,3509.2,3236.0,3511.0,3391.2,,3201.5,3592.7,3506.0,,3086.5,3368.6,,3373.0,3362.6,3584.0,2810.1,,3576.5,3177.0,3102.1,3477.0,3769.0,2699.7,3678.0,-149.0,85.9,-117.3,-196.0,-179.7,-16.0,218.0,346.8,-95.3,-448.0,-37.6,-298.6,-165.3,,-547.7,3.0,-77.2,-18.3,-158.3,-383.6,171.3,-179.4,-93.7,120.2,-153.0,122.0,2.2,,-187.5,203.7,117.0,,-302.5,-20.4,,-16.0,-26.4,195.0,-578.9,,187.5,-212.0,-286.9,88.0,380.0,-689.3,289.0,True,True,False,False,True,False,False,True,False,True,False,False,,False,True,True,True,False,False,False,False,True,True,False,True,True,,False,False,True,,False,True,,True,True,False,False,,False,False,False,True,False,False,False
Montana,514,360.6,489.5,358.2,383.0,359.0,360.0,356.0,523.3,367.3,340.0,367.2,381.5,399.2,,354.8,362.0,397.0,540.8,478.9,305.2,434.1,325.8,381.5,310.7,429.0,478.4,427.5,,355.7,428.0,341.0,,,336.8,,421.0,585.6,336.0,333.6,,494.8,468.0,327.2,452.0,327.0,283.5,362.0,-153.4,-24.5,-155.8,-131.0,-155.0,-154.0,-158.0,9.3,-146.7,-174.0,-146.8,-132.5,-114.8,,-159.2,-152.0,-117.0,26.8,-35.1,-208.8,-79.9,-188.2,-132.5,-203.3,-85.0,-35.6,-86.5,,-158.3,-86.0,-173.0,,,-177.2,,-93.0,71.6,-178.0,-180.4,,-19.2,-46.0,-186.8,-62.0,-187.0,-230.5,-152.0,True,False,True,False,False,False,True,True,False,True,True,True,,False,True,True,True,True,False,True,False,True,False,True,True,True,,False,True,False,,,False,,True,True,False,False,,True,True,False,True,False,False,True
Nebraska,779,659.9,810.6,650.8,712.0,659.0,679.0,891.0,744.1,670.3,614.0,703.1,698.0,688.9,,759.9,635.0,647.7,771.1,839.8,705.6,730.5,638.0,686.5,636.0,826.0,692.4,746.0,,638.2,728.9,659.0,,,664.3,,690.0,650.8,679.0,580.9,,711.3,729.0,627.7,718.0,674.0,594.9,672.0,-119.1,31.6,-128.2,-67.0,-120.0,-100.0,112.0,-34.9,-108.7,-165.0,-75.9,-81.0,-90.1,,-19.1,-144.0,-131.3,-7.9,60.8,-73.4,-48.5,-141.0,-92.5,-143.0,47.0,-86.6,-33.0,,-140.8,-50.1,-120.0,,,-114.7,,-89.0,-128.2,-100.0,-198.1,,-67.7,-50.0,-151.3,-61.0,-105.0,-184.1,-107.0,True,False,True,False,True,True,True,True,False,True,True,True,,True,False,False,True,True,True,True,False,True,False,True,True,True,,False,True,False,,,True,,True,False,True,False,,True,True,False,True,True,False,True
Nevada,1908,1899.0,2024.4,1893.2,1910.0,1899.1,1925.0,1956.0,2003.2,1885.7,1834.0,1875.6,1845.0,1886.4,,1872.8,1866.0,1883.8,1911.9,1930.8,1890.3,2017.7,1860.2,1905.3,1886.3,1869.0,1987.4,1943.5,,2124.7,1958.8,1861.0,,1910.5,1862.0,,1938.0,2083.3,1953.0,1951.0,,1997.4,1960.0,1905.1,1963.0,1827.0,1853.9,1898.0,-9.0,116.4,-14.8,2.0,-8.9,17.0,48.0,95.2,-22.3,-74.0,-32.4,-63.0,-21.6,,-35.2,-42.0,-24.2,3.9,22.8,-17.7,109.7,-47.8,-2.7,-21.7,-39.0,79.4,35.5,,216.7,50.8,-47.0,,2.5,-46.0,,30.0,175.3,45.0,43.0,,89.4,52.0,-2.9,55.0,-81.0,-54.1,-10.0,False,False,True,True,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,False,,True,False,,False,False,False,False,,False,False,True,False,False,False,False
New Hampshire,499,504.6,506.2,509.7,511.0,510.2,510.0,493.0,580.0,506.6,529.0,525.8,516.9,495.9,,509.4,494.0,493.4,544.0,516.8,494.9,541.7,482.5,496.1,505.9,513.0,483.7,530.8,,498.2,523.1,492.0,,,538.6,,525.0,493.4,538.0,485.1,,504.7,525.0,523.3,539.0,579.0,476.1,502.0,5.6,7.2,10.7,12.0,11.2,11.0,-6.0,81.0,7.6,30.0,26.8,17.9,-3.1,,10.4,-5.0,-5.6,45.0,17.8,-4.1,42.7,-16.5,-2.9,6.9,14.0,-15.3,31.8,,-0.8,24.1,-7.0,,,39.6,,26.0,-5.6,39.0,-13.9,,5.7,26.0,24.3,40.0,80.0,-22.9,3.0,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False,True,False,False,True,False,False,False,False,,True,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,True
New Jersey,16548,16353.7,16356.7,16341.7,16391.0,16449.5,16418.0,16705.0,16369.7,16480.3,16420.0,16421.5,16384.8,16515.5,,16241.0,16332.0,16391.8,16644.5,16428.7,16475.6,16449.4,16338.6,16406.8,16815.5,16430.0,16343.5,16428.1,,16425.0,16382.7,16221.0,,16275.5,16339.7,,16404.0,19061.4,16419.0,16309.5,,16359.1,16418.0,17105.6,16391.0,16506.0,16338.4,16556.0,-194.3,-191.3,-206.3,-157.0,-98.5,-130.0,157.0,-178.3,-67.7,-128.0,-126.5,-163.2,-32.5,,-307.0,-216.0,-156.2,96.5,-119.3,-72.4,-98.6,-209.4,-141.2,267.5,-118.0,-204.5,-119.9,,-123.0,-165.3,-327.0,,-272.5,-208.3,,-144.0,2513.4,-129.0,-238.5,,-188.9,-130.0,557.6,-157.0,-42.0,-209.6,8.0,True,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,True,True,True,False,True,False,True,False,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,False,True
New Mexico,1208,1022.7,1083.6,1020.2,1044.0,1017.0,1049.0,1215.0,1298.8,1096.6,974.0,1037.7,,1070.6,,1012.6,998.0,1070.4,1156.0,1088.4,1055.5,1212.5,1040.2,1060.1,1061.9,1046.0,1032.1,1093.2,,1056.7,1074.7,967.0,,,991.3,,1096.0,1239.1,1156.0,993.4,,1050.6,1174.0,1037.0,1162.0,1018.0,994.0,1029.0,-185.3,-124.4,-187.8,-164.0,-191.0,-159.0,7.0,90.8,-111.4,-234.0,-170.3,,-137.4,,-195.4,-210.0,-137.6,-52.0,-119.6,-152.5,4.5,-167.8,-147.9,-146.1,-162.0,-175.9,-114.8,,-151.3,-133.3,-241.0,,,-216.7,,-112.0,31.1,-52.0,-214.6,,-157.4,-34.0,-171.0,-46.0,-190.0,-214.0,-179.0,True,False,True,False,True,True,True,True,False,True,,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,,False,,True,True,True,False,,True,True,True,True,False,False,True
New York,34010,33600.0,33484.3,33555.7,33730.0,33713.8,33667.0,33785.0,33956.8,33881.7,33636.0,33651.2,33490.2,33753.8,,33759.3,33566.0,33747.7,34177.2,33730.4,33804.1,33961.1,33509.9,33704.8,34868.9,33847.0,33591.6,33683.0,,33668.1,33643.5,33349.0,,33587.3,33654.9,,33667.0,34009.0,33620.0,33519.3,,33596.2,33752.0,33893.7,33809.0,33665.0,33335.8,33518.0,-208.0,-323.7,-252.3,-78.0,-94.2,-141.0,-23.0,148.8,73.7,-172.0,-156.8,-317.8,-54.2,,-48.7,-242.0,-60.3,369.2,-77.6,-3.9,153.1,-298.1,-103.2,1060.9,39.0,-216.4,-125.0,,-139.9,-164.5,-459.0,,-220.7,-153.1,,-141.0,201.0,-188.0,-288.7,,-211.8,-56.0,85.7,1.0,-143.0,-472.2,-290.0,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,True,False,True,True,True,False,True,False,True,False,True,,True,True,False,,False,True,,True,True,True,False,,False,True,True,True,True,False,False
