,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3246,2939.9,2877.0,2826.9,3045.0,,3337.5,3163.0,2992.0,2815.6,2982.6,,2667.1,2912.9,3182.3,2981.0,2880.8,-306.1,-369.0,-419.1,-201.0,,91.5,-83.0,-254.0,-430.4,-263.4,,-578.9,-333.1,-63.7,-265.0,-365.2,False,False,True,,True,True,True,False,True,,False,False,True,True,False
Alaska,98,131.4,81.0,78.9,87.0,,47.3,,74.1,75.0,152.9,,64.3,77.5,99.2,80.0,68.7,33.4,-17.0,-19.1,-11.0,,-50.7,,-23.9,-23.0,54.9,,-33.7,-20.5,1.2,-18.0,-29.3,True,True,True,,False,,True,True,False,,False,True,True,True,True
Arizona,6300,6624.1,12683.0,6420.5,6272.0,,6766.1,6421.0,6397.4,5934.6,6114.5,,5832.6,6448.7,6163.1,6224.0,6271.3,324.1,6383.0,120.5,-28.0,,466.1,121.0,97.4,-365.4,-185.5,,-467.4,148.7,-136.9,-76.0,-28.7,False,True,True,,False,True,True,False,True,,False,True,True,True,True
Arkansas,2159,2178.9,3703.0,2656.4,1954.0,,1929.3,1732.0,2278.6,1606.4,2101.9,,1728.6,1832.6,1682.3,1945.0,1639.1,19.9,1544.0,497.4,-205.0,,-229.7,-427.0,119.6,-552.6,-57.1,,-430.4,-326.4,-476.7,-214.0,-519.9,False,False,False,,False,False,False,False,False,,False,False,False,False,False
California,18255,19651.7,18574.0,18097.7,18638.0,,22591.4,18376.0,18396.8,17511.9,18165.1,,16739.2,18779.1,18374.9,19123.0,17955.3,1396.7,319.0,-157.3,383.0,,4336.4,121.0,141.8,-743.1,-89.9,,-1515.8,524.1,119.9,868.0,-299.7,True,True,True,,False,True,True,True,True,,False,True,True,True,True
Colorado,2525,2226.1,4562.0,2343.6,2075.0,,2291.5,2215.0,2420.3,2176.6,2270.6,,2105.9,2161.6,3135.7,2517.0,2122.9,-298.9,2037.0,-181.4,-450.0,,-233.5,-310.0,-104.7,-348.4,-254.4,,-419.1,-363.4,610.7,-8.0,-402.1,False,True,False,,True,False,True,False,True,,False,False,False,True,False
Connecticut,4737,4562.7,4640.0,4573.6,4502.0,,4777.9,4582.0,4575.4,4520.1,4887.7,,4523.5,4546.0,4971.6,4562.0,4519.0,-174.3,-97.0,-163.4,-235.0,,40.9,-155.0,-161.6,-216.9,150.7,,-213.5,-191.0,234.6,-175.0,-218.0,True,True,False,,True,True,True,False,True,,False,False,False,False,False
Delaware,766,715.3,716.0,704.0,637.0,,709.3,673.0,691.9,655.9,708.5,,674.1,679.0,793.1,671.0,661.4,-37.7,-37.0,-49.0,-116.0,,-43.7,-80.0,-61.1,-97.1,-44.5,,-78.9,-74.0,40.1,-82.0,-91.6,True,False,False,,False,False,False,False,False,,False,False,False,False,False
District of Columbia,658,651.4,664.0,644.8,628.0,,664.2,633.0,645.9,638.1,663.7,,624.7,645.4,711.7,652.0,636.0,-6.6,6.0,-13.2,-30.0,,6.2,-25.0,-12.1,-19.9,5.7,,-33.3,-12.6,53.7,-6.0,-22.0,True,False,False,,True,False,False,False,True,,False,False,False,True,False
Florida,17489,19078.9,18611.0,17507.9,16535.0,,21608.1,16761.0,17197.7,16371.2,16805.9,,15114.3,17632.5,15874.9,18063.0,16277.1,1589.9,1122.0,18.9,-954.0,,4119.1,-728.0,-291.3,-1117.8,-683.1,,-2374.7,143.5,-1614.1,574.0,-1211.9,True,True,True,,False,True,True,True,True,,False,True,False,True,True
