,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3246,2507.6,2775.2,2336.1,,-738.4,-470.8,-909.9,,True,False,
Alaska,98,53.7,42.6,20.5,,-44.3,-55.4,-77.5,,False,False,
Arizona,6300,6459.0,14986.3,4866.5,,159.0,8686.3,-1433.5,,False,False,
Arkansas,2159,1038.4,1682.7,894.0,,-1120.6,-476.3,-1265.0,,True,False,
California,18253,14212.4,23345.4,11235.3,,-4040.6,5092.4,-7017.7,,False,False,
Colorado,2525,2251.9,2073.0,2448.7,,-273.1,-452.0,-76.3,,False,True,
Connecticut,4737,5428.0,4507.1,4658.2,,691.0,-229.9,-78.8,,True,True,
Delaware,736,1936.7,562.8,582.9,,1200.7,-173.2,-153.1,,True,True,
District of Columbia,658,887.6,592.4,635.1,,229.6,-65.6,-22.9,,True,True,
Florida,17489,8542.1,73581.2,26258.2,,-8946.9,56092.2,8769.2,,False,True,
Georgia,8956,5458.7,7967.5,6267.2,,-3497.3,-988.5,-2688.8,,True,True,
Hawaii,222,37.9,208.1,330.9,,-184.1,-13.9,108.9,,True,True,
Idaho,759,130.7,1510.3,124.9,,-628.3,751.3,-634.1,,False,False,
Illinois,11088,11673.6,7454.4,9019.4,,585.6,-3633.6,-2068.6,,False,False,
Indiana,4888,4187.7,3144.4,3084.5,,-700.3,-1743.6,-1803.5,,False,False,
Iowa,1985,1103.1,1350.3,843.0,,-881.9,-634.7,-1142.0,,True,False,
Kansas,1256,507.3,610.0,509.3,,-748.7,-646.0,-746.7,,True,True,
Kentucky,1658,1193.4,902.0,864.9,,-464.6,-756.0,-793.1,,False,False,
Louisiana,6121,5065.6,5507.2,4422.4,,-1055.4,-613.8,-1698.6,,True,False,
Maine,163,143.7,127.6,123.2,,-19.3,-35.4,-39.8,,False,False,
Maryland,4293,5193.4,3625.2,3615.6,,900.4,-667.8,-677.4,,True,True,
Massachusetts,10293,12070.1,8320.3,12714.8,,1778.1,-1971.7,2422.8,,False,False,
Michigan,8376,7487.4,7085.5,6468.9,,-888.6,-1290.5,-1907.1,,False,False,
Minnesota,2930,2413.1,2053.4,1871.7,,-516.9,-876.6,-1058.3,,False,False,
Mississippi,3540,3044.6,3209.2,2219.0,,-495.4,-330.8,-1321.0,,True,False,
Missouri,3387,1778.4,2964.9,1838.8,,-1598.6,-412.1,-1538.2,,True,True,
Montana,514,61.7,442.2,69.3,,-452.3,-71.8,-444.7,,True,True,
Nebraska,779,723.7,400.6,585.1,,-55.3,-378.4,-193.9,,False,False,
Nevada,1908,758.1,14815.5,1294.3,,-1149.9,12907.5,-613.7,,False,True,
New Hampshire,499,923.0,470.3,1131.2,,424.0,-28.7,632.2,,True,False,
New Jersey,16548,55404.1,13524.2,16136.5,,38856.1,-3023.8,-411.5,,True,True,
New Mexico,1208,948.7,924.6,891.2,,-259.3,-283.4,-316.8,,False,False,
New York,34010,36798.1,32278.8,33672.3,,3469.1,-1050.2,343.3,,True,True,
North Carolina,4756,3913.6,4321.1,2568.0,,-842.4,-434.9,-2188.0,,True,False,
North Dakota,726,118.7,113.2,91.3,,-607.3,-612.8,-634.7,,False,False,
Ohio,5714,4931.7,4425.4,4475.8,,-782.3,-1288.6,-1238.2,,False,False,
Oklahoma,1516,702.7,4593.4,532.7,,-813.3,3077.4,-983.3,,False,False,
Oregon,759,440.3,1936.4,894.0,,-318.7,1177.4,135.0,,False,True,
Pennsylvania,9252,10239.9,7986.0,8748.7,,987.9,-1266.0,-503.3,,False,True,
Rhode Island,1254,1582.3,1074.0,1436.3,,328.3,-180.0,182.3,,True,True,
South Carolina,4110,1967.0,6643.2,1611.1,,-2143.0,2533.2,-2498.9,,False,False,
South Dakota,621,289.6,294.0,282.3,,-331.4,-327.0,-338.7,,True,False,
Tennessee,3877,1735.7,4078.2,1980.3,,-2141.3,201.2,-1896.7,,True,True,
Texas,19911,6591.9,35086.6,18544.5,10417.0,-13089.1,15405.6,-1136.5,-9264.0,False,True,True
Utah,710,345.7,1780.3,605.8,,-364.3,1070.3,-104.2,,False,True,
Vermont,59,56.0,74.4,109.9,,-3.0,15.4,50.9,,False,False,
Virginia,3799,4134.7,2158.1,2394.7,,335.7,-1640.9,-1404.3,,False,False,
Washington,2519,2104.3,2991.1,3268.7,,-414.7,472.1,749.7,,False,False,
West Virginia,574,172.4,198.2,153.7,,-401.6,-375.8,-420.3,,True,False,
Wisconsin,2739,1432.3,2234.5,1425.2,,-1270.7,-468.5,-1277.8,,True,False,
Wyoming,144,20.0,297.9,25.6,,-124.0,153.9,-118.4,,False,True,
US,245664,241451.0,323824.8,211182.4,163708.0,-3255.0,79118.8,-33523.6,-80998.0,False,False,False
