,mean_rank
UMass-MechBayes,15.3
Google_Harvard-CPF,15.5
Caltech-CS156,16.4
Karlen-pypm,17.0
COVIDhub-ensemble,17.7
MSRA-DeepST,18.1
CMU-TimeSeries,18.2
USC-SI_kJalpha,18.5
SteveMcConnell-CovidComplete,18.5
OliverWyman-Navigator,18.7
GT-DeepCOVID,18.7
LNQ-ens1,18.9
Covid19Sim-Simulator,19.4
UCSB-ACTS,19.7
MIT_CritData-GBCF,19.8
UA-EpiCovDA,20.0
MOBS-GLEAM_COVID,20.2
Columbia_UNC-SurvCon,20.4
UCSD_NEU-DeepGLEAM,20.4
USC-SI_kJalpha_RF,20.7
JCB-PRM,21.1
LANL-GrowthRate,21.1
COVIDhub-baseline,21.2
CEID-Walk,21.3
CU-select,21.4
BPagano-RtDriven,21.7
epiforecasts-ensemble1,22.6
JHUAPL-Bucky,22.8
IowaStateLW-STEM,23.1
NotreDame-mobility,23.3
UMich-RidgeTfReg,23.6
UCLA-SuEIR,23.8
UT-Mobility,23.8
JHU_CSSE-DECOM,24.3
DDS-NBDS,24.6
JHU_UNC_GAS-StatMechPool,24.7
CovidAnalytics-DELPHI,25.1
PSI-DRAFT,26.1
IQVIA_ACOE-STAN,26.2
JHU_IDD-CovidSP,30.6
TTU-squider,30.7
WalmartLabsML-LogForecasting,35.4
RobertWalraven-ESG,35.5
