,mean_rank
UMass-MechBayes,12.0
OliverWyman-Navigator,13.8
CU-select,14.1
Karlen-pypm,14.5
USC-SI_kJalpha,14.7
MSRA-DeepST,15.2
JHU_CSSE-DECOM,15.3
JHUAPL-Bucky,15.4
SteveMcConnell-CovidComplete,16.5
UCSD_NEU-DeepGLEAM,16.9
Google_Harvard-CPF,17.3
COVIDhub-ensemble,17.5
MIT_CritData-GBCF,17.5
MOBS-GLEAM_COVID,17.7
JCB-PRM,17.9
LNQ-ens1,18.2
GT-DeepCOVID,18.7
UA-EpiCovDA,18.8
DDS-NBDS,19.0
CMU-TimeSeries,19.0
Covid19Sim-Simulator,19.9
COVIDhub-baseline,20.1
Columbia_UNC-SurvCon,20.4
CEID-Walk,20.7
IHME-CurveFit,20.8
epiforecasts-ensemble1,20.9
BPagano-RtDriven,21.9
JHU_IDD-CovidSP,22.0
UMich-RidgeTfReg,22.1
MITCovAlliance-SIR,23.4
UT-Mobility,23.4
RobertWalraven-ESG,24.6
NotreDame-mobility,25.3
IowaStateLW-STEM,25.6
UCLA-SuEIR,28.1
TTU-squider,28.1
PSI-DRAFT,29.0
LANL-GrowthRate,29.3
CovidAnalytics-DELPHI,31.4
WalmartLabsML-LogForecasting,33.2
