,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3246,3179.1,3225.2,3201.9,3201.0,3197.0,3192.0,3179.0,3206.0,3206.0,3255.7,3137.0,3220.7,3179.0,3207.8,3185.3,,3206.0,3189.0,3199.5,3142.8,3208.0,3138.7,3177.0,3199.2,3189.0,3185.0,3202.0,3217.7,3200.6,,3200.7,3212.0,3147.0,,3174.0,3235.5,3209.0,3231.5,3167.0,3193.1,,3184.3,3222.1,3222.0,3179.0,3185.2,3209.0,3189.4,3191.5,3152.6,3206.0,-66.9,-20.8,-44.1,-45.0,-49.0,-54.0,-67.0,-40.0,-40.0,9.7,-109.0,-25.3,-67.0,-38.2,-60.7,,-40.0,-57.0,-46.5,-103.2,-38.0,-107.3,-69.0,-46.8,-57.0,-61.0,-44.0,-28.3,-45.4,,-45.3,-34.0,-99.0,,-72.0,-10.5,-37.0,-14.5,-79.0,-52.9,,-61.7,-23.9,-24.0,-67.0,-60.8,-37.0,-56.6,-54.5,-93.4,-40.0,True,True,True,True,True,False,True,True,True,False,True,False,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,,True,True,False,,False,True,True,True,False,True,,True,True,True,False,True,True,True,True,False,True
Alaska,98,84.9,88.1,84.3,89.0,86.0,90.0,98.0,93.2,99.0,101.2,90.0,90.9,96.1,94.6,98.6,,,,86.8,101.6,94.0,90.7,84.0,93.0,89.0,90.2,130.0,86.5,107.8,,88.1,89.3,91.0,,,85.4,98.0,110.5,96.0,88.7,,101.1,86.0,99.6,93.0,87.7,94.0,94.2,87.0,87.1,,-13.1,-9.9,-13.7,-9.0,-12.0,-8.0,0.0,-4.8,1.0,3.2,-8.0,-7.1,-1.9,-3.4,0.6,,,,-11.2,3.6,-4.0,-7.3,-14.0,-5.0,-9.0,-7.8,32.0,-11.5,9.8,,-9.9,-8.7,-7.0,,,-12.6,0.0,12.5,-2.0,-9.3,,3.1,-12.0,1.6,-5.0,-10.3,-4.0,-3.8,-11.0,-10.9,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,False,True,True,True,False,True,True,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,
Arizona,6300,6322.6,6435.5,6318.2,6319.0,6315.0,6309.0,6274.0,6288.9,6304.0,6122.4,6199.0,6300.0,6277.5,6376.0,6292.7,,6353.0,6249.0,6280.1,6225.5,6304.0,6209.4,6253.0,6324.4,6395.0,6345.2,6249.0,6332.3,6301.0,,6255.9,6357.0,6231.0,,6233.3,6392.9,6311.0,6456.6,6357.0,6326.4,,6259.0,6337.8,6314.5,6308.0,6347.3,6402.0,6335.6,6337.0,6245.9,6355.0,22.6,135.5,18.2,19.0,15.0,9.0,-26.0,-11.1,4.0,-177.6,-101.0,-0.0,-22.5,76.0,-7.3,,53.0,-51.0,-19.9,-74.5,4.0,-90.6,-47.0,24.4,95.0,45.2,-51.0,32.3,1.0,,-44.1,57.0,-69.0,,-66.7,92.9,11.0,156.6,57.0,26.4,,-41.0,37.8,14.5,8.0,47.3,102.0,35.6,37.0,-54.1,55.0,False,True,True,True,True,False,True,True,False,False,True,True,False,True,,False,False,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,,False,False,True,False,False,False,,False,False,True,True,False,False,False,False,False,False
Arkansas,2159,2193.9,2236.2,2210.1,2225.0,2211.0,2202.0,2188.0,2194.5,2251.0,2239.5,2203.0,2194.8,2194.5,2192.6,2211.2,,2198.0,2206.0,2223.2,2179.8,2202.0,2141.4,2204.0,2209.4,2204.0,2204.8,2180.0,2211.4,2201.8,,2104.5,2223.0,2185.0,,2229.3,2189.9,2220.0,2132.1,2227.0,2206.0,,2189.4,2215.4,2206.1,2180.0,2184.7,2211.0,2192.7,2189.0,2159.2,2072.0,34.9,77.2,51.1,66.0,52.0,43.0,29.0,35.5,92.0,80.5,44.0,35.8,35.5,33.6,52.2,,39.0,47.0,64.2,20.8,43.0,-17.6,45.0,50.4,45.0,45.8,21.0,52.4,42.8,,-54.5,64.0,26.0,,70.3,30.9,61.0,-26.9,68.0,47.0,,30.4,56.4,47.1,21.0,25.7,52.0,33.7,30.0,0.2,-87.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,True,False,True,False,False,False,False,True,False,False,,False,False,True,,False,True,False,True,False,False,,True,False,False,True,True,False,True,True,True,False
California,18253,18231.9,18286.5,18272.0,18281.0,18263.0,18286.0,18411.0,18313.5,18303.0,18397.0,18136.0,18243.3,18277.5,18177.5,18319.8,,18281.0,18319.0,18309.4,18351.6,18284.0,18271.5,18256.5,18297.4,18256.0,18306.4,18338.0,18150.1,18291.1,,18163.9,18278.1,18339.0,,18238.8,18231.1,18350.0,16789.9,18303.0,18268.2,18296.0,18366.2,18152.6,18392.6,18314.0,18299.7,18293.0,18326.5,18186.0,18302.2,18224.0,-21.1,33.5,19.0,28.0,10.0,33.0,158.0,60.5,50.0,144.0,-117.0,-9.7,24.5,-75.5,66.8,,28.0,66.0,56.4,98.6,31.0,18.5,3.5,44.4,3.0,53.4,85.0,-102.9,38.1,,-89.1,25.1,86.0,,-14.2,-21.9,97.0,-1463.1,50.0,15.2,43.0,113.2,-100.4,139.6,61.0,46.7,40.0,73.5,-67.0,49.2,-29.0,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,True,False,True,False,False,False,False,,False,False,False,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Colorado,2525,2484.9,2552.9,2491.6,2497.0,2493.0,2496.0,2582.0,2511.3,2552.0,2497.6,2599.0,2511.7,2529.8,2538.0,2513.4,,2478.0,2480.0,2496.5,2454.6,2499.0,2452.7,2469.0,2519.9,2525.0,2514.2,2517.0,2492.0,2516.4,,2476.9,2531.1,2452.0,,2459.4,2578.4,2470.0,2624.3,2457.0,2495.0,,2462.1,2496.0,2564.3,2509.0,2450.2,2508.0,2481.3,2494.0,2425.8,2498.0,-40.1,27.9,-33.4,-28.0,-32.0,-29.0,57.0,-13.7,27.0,-27.4,74.0,-13.3,4.8,13.0,-11.6,,-47.0,-45.0,-28.5,-70.4,-26.0,-72.3,-56.0,-5.1,0.0,-10.8,-8.0,-33.0,-8.6,,-48.1,6.1,-73.0,,-65.6,53.4,-55.0,99.3,-68.0,-30.0,,-62.9,-29.0,39.3,-16.0,-74.8,-17.0,-43.7,-31.0,-99.2,-27.0,True,True,True,True,True,False,True,True,True,False,True,True,True,True,,False,False,True,False,True,False,False,True,True,True,True,True,True,,False,True,False,,False,False,False,False,False,True,,False,True,True,True,False,True,False,True,False,True
Connecticut,4737,4718.1,4737.6,4726.8,4728.0,4726.0,4734.0,4745.0,4729.4,4760.0,4760.1,4761.0,4726.4,4766.5,4734.6,4757.0,,4710.0,4730.0,4733.7,4761.1,4723.0,4698.1,4711.0,4748.9,4735.0,4720.8,4712.0,4734.8,4734.6,,4700.8,4735.4,4671.0,,4714.0,4706.4,4740.0,5276.6,4705.0,4724.8,,4716.0,4739.1,4742.0,4742.0,4709.9,4737.0,4730.0,4708.0,4662.8,4728.0,-18.9,0.6,-10.2,-9.0,-11.0,-3.0,8.0,-7.6,23.0,23.1,24.0,-10.6,29.5,-2.4,20.0,,-27.0,-7.0,-3.3,24.1,-14.0,-38.9,-26.0,11.9,-2.0,-16.2,-25.0,-2.2,-2.4,,-36.2,-1.6,-66.0,,-23.0,-30.6,3.0,539.6,-32.0,-12.2,,-21.0,2.1,5.0,5.0,-27.1,0.0,-7.0,-29.0,-74.2,-9.0,True,True,True,True,True,True,True,False,False,False,True,False,True,False,,False,True,True,False,True,False,False,True,True,True,False,True,True,,False,True,False,,False,False,True,False,False,True,,False,True,True,True,False,True,True,False,False,True
Delaware,736,724.9,729.5,725.3,728.0,724.0,732.0,738.0,730.0,748.0,746.1,729.0,739.9,736.6,745.6,738.4,,727.0,736.0,737.0,743.5,728.0,723.7,725.0,735.7,730.0,729.2,733.0,725.1,735.6,,735.6,733.0,730.0,,,721.7,735.0,723.6,736.0,719.0,,749.1,729.6,727.5,731.0,734.9,731.0,733.4,732.0,726.4,731.0,-11.1,-6.5,-10.7,-8.0,-12.0,-4.0,2.0,-6.0,12.0,10.1,-7.0,3.9,0.6,9.6,2.4,,-9.0,0.0,1.0,7.5,-8.0,-12.3,-11.0,-0.3,-6.0,-6.8,-3.0,-10.9,-0.4,,-0.4,-3.0,-6.0,,,-14.3,-1.0,-12.4,0.0,-17.0,,13.1,-6.4,-8.5,-5.0,-1.1,-5.0,-2.6,-4.0,-9.6,-5.0,True,True,True,False,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,False,True,False,,False,True,True,True,True,True,True,True,True,True
District of Columbia,658,660.9,667.0,662.6,660.0,662.0,660.0,664.0,661.6,658.0,652.8,658.0,660.6,658.4,672.0,663.7,,661.0,653.0,657.8,655.5,662.0,657.7,657.0,660.4,657.0,657.3,660.0,,,,657.2,663.3,658.0,,,668.8,660.0,654.8,663.0,662.6,,657.8,,661.5,659.0,,661.0,661.0,660.5,655.3,663.0,2.9,9.0,4.6,2.0,4.0,2.0,6.0,3.6,0.0,-5.2,0.0,2.6,0.4,14.0,5.7,,3.0,-5.0,-0.2,-2.5,4.0,-0.3,-1.0,2.4,-1.0,-0.7,2.0,,,,-0.8,5.3,0.0,,,10.8,2.0,-3.2,5.0,4.6,,-0.2,,3.5,1.0,,3.0,3.0,2.5,-2.7,5.0,False,False,True,False,True,False,False,True,False,True,True,True,False,False,,False,False,True,True,False,True,True,True,True,True,True,,,,True,False,True,,,False,True,False,False,False,,True,,False,True,,False,False,True,True,False
Florida,17489,17405.6,17434.2,17452.1,17399.0,17439.0,17475.0,17849.0,17525.4,17483.0,17775.6,17420.0,17515.4,17531.5,17309.8,17485.1,,17491.0,17551.0,17638.2,17553.7,17457.0,17376.0,17371.5,17507.5,17358.0,17418.8,17432.0,17488.9,17438.3,,17629.6,17462.0,17594.0,,17475.4,17398.9,17582.0,17870.9,17482.0,17446.6,,17473.8,17490.5,17454.1,17549.0,17441.6,17484.0,17469.6,17356.0,17480.5,17353.0,-83.4,-54.8,-36.9,-90.0,-50.0,-14.0,360.0,36.4,-6.0,286.6,-69.0,26.4,42.5,-179.2,-3.9,,2.0,62.0,149.2,64.7,-32.0,-113.0,-117.5,18.5,-131.0,-70.2,-57.0,-0.1,-50.7,,140.6,-27.0,105.0,,-13.6,-90.1,93.0,381.9,-7.0,-42.4,,-15.2,1.5,-34.9,60.0,-47.4,-5.0,-19.4,-133.0,-8.5,-136.0,True,True,False,True,True,False,True,True,False,True,True,True,False,True,,True,True,False,True,True,False,False,True,False,True,True,True,True,,False,True,False,,True,False,False,False,True,True,,True,True,True,True,True,True,True,False,True,False
