,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3246,3376.6,2534.7,4376.4,2957.0,,3044.9,130.6,-711.3,1130.4,-289.0,,-201.1,False,False,False,,False
Alaska,98,79.4,92.8,31.1,,,52.8,-18.6,-5.2,-66.9,,,-45.2,True,False,,,False
Arizona,6300,7913.1,4605.0,8234.4,7886.0,,7030.5,1613.1,-1695.0,1934.4,1586.0,,730.5,False,False,True,,True
Arkansas,2159,1730.4,1116.0,1776.5,1455.0,,1339.4,-428.6,-1043.0,-382.5,-704.0,,-819.6,False,True,False,,False
California,18255,22943.0,17596.1,34865.0,22256.0,,20086.6,4688.0,-658.9,16610.0,4001.0,,1831.6,True,False,True,,True
Colorado,2525,2178.9,2159.2,2307.0,2277.0,,2079.7,-346.1,-365.8,-218.0,-248.0,,-445.3,False,True,True,,False
Connecticut,4737,4543.0,4528.0,4603.7,4593.0,,4532.3,-194.0,-209.0,-133.3,-144.0,,-204.7,False,True,True,,False
Delaware,766,683.0,661.6,651.4,656.0,,656.1,-69.0,-90.4,-100.6,-96.0,,-95.9,False,False,False,,False
District of Columbia,658,687.0,648.7,740.2,636.0,,647.3,29.0,-9.3,82.2,-22.0,,-10.7,True,False,True,,True
Florida,17489,20676.3,12042.8,19894.7,19264.0,,18372.3,3187.3,-5446.2,2405.7,1775.0,,883.3,False,True,True,,True
Georgia,8956,10230.6,6900.4,10280.7,7210.0,,8653.3,1274.6,-2055.6,1324.7,-1746.0,,-302.7,False,False,False,,True
Hawaii,222,130.0,589.9,147.1,,,145.2,-92.0,367.9,-74.9,,,-76.8,False,True,,,True
Idaho,759,757.6,543.2,716.5,489.0,,569.2,-1.4,-215.8,-42.5,-270.0,,-189.8,False,False,False,,False
Illinois,11088,9677.9,9826.8,9942.7,9141.0,,9068.8,-1410.1,-1261.2,-1145.3,-1947.0,,-2019.2,True,True,False,,False
Indiana,5191,4251.6,3959.8,5570.1,4016.0,,3809.1,-983.4,-1275.2,335.1,-1219.0,,-1425.9,False,True,False,,False
Iowa,1985,1772.1,1664.6,2272.8,1576.0,,1555.9,-212.9,-320.4,287.8,-409.0,,-429.1,False,False,False,,False
Kansas,1256,663.1,900.3,915.7,659.0,,663.0,-592.9,-355.7,-340.3,-597.0,,-593.0,True,True,False,,False
Kentucky,1658,1607.1,1431.5,2004.1,1218.0,,1643.6,-50.9,-226.5,346.1,-440.0,,-14.4,False,False,False,,True
Louisiana,6121,7579.9,4931.0,7434.0,6669.0,,7078.3,1458.9,-1190.0,1313.0,548.0,,957.3,True,True,True,,True
Maine,163,178.4,153.1,147.4,194.0,,144.4,15.4,-9.9,-15.6,31.0,,-18.6,True,False,False,,False
Maryland,4293,4307.6,4160.2,4686.1,3963.0,,4071.1,14.6,-132.8,393.1,-330.0,,-221.9,False,False,False,,False
Massachusetts,10293,9905.1,8963.4,10991.2,10115.0,,9425.8,-387.9,-1329.6,698.2,-178.0,,-867.2,False,False,True,,False
Michigan,8376,7453.4,7333.0,8637.1,7504.0,,7080.4,-922.6,-1043.0,261.1,-872.0,,-1295.6,False,True,True,,False
Minnesota,2930,2536.3,2445.0,4129.2,2270.0,,2650.4,-393.7,-485.0,1199.2,-660.0,,-279.6,False,False,False,,True
Mississippi,3540,4089.7,2492.4,3193.2,4029.0,,3774.3,549.7,-1047.6,-346.8,489.0,,234.3,False,True,True,,True
Missouri,3406,2283.0,2479.0,2421.9,1998.0,,1977.6,-1102.0,-906.0,-963.1,-1387.0,,-1407.4,True,True,False,,False
Montana,514,184.9,227.9,156.5,222.0,,162.3,-329.1,-286.1,-357.5,-292.0,,-351.7,True,False,True,,False
Nebraska,779,579.6,605.6,752.0,549.0,,476.1,-199.4,-173.4,-27.0,-230.0,,-302.9,True,True,False,,False
Nevada,1908,2679.1,1591.5,3044.0,2296.0,,2405.9,771.1,-316.5,1136.0,388.0,,497.9,True,False,True,,True
New Hampshire,499,500.1,432.9,444.3,495.0,,492.4,1.1,-66.1,-54.7,-4.0,,-6.6,False,False,False,,False
New Jersey,16548,16349.1,16104.7,16220.3,16348.0,,16184.7,-198.9,-443.3,-327.7,-200.0,,-363.3,False,False,False,,False
