,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,741,558.0,,571.3,,548.0,504.0,,,,,530.3,499.3,,,,489.0,,755.9,318.4,428.5,,851.5,609.8,635.9,777.0,603.0,666.6,,,,,502.9,694.1,,,,549.3,-183.0,,-169.7,,-193.0,-237.0,,,,,-210.7,-241.7,,,,-252.0,,14.9,-422.6,-312.5,,110.5,-131.2,-105.1,36.0,-138.0,-74.4,,,,,-238.1,-46.9,,,,-191.7,,True,,False,False,,,,,False,False,,,,False,,True,False,False,,True,True,True,True,True,True,,,,,False,True,,,,False
01003,2043,2078.0,,2077.2,,2025.0,1941.0,,,,,1990.9,3083.7,,,,1380.0,,2395.3,1176.5,1591.5,,2783.0,2449.6,2323.4,2929.0,2283.0,2356.3,,,,,1830.3,1932.2,1600.0,,,3047.2,35.0,,34.2,,-18.0,-102.0,,,,,-52.1,1040.7,,,,-663.0,,352.3,-866.5,-451.5,,740.0,406.6,280.4,886.0,240.0,313.3,,,,,-212.7,-110.8,-443.0,,,1004.2,,True,,True,False,,,,,False,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,False,,,False
01005,129,100.0,,93.5,,101.0,75.0,,,,,141.8,94.4,,,,176.0,,134.8,45.1,,,55.5,101.9,115.2,144.0,144.0,175.2,,,,,,122.0,,,,110.6,-29.0,,-35.5,,-28.0,-54.0,,,,,12.8,-34.6,,,,47.0,,5.8,-83.9,,,-73.5,-27.1,-13.8,15.0,15.0,46.2,,,,,,-7.0,,,,-18.4,,False,,True,False,,,,,True,False,,,,False,,True,False,,,False,True,True,True,True,False,,,,,,True,,,,True
01007,322,268.0,,253.0,,258.0,148.0,,,,,263.0,333.0,,,,217.0,,118.6,108.9,,,309.0,281.7,269.1,355.0,285.0,264.4,,,,,,272.1,,,,359.8,-54.0,,-69.0,,-64.0,-174.0,,,,,-59.0,11.0,,,,-105.0,,-203.4,-213.1,,,-13.0,-40.3,-52.9,33.0,-37.0,-57.6,,,,,,-49.9,,,,37.8,,False,,False,False,,,,,False,True,,,,False,,False,False,,,True,True,True,True,True,False,,,,,,True,,,,True
01009,702,926.0,,924.0,,846.0,844.0,,,,,695.1,1010.7,,,,678.0,,1251.7,373.1,642.0,,1024.0,921.5,901.5,1227.0,868.0,774.8,,,,,815.3,824.6,,,,902.1,224.0,,222.0,,144.0,142.0,,,,,-6.9,308.7,,,,-24.0,,549.7,-328.9,-60.0,,322.0,219.5,199.5,525.0,166.0,72.8,,,,,113.3,122.6,,,,200.1,,True,,True,True,,,,,True,False,,,,True,,False,False,True,,False,True,True,False,True,True,,,,,True,True,,,,True
01011,100,24.0,,22.8,,27.0,0.0,,,,,74.6,27.3,,,,68.0,,26.7,23.5,,,19.0,36.8,45.0,11.0,64.0,93.7,,,,,,30.6,,,,23.5,-76.0,,-77.2,,-73.0,-100.0,,,,,-25.4,-72.7,,,,-32.0,,-73.3,-76.5,,,-81.0,-63.2,-55.0,-89.0,-36.0,-6.3,,,,,,-69.4,,,,-76.5,,False,,True,False,,,,,True,True,,,,True,,True,False,,,False,True,True,False,True,True,,,,,,True,,,,False
01013,150,162.0,,169.6,,165.0,14.0,,,,,217.1,192.3,,,,136.0,,235.7,95.8,,,183.0,191.3,197.6,144.0,193.0,160.6,,,,,,163.6,,,,167.6,12.0,,19.6,,15.0,-136.0,,,,,67.1,42.3,,,,-14.0,,85.7,-54.2,,,33.0,41.3,47.6,-6.0,43.0,10.6,,,,,,13.6,,,,17.6,,False,,False,False,,,,,False,False,,,,False,,False,False,,,False,False,False,True,False,True,,,,,,False,,,,False
01015,1438,1466.0,,1443.1,,1371.0,1400.0,,,,,1340.8,1697.3,,,,1296.0,,2080.1,730.6,1066.5,,1730.0,1485.5,1468.9,2070.0,1523.0,1316.9,,,,,1210.4,1409.5,,,,1396.1,28.0,,5.1,,-67.0,-38.0,,,,,-97.2,259.3,,,,-142.0,,642.1,-707.4,-371.5,,292.0,47.5,30.9,632.0,85.0,-121.1,,,,,-227.6,-28.5,,,,-41.9,,True,,False,False,,,,,False,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,,,,False
01017,206,192.0,,189.1,,214.0,261.0,,,,,267.7,231.9,,,,266.0,,165.0,130.7,201.5,,187.5,225.9,297.3,211.0,258.0,246.1,,,,,,198.8,,,,192.6,-14.0,,-16.9,,8.0,55.0,,,,,61.7,25.9,,,,60.0,,-41.0,-75.3,-4.5,,-18.5,19.9,91.3,5.0,52.0,40.1,,,,,,-7.2,,,,-13.4,,False,,True,False,,,,,False,False,,,,False,,False,False,True,,False,False,False,True,False,False,,,,,,True,,,,True
01019,181,194.0,,189.2,,201.0,167.0,,,,,185.1,260.4,,,,264.0,,139.8,98.6,,,230.0,212.9,203.3,262.0,241.0,272.9,,,,,,204.0,,,,155.8,13.0,,8.2,,20.0,-14.0,,,,,4.1,79.4,,,,83.0,,-41.2,-82.4,,,49.0,31.9,22.3,81.0,60.0,91.9,,,,,,23.0,,,,-25.2,,True,,False,False,,,,,True,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,False,,,,False
