,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,127615,80166.0,116691.1,99592.0,,25401.0,,90852.0,98011.2,74399.6,57779.2,95838.0,,36598.4,89644.2,33015.0,-47449.0,-10923.9,-28023.0,,-102214.0,,-36763.0,-29603.8,-53215.4,-69835.8,-31777.0,,-91016.6,-37970.8,-94600.0,True,True,,False,,True,True,False,False,True,,False,True,False
Alaska,22326,23082.0,23560.8,17092.0,,10161.0,,,36559.3,42540.9,12901.6,31795.0,,24776.3,17341.6,0.0,756.0,1234.8,-5234.0,,-12165.0,,,14233.3,20214.9,-9424.4,9469.0,,2450.3,-4984.4,-22326.0,False,False,,False,,,False,False,False,False,,False,False,False
Arizona,219988,94014.0,59209.9,130479.0,,6116.0,,83184.0,140900.5,156395.2,145793.5,155474.0,,37973.9,113134.2,72101.0,-125974.0,-160778.1,-89509.0,,-213872.0,,-136804.0,-79087.5,-63592.8,-74194.5,-64514.0,,-182014.1,-106853.8,-147887.0,False,True,,False,,False,True,True,True,True,,False,True,False
Arkansas,81803,68028.0,45422.9,67185.0,,27067.0,,85335.0,97388.8,167802.3,41661.0,78265.5,,34015.1,38879.1,26797.0,-13775.0,-36380.1,-14618.0,,-54736.0,,3532.0,15585.8,85999.3,-40142.0,-3537.5,,-47787.9,-42923.9,-55006.0,False,False,,False,,True,False,False,False,True,,False,False,False
California,1114620,322230.0,517200.2,483898.0,,31654.0,,320972.0,453507.0,698350.8,360387.1,521144.5,,144558.6,712364.4,334649.0,-792390.0,-597419.8,-630722.0,,-1082966.0,,-793648.0,-661113.0,-416269.2,-754232.9,-593475.5,,-970061.4,-402255.6,-779971.0,True,True,,False,,False,True,True,True,True,,False,True,True
Colorado,164385,187602.0,305568.8,209973.0,,797810.0,,145550.0,205919.4,266983.5,154297.2,403695.5,,121095.4,102900.6,81749.0,23217.0,141183.8,45588.0,,633425.0,,-18835.0,41534.4,102598.5,-10087.8,239310.5,,-43289.6,-61484.4,-82636.0,False,False,,False,,True,False,False,True,False,,False,False,False
Connecticut,84098,63120.0,55652.1,88643.0,,71965.0,,40763.0,86171.9,87662.5,95525.9,81418.0,,59712.3,32317.8,29107.0,-20978.0,-28445.9,4545.0,,-12133.0,,-43335.0,2073.9,3564.5,11427.9,-2680.0,,-24385.7,-51780.2,-54991.0,False,True,,True,,False,True,True,True,True,,False,False,False
Delaware,26078,12822.0,16320.2,19776.0,,5870.0,,15074.0,17374.8,26678.1,12882.4,18820.0,,6238.7,17531.3,8656.0,-13256.0,-9757.8,-6302.0,,-20208.0,,-11004.0,-8703.2,600.1,-13195.6,-7258.0,,-19839.3,-8546.7,-17422.0,True,True,,False,,True,True,True,True,True,,False,True,False
District of Columbia,8896,5538.0,4391.8,8675.0,,3277.0,,5741.0,8206.5,7618.5,8226.8,7128.5,,2957.3,9373.5,4096.0,-3358.0,-4504.2,-221.0,,-5619.0,,-3155.0,-689.5,-1277.5,-669.2,-1767.5,,-5938.7,477.5,-4800.0,False,True,,False,,True,True,True,True,True,,False,True,False
Florida,389492,228114.0,384743.2,231059.0,,32427.0,,189482.0,336300.6,227004.7,321429.7,285665.5,,94889.7,289547.6,96740.0,-161378.0,-4748.8,-158433.0,,-357065.0,,-200010.0,-53191.4,-162487.3,-68062.3,-103826.5,,-294602.3,-99944.4,-292752.0,True,True,,False,,False,True,False,True,True,,False,True,False
Georgia,205883,107208.0,35067.7,133408.0,,34732.0,,86596.0,208084.0,49963.5,97445.7,119250.0,,33152.6,10585.5,59016.0,-98675.0,-170815.3,-72475.0,,-171151.0,,-119287.0,2201.0,-155919.5,-108437.3,-86633.0,,-172730.4,-195297.5,-146867.0,False,True,,False,,False,True,False,False,True,,False,False,False
Hawaii,4497,4248.0,1214.6,2545.0,,1337.0,,,6355.0,4188.0,14015.4,4115.5,,1723.1,1975.1,2177.0,-249.0,-3282.4,-1952.0,,-3160.0,,,1858.0,-309.0,9518.4,-381.5,,-2773.9,-2521.9,-2320.0,False,False,,False,,,False,False,False,False,,False,False,False
Idaho,54470,54030.0,74417.9,50846.0,,19987.0,,57121.0,85807.6,82300.0,29731.8,63257.0,,24016.0,24554.3,18426.0,-440.0,19947.9,-3624.0,,-34483.0,,2651.0,31337.6,27830.0,-24738.2,8787.0,,-30454.0,-29915.7,-36044.0,False,False,,False,,False,False,False,False,False,,False,False,False
Illinois,371157,510042.0,857706.0,450160.0,,594874.0,,433420.0,666434.1,1358512.5,378082.7,843261.5,,204549.4,231540.6,184996.0,138885.0,486549.0,79003.0,,223717.0,,62263.0,295277.1,987355.5,6925.7,472104.5,,-166607.6,-139616.4,-186161.0,False,True,,False,,True,False,False,True,False,,False,False,False
Indiana,247134,234990.0,322057.5,276027.0,,745675.0,,263565.0,296516.1,581598.0,194675.1,427222.0,,191506.9,174262.1,265772.0,-12144.0,74923.5,28893.0,,498541.0,,16431.0,49382.1,334464.0,-52458.9,180088.0,,-55627.1,-72871.9,18638.0,False,False,,False,,False,False,False,False,False,,False,False,False
Iowa,91238,199806.0,317375.3,190435.0,,295531.0,,189723.0,213063.7,554234.8,109749.1,303032.0,,107045.8,46765.7,173109.0,108568.0,226137.3,99197.0,,204293.0,,98485.0,121825.7,462996.8,18511.1,211794.0,,15807.8,-44472.3,81871.0,False,True,,False,,True,False,False,True,False,,True,True,True
Kansas,95360,106506.0,159715.1,115991.0,,47134.0,,111317.0,118401.8,113954.4,63695.5,84407.5,,65047.9,33724.7,28765.0,11146.0,64355.1,20631.0,,-48226.0,,15957.0,23041.8,18594.4,-31664.5,-10952.5,,-30312.1,-61635.3,-66595.0,False,False,,False,,False,False,False,False,True,,False,False,False
Kentucky,119425,98856.0,175478.5,119762.0,,45701.0,,83937.0,142919.0,151756.1,74680.7,117158.5,,88384.6,71241.7,95965.0,-20569.0,56053.5,337.0,,-73724.0,,-35488.0,23494.0,32331.1,-44744.3,-2266.5,,-31040.4,-48183.3,-23460.0,False,True,,False,,False,False,False,False,True,,False,False,False
Louisiana,94518,61596.0,71353.3,68559.0,,7680.0,,51649.0,39573.5,274525.7,52487.3,33859.0,,35251.7,40720.6,45680.0,-32922.0,-23164.7,-25959.0,,-86838.0,,-42869.0,-54944.5,180007.7,-42030.7,-60659.0,,-59266.3,-53797.4,-48838.0,True,True,,False,,False,False,False,False,False,,False,False,False
Maine,12756,7146.0,11465.7,15550.0,,92477.0,,8134.0,7545.2,96181.7,14424.4,8060.5,,4139.5,10960.5,5937.0,-5610.0,-1290.3,2794.0,,79721.0,,-4622.0,-5210.8,83425.7,1668.4,-4695.5,,-8616.5,-1795.5,-6819.0,True,True,,False,,True,True,False,True,True,,False,True,False
Maryland,101350,67050.0,151781.3,96668.0,,55615.0,,59832.0,105640.3,182964.7,87106.3,103663.0,,33919.6,97638.4,48519.0,-34300.0,50431.3,-4682.0,,-45735.0,,-41518.0,4290.3,81614.7,-14243.7,2313.0,,-67430.4,-3711.6,-52831.0,False,True,,False,,False,True,False,True,True,,False,True,False
Massachusetts,163460,99396.0,109556.6,123873.0,,54669.0,,112310.0,133050.4,272035.3,146508.8,145186.5,,74484.6,146553.2,67513.0,-64064.0,-53903.4,-39587.0,,-108791.0,,-51150.0,-30409.6,108575.3,-16951.2,-18273.5,,-88975.4,-16906.8,-95947.0,True,True,,False,,True,True,False,True,True,,False,True,False
Michigan,240534,280314.0,519970.6,331526.0,,958735.0,,309615.0,346130.6,624857.0,355421.8,451406.5,,206762.0,162289.5,332556.0,39780.0,279436.6,90992.0,,718201.0,,69081.0,105596.6,384323.0,114887.8,210872.5,,-33772.0,-78244.5,92022.0,False,False,,False,,False,False,False,False,False,,True,False,False
Minnesota,190517,246444.0,542025.0,277861.0,,438647.0,,378091.0,262517.4,813524.5,165098.4,550037.5,,116701.4,178051.6,103483.0,55927.0,351508.0,87344.0,,248130.0,,187574.0,72000.4,623007.5,-25418.6,359520.5,,-73815.6,-12465.4,-87034.0,False,False,,False,,False,False,False,True,False,,False,True,False
Mississippi,71683,44730.0,48647.5,38085.0,,13012.0,,49478.0,67583.4,82015.3,33685.4,53687.5,,34849.9,40381.9,25355.0,-26953.0,-23035.5,-33598.0,,-58671.0,,-22205.0,-4099.6,10332.3,-37997.6,-17995.5,,-36833.1,-31301.1,-46328.0,True,False,,False,,True,True,True,False,True,,False,False,False
Missouri,168012,208926.0,397446.2,218824.0,,74341.0,,184237.0,270932.3,482766.1,103132.9,218122.5,,125674.9,97117.2,39129.0,40914.0,229434.2,50812.0,,-93671.0,,16225.0,102920.3,314754.1,-64879.1,50110.5,,-42337.1,-70894.8,-128883.0,False,False,,False,,True,False,False,False,False,,False,False,False
Montana,33547,41628.0,33821.2,34542.0,,29567.0,,46668.0,64841.4,43885.2,18698.8,48872.0,,15162.5,33253.1,10963.0,8081.0,274.2,995.0,,-3980.0,,13121.0,31294.4,10338.2,-14848.2,15325.0,,-18384.5,-293.9,-22584.0,True,True,,True,,False,False,False,False,False,,False,True,False
Nebraska,64503,86634.0,213197.6,67603.0,,95914.0,,96219.0,121147.3,197079.1,51952.7,123270.0,,78162.2,28197.6,23344.0,22131.0,148694.6,3100.0,,31411.0,,31716.0,56644.3,132576.1,-12550.3,58767.0,,13659.2,-36305.4,-41159.0,False,True,,False,,False,False,False,True,False,,True,False,False
Nevada,96647,61560.0,75082.1,72314.0,,13091.0,,53317.0,88810.0,121473.4,66106.0,87227.0,,24712.8,45081.9,36365.0,-35087.0,-21564.9,-24333.0,,-83556.0,,-43330.0,-7837.0,24826.4,-30541.0,-9420.0,,-71934.2,-51565.1,-60282.0,True,True,,False,,False,True,True,True,True,,False,False,False
New Hampshire,26919,12480.0,44091.4,20949.0,,11886.0,,13864.0,11595.3,45582.3,15749.4,23182.5,,9256.9,29274.4,11726.0,-14439.0,17172.4,-5970.0,,-15033.0,,-13055.0,-15323.7,18663.3,-11169.6,-3736.5,,-17662.1,2355.4,-15193.0,False,True,,False,,True,False,False,True,True,,False,True,False
New Jersey,211494,132924.0,204185.0,175463.0,,119146.0,,109336.0,188181.1,178018.0,227903.6,229788.0,,95352.0,158563.2,86567.0,-78570.0,-7309.0,-36031.0,,-92348.0,,-102158.0,-23312.9,-33476.0,16409.6,18294.0,,-116142.0,-52930.8,-124927.0,True,True,,False,,False,True,True,True,True,,False,True,False
New Mexico,74055,57000.0,54494.6,59800.0,,16094.0,,57546.0,97415.6,187665.1,51083.0,77967.5,,43646.8,30365.5,25166.0,-17055.0,-19560.4,-14255.0,,-57961.0,,-16509.0,23360.6,113610.1,-22972.0,3912.5,,-30408.2,-43689.5,-48889.0,False,True,,False,,True,False,False,False,True,,False,False,False
New York,362093,185658.0,144538.4,285778.0,,68568.0,,156519.0,197051.2,816057.9,408936.5,296958.5,,132062.1,242215.9,151239.0,-176435.0,-217554.6,-76315.0,,-293525.0,,-205574.0,-165041.8,453964.9,46843.5,-65134.5,,-230030.9,-119877.1,-210854.0,False,True,,False,,False,True,False,True,True,,False,True,False
North Carolina,204812,107238.0,79816.1,111972.0,,56557.0,,112316.0,148094.6,128609.6,150864.4,120275.0,,133565.2,112674.1,66245.0,-97574.0,-124995.9,-92840.0,,-148255.0,,-92496.0,-56717.4,-76202.4,-53947.6,-84537.0,,-71246.8,-92137.9,-138567.0,False,True,,False,,True,True,True,True,True,,True,True,False
North Dakota,28482,58008.0,44862.9,41502.0,,52302.0,,61310.0,98669.7,35955.7,20735.3,55310.0,,42529.8,17989.5,28709.0,29526.0,16380.9,13020.0,,23820.0,,32828.0,70187.7,7473.7,-7746.7,26828.0,,14047.8,-10492.5,227.0,True,True,,True,,False,False,True,True,True,,True,True,True
Ohio,374425,267096.0,444579.1,343257.0,,67591.0,,312566.0,299696.5,921585.3,302132.1,573283.5,,107326.3,329900.0,146629.0,-107329.0,70154.1,-31168.0,,-306834.0,,-61859.0,-74728.5,547160.3,-72292.9,198858.5,,-267098.7,-44525.0,-227796.0,True,True,,False,,True,True,False,True,False,,False,True,False
Oklahoma,126303,110724.0,167466.9,154052.0,,39770.0,,139671.0,116341.2,350287.0,53434.7,155535.0,,46401.2,110913.9,42901.0,-15579.0,41163.9,27749.0,,-86533.0,,13368.0,-9961.8,223984.0,-72868.3,29232.0,,-79901.8,-15389.1,-83402.0,False,False,,False,,True,True,False,False,False,,False,True,False
Oregon,52308,38586.0,50906.7,47408.0,,16720.0,,37701.0,52667.7,173439.5,51441.9,56232.0,,16141.1,61488.0,31389.0,-13722.0,-1401.3,-4900.0,,-35588.0,,-14607.0,359.7,121131.5,-866.1,3924.0,,-36166.9,9180.0,-20919.0,True,True,,False,,False,True,False,True,True,,False,True,False
