,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,OneQuietNight-ML,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-OneQuietNight-ML,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1402,810.0,841.0,,,,,811.0,,1025.5,534.4,,980.0,1319.0,,,440.8,,,-592.0,-561.0,,,,,-591.0,,-376.5,-867.6,,-422.0,-83.0,,,-961.2,,,True,,,,,True,,True,False,,True,True,,,False,,
01003,4577,2675.0,4444.0,,,,,2125.0,,3065.2,1808.6,,3896.0,4471.0,,,1375.5,,,-1902.0,-133.0,,,,,-2452.0,,-1511.8,-2768.4,,-681.0,-106.0,,,-3201.5,,,True,,,,,False,,True,False,,True,True,,,False,,
01005,241,170.0,107.0,,,,,304.0,,34.8,137.1,,139.0,443.0,,,101.4,,,-71.0,-134.0,,,,,63.0,,-206.2,-103.9,,-102.0,202.0,,,-139.6,,,False,,,,,True,,False,False,,False,False,,,False,,
01007,703,290.0,251.0,,,,,364.0,,115.0,210.8,,451.0,522.0,,,,,,-413.0,-452.0,,,,,-339.0,,-588.0,-492.2,,-252.0,-181.0,,,,,,False,,,,,True,,False,False,,True,True,,,,,
01009,1711,1085.0,1474.0,,,,,1012.0,,1179.9,618.8,,1054.0,1576.0,,,372.9,,,-626.0,-237.0,,,,,-699.0,,-531.1,-1092.2,,-657.0,-135.0,,,-1338.1,,,True,,,,,False,,True,False,,False,True,,,False,,
01011,138,65.0,0.0,,,,,126.0,,25.0,48.5,,43.0,180.0,,,,,,-73.0,-138.0,,,,,-12.0,,-113.0,-89.5,,-95.0,42.0,,,,,,False,,,,,True,,False,False,,False,True,,,,,
01013,324,285.0,9.0,,,,,235.0,,389.9,143.3,,288.0,492.0,,,159.4,,,-39.0,-315.0,,,,,-89.0,,65.9,-180.7,,-36.0,168.0,,,-164.6,,,False,,,,,False,,False,False,,True,False,,,False,,
01015,3274,2270.0,6838.0,,,,,1880.0,,5365.1,1331.8,,1960.5,3374.0,,,1328.2,,,-1004.0,3564.0,,,,,-1394.0,,2091.1,-1942.2,,-1313.5,100.0,,,-1945.8,,,False,,,,,False,,False,False,,False,True,,,False,,
01017,534,565.0,622.0,,,,,421.0,,1192.6,309.8,,891.5,957.0,,,265.8,,,31.0,88.0,,,,,-113.0,,658.6,-224.2,,357.5,423.0,,,-268.2,,,False,,,,,False,,False,False,,False,False,,,False,,
01019,389,405.0,365.0,,,,,439.0,,427.4,224.1,,365.0,708.0,,,,,,16.0,-24.0,,,,,50.0,,38.4,-164.9,,-24.0,319.0,,,,,,False,,,,,False,,False,False,,False,False,,,,,
01021,668,380.0,205.0,,,,,671.0,,248.0,272.1,,393.0,759.0,,,259.5,,,-288.0,-463.0,,,,,3.0,,-420.0,-395.9,,-275.0,91.0,,,-408.5,,,False,,,,,True,,False,False,,True,True,,,False,,
01023,70,30.0,0.0,,,,,153.0,,3.5,43.1,,35.0,174.0,,,,,,-40.0,-70.0,,,,,83.0,,-66.5,-26.9,,-35.0,104.0,,,,,,False,,,,,False,,False,True,,True,False,,,,,
01025,737,260.0,184.0,,,,,333.0,,79.3,222.8,,186.0,490.0,,,192.3,,,-477.0,-553.0,,,,,-404.0,,-657.7,-514.2,,-551.0,-247.0,,,-544.7,,,False,,,,,True,,False,False,,False,True,,,False,,
01027,220,190.0,122.0,,,,,218.0,,90.5,75.0,,199.0,330.0,,,,,,-30.0,-98.0,,,,,-2.0,,-129.5,-145.0,,-21.0,110.0,,,,,,False,,,,,True,,False,False,,True,False,,,,,
01029,253,405.0,100.0,,,,,261.0,,473.0,104.3,,404.5,494.0,,,,,,152.0,-153.0,,,,,8.0,,220.0,-148.7,,151.5,241.0,,,,,,False,,,,,True,,False,True,,True,False,,,,,
01031,1113,630.0,797.0,,,,,682.0,,889.9,448.2,,718.0,1375.0,,,333.6,,,-483.0,-316.0,,,,,-431.0,,-223.1,-664.8,,-395.0,262.0,,,-779.4,,,True,,,,,True,,True,False,,True,True,,,False,,
01033,1478,1080.0,1190.0,,,,,1385.0,,1002.2,774.3,,1136.0,1924.0,,,448.6,,,-398.0,-288.0,,,,,-93.0,,-475.8,-703.7,,-342.0,446.0,,,-1029.4,,,True,,,,,True,,False,False,,True,False,,,False,,
01035,158,145.0,61.0,,,,,143.0,,81.5,81.2,,125.0,276.0,,,,,,-13.0,-97.0,,,,,-15.0,,-76.5,-76.8,,-33.0,118.0,,,,,,False,,,,,False,,False,False,,False,False,,,,,
01037,173,185.0,192.0,,,,,120.0,,2758.5,64.4,,171.5,321.0,,,,,,12.0,19.0,,,,,-53.0,,2585.5,-108.6,,-1.5,148.0,,,,,,False,,,,,False,,False,False,,True,False,,,,,
01039,677,470.0,269.0,,,,,564.0,,130.0,357.0,,394.0,891.0,,,218.9,,,-207.0,-408.0,,,,,-113.0,,-547.0,-320.0,,-283.0,214.0,,,-458.1,,,False,,,,,True,,False,False,,False,False,,,False,,
01041,199,145.0,53.0,,,,,178.0,,41.8,98.3,,112.0,303.0,,,,,,-54.0,-146.0,,,,,-21.0,,-157.2,-100.7,,-87.0,104.0,,,,,,False,,,,,True,,False,False,,False,False,,,,,
01043,2660,2070.0,1827.0,,,,,1821.0,,2195.4,1460.8,,1875.0,3023.0,,,622.3,,,-590.0,-833.0,,,,,-839.0,,-464.6,-1199.2,,-785.0,363.0,,,-2037.7,,,False,,,,,False,,True,False,,False,True,,,False,,
01045,920,425.0,521.0,,,,,702.0,,381.1,446.2,,470.0,1155.0,,,345.9,,,-495.0,-399.0,,,,,-218.0,,-538.9,-473.8,,-450.0,235.0,,,-574.1,,,True,,,,,True,,False,True,,True,True,,,False,,
01047,502,665.0,234.0,,,,,447.0,,387.5,395.6,,1212.0,1019.0,,,316.4,,,163.0,-268.0,,,,,-55.0,,-114.5,-106.4,,710.0,517.0,,,-185.6,,,False,,,,,True,,True,True,,False,False,,,False,,
01049,2133,2010.0,2992.0,,,,,1368.0,,2520.9,1107.5,,2566.0,2868.0,,,1066.9,,,-123.0,859.0,,,,,-765.0,,387.9,-1025.5,,433.0,735.0,,,-1066.1,,,False,,,,,False,,False,False,,False,False,,,False,,
01051,2056,1305.0,1819.0,,,,,970.0,,2741.5,793.0,,1413.0,2038.0,,,917.9,,,-751.0,-237.0,,,,,-1086.0,,685.5,-1263.0,,-643.0,-18.0,,,-1138.1,,,True,,,,,False,,True,False,,True,True,,,False,,
01053,579,355.0,56.0,,,,,559.0,,373.0,212.9,,260.0,823.0,,,163.5,,,-224.0,-523.0,,,,,-20.0,,-206.0,-366.1,,-319.0,244.0,,,-415.5,,,False,,,,,True,,True,False,,False,False,,,False,,
01055,3819,2550.0,3362.0,,,,,1884.0,,4923.1,1494.4,,3196.5,3639.0,,,1102.6,,,-1269.0,-457.0,,,,,-1935.0,,1104.1,-2324.6,,-622.5,-180.0,,,-2716.4,,,True,,,,,False,,True,False,,True,True,,,False,,
01057,563,455.0,250.0,,,,,344.0,,373.9,189.1,,639.0,593.0,,,,,,-108.0,-313.0,,,,,-219.0,,-189.1,-373.9,,76.0,30.0,,,,,,False,,,,,False,,False,False,,True,True,,,,,
01059,715,500.0,183.0,,,,,845.0,,155.9,401.7,,385.0,892.0,,,286.9,,,-215.0,-532.0,,,,,130.0,,-559.1,-313.3,,-330.0,177.0,,,-428.1,,,False,,,,,True,,False,False,,False,True,,,False,,
