,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,8043245.2,9126969,-1083723.8,-11.9%
BPagano-RtDriven,7016801.0,9126969,-2110168.0,-23.1%
UCLA-SuEIR,6896718.1,9126969,-2230250.9,-24.4%
JHUAPL-Bucky,6622294.4,9126969,-2504674.6,-27.4%
IBF-TimeSeries,5665952.0,9126969,-3461017.0,-37.9%
COVIDhub-baseline,5090078.0,9126969,-4036891.0,-44.2%
CovidAnalytics-DELPHI,4377640.0,9126969,-4749329.0,-52.0%
JCB-PRM,4228485.4,9126969,-4898483.6,-53.7%
IowaStateLW-STEM,4210469.0,9126969,-4916500.0,-53.9%
USC-SI_kJalpha,3817920.5,9126969,-5309048.5,-58.2%
Columbia_UNC-SurvCon,16972489.0,9126969,7845520.0,86.0%
