,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,OneQuietNight-ML,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-OneQuietNight-ML,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,112750,74325.0,97757.0,,71928.7,80809.0,,70474.0,114488.0,120503.1,50516.2,84620.6,82963.0,118003.0,,,58847.2,55856.3,73442.0,-38425.0,-14993.0,,-40821.3,-31941.0,,-42276.0,1738.0,7753.1,-62233.8,-28129.4,-29787.0,5253.0,,,-53902.8,-56893.7,-39308.0,True,,False,True,,False,True,True,False,True,True,True,,,False,False,False
Alaska,18255,20355.0,15887.0,,20871.4,21750.0,,,33280.4,32598.7,9437.6,42927.3,17983.0,30861.0,,,15446.9,9768.4,20422.0,2100.0,-2368.0,,2616.4,3495.0,,,15025.4,14343.7,-8817.4,24672.3,-272.0,12606.0,,,-2808.1,-8486.6,2167.0,False,,False,False,,,False,False,False,False,True,False,,,False,False,False
Arizona,197707,111405.0,123510.0,,99975.8,326030.0,,134915.0,136917.2,150794.3,136129.3,223081.7,183759.0,162133.0,,,117913.2,111354.2,141353.0,-86302.0,-74197.0,,-97731.2,128323.0,,-62792.0,-60789.8,-46912.7,-61577.7,25374.7,-13948.0,-35574.0,,,-79793.8,-86352.8,-56354.0,True,,False,False,,True,True,True,True,True,True,True,,,True,False,True
Arkansas,70148,58275.0,47892.0,,56643.6,37573.0,,80545.0,94560.3,76461.1,34679.5,115514.8,70209.5,102484.0,,,73112.8,34514.4,48495.0,-11873.0,-22256.0,,-13504.4,-32575.0,,10397.0,24412.3,6313.1,-35468.5,45366.8,61.5,32336.0,,,2964.8,-35633.6,-21653.0,False,,False,False,,True,False,True,False,False,True,False,,,True,False,False
California,1015175,411840.0,585842.0,,443884.6,656707.0,,360596.0,498498.7,1113585.2,399463.3,1143581.5,691499.0,612275.0,,,473086.3,493253.9,487364.0,-603335.0,-429333.0,,-571290.4,-358468.0,,-654579.0,-516676.3,98410.2,-615711.7,128406.5,-323676.0,-402900.0,,,-542088.7,-521921.1,-527811.0,True,,True,True,,False,True,True,False,True,True,True,,,True,True,True
Colorado,128940,177225.0,155477.0,,148311.4,283284.0,,183060.0,259849.5,295391.5,134258.0,504297.6,185565.5,247829.0,,,229309.0,85432.2,145610.0,48285.0,26537.0,,19371.4,154344.0,,54120.0,130909.5,166451.5,5318.0,375357.6,56625.5,118889.0,,,100369.0,-43507.8,16670.0,True,,True,False,,False,False,False,True,False,False,False,,,False,True,True
Connecticut,71274,64120.0,61668.0,,66507.6,126415.0,,68188.0,89324.4,139790.2,94410.8,152461.5,103375.0,95383.0,,,134317.4,23911.3,57810.0,-7154.0,-9606.0,,-4766.4,55141.0,,-3086.0,18050.4,68516.2,23136.8,81187.5,32101.0,24109.0,,,63043.4,-47362.7,-13464.0,False,,True,False,,True,False,False,False,False,False,False,,,False,False,False
Delaware,23152,14630.0,17933.0,,13361.8,23016.0,,15436.0,17817.0,21651.1,13099.6,44708.5,22786.5,23645.0,,,16574.6,17286.5,17806.0,-8522.0,-5219.0,,-9790.2,-136.0,,-7716.0,-5335.0,-1500.9,-10052.4,21556.5,-365.5,493.0,,,-6577.4,-5865.5,-5346.0,True,,False,True,,True,True,True,False,False,True,True,,,True,True,True
District of Columbia,7749,5735.0,5295.0,,5865.5,8420.0,,6796.0,8158.8,13302.5,6846.1,11238.6,7804.0,3436.0,,,4443.8,6436.6,7434.0,-2014.0,-2454.0,,-1883.5,671.0,,-953.0,409.8,5553.5,-902.9,3489.6,55.0,-4313.0,,,-3305.2,-1312.4,-315.0,False,,True,True,,True,True,False,True,False,True,False,,,False,True,True
Florida,332761,283655.0,409512.0,,247045.0,544298.0,,247522.0,350133.5,332491.3,334183.0,491738.1,328728.0,466147.0,,,275620.8,236098.0,284001.0,-49106.0,76751.0,,-85716.0,211537.0,,-85239.0,17372.5,-269.7,1422.0,158977.1,-4033.0,133386.0,,,-57140.2,-96663.0,-48760.0,False,,False,False,,False,True,True,True,False,True,False,,,False,False,True
Georgia,181984,119495.0,155152.0,,88863.2,262640.0,,106224.0,155289.1,44251.0,84439.0,273688.8,137812.5,171260.0,,,86314.5,90908.6,137099.0,-62489.0,-26832.0,,-93120.8,80656.0,,-75760.0,-26694.9,-137733.0,-97545.0,91704.8,-44171.5,-10724.0,,,-95669.5,-91075.4,-44885.0,True,,False,False,,False,True,False,False,False,True,True,,,False,False,True
