,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01027,147,111.0,,113.6,,111.0,78.0,,,,,93.9,,,146.0,,110.5,,44.8,,,130.0,143.8,,,103.0,194.0,15.5,,,,,,,,,51.4,-36.0,,-33.4,,-36.0,-69.0,,,,,-53.1,,,-1.0,,-36.5,,-102.2,,,-17.0,-3.2,,,-44.0,47.0,-131.5,,,,,,,,,-95.6,,True,,False,False,,,,,False,,,True,,False,,False,,,True,True,,,False,False,False,,,,,,,,,False
01029,174,141.0,,98.9,,108.0,24.0,,,,,110.5,,,179.0,,96.5,,48.7,,,122.0,147.7,,,111.0,220.0,10.4,,,,,,,,,71.8,-33.0,,-75.1,,-66.0,-150.0,,,,,-63.5,,,5.0,,-77.5,,-125.3,,,-52.0,-26.3,,,-63.0,46.0,-163.6,,,,,,,,,-102.2,,False,,False,False,,,,,False,,,True,,False,,False,,,False,True,,,False,False,False,,,,,,,,,False
01031,757,549.0,,567.6,,475.0,697.0,,,,,406.7,,,434.0,,426.1,,384.3,450.5,,530.0,598.0,,,684.0,799.0,88.1,,,,,429.6,,,,156.4,-208.0,,-189.4,,-282.0,-60.0,,,,,-350.3,,,-323.0,,-330.9,,-372.7,-306.5,,-227.0,-159.0,,,-73.0,42.0,-668.9,,,,,-327.4,,,,-600.6,,True,,False,True,,,,,False,,,False,,False,,False,False,,False,True,,,True,True,False,,,,,False,,,,False
01033,885,1191.0,,1216.0,,925.0,931.0,,,,,691.0,,,940.0,,1344.0,,543.0,669.5,,994.5,858.5,,,1527.0,1298.0,26.2,,,,,754.7,,,,847.1,306.0,,331.0,,40.0,46.0,,,,,-194.0,,,55.0,,459.0,,-342.0,-215.5,,109.5,-26.5,,,642.0,413.0,-858.8,,,,,-130.3,,,,-37.9,,False,,True,True,,,,,True,,,True,,False,,False,True,,True,True,,,False,False,False,,,,,True,,,,True
01035,91,153.0,,159.4,,112.0,91.0,,,,,62.6,,,102.0,,175.0,,47.9,,,37.0,114.3,,,188.0,196.0,7.8,,,,,,,,,106.7,62.0,,68.4,,21.0,0.0,,,,,-28.4,,,11.0,,84.0,,-43.1,,,-54.0,23.3,,,97.0,105.0,-83.2,,,,,,,,,15.7,,False,,True,True,,,,,True,,,True,,False,,True,,,True,True,,,False,False,False,,,,,,,,,True
01037,84,147.0,,142.2,,141.0,201.0,,,,,85.2,,,82.0,,150.2,,35.4,,,191.0,125.7,,,202.0,184.0,6.8,,,,,,,,,119.3,63.0,,58.2,,57.0,117.0,,,,,1.2,,,-2.0,,66.2,,-48.6,,,107.0,41.7,,,118.0,100.0,-77.2,,,,,,,,,35.3,,True,,True,False,,,,,True,,,True,,False,,True,,,False,True,,,False,False,False,,,,,,,,,True
01039,435,507.0,,536.0,,318.0,226.0,,,,,317.9,,,356.0,,748.2,,198.1,270.5,,256.0,441.5,,,665.0,645.0,20.3,,,,,379.5,,,,265.9,72.0,,101.0,,-117.0,-209.0,,,,,-117.1,,,-79.0,,313.2,,-236.9,-164.5,,-179.0,6.5,,,230.0,210.0,-414.7,,,,,-55.5,,,,-169.1,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,True,,,False,False,False,,,,,True,,,,False
01041,158,90.0,,106.0,,86.0,42.0,,,,,69.7,,,108.0,,54.9,,40.8,,,82.0,108.9,,,99.0,186.0,9.5,,,,,,,,,77.6,-68.0,,-52.0,,-72.0,-116.0,,,,,-88.3,,,-50.0,,-103.1,,-117.2,,,-76.0,-49.1,,,-59.0,28.0,-148.5,,,,,,,,,-80.4,,True,,False,False,,,,,False,,,True,,False,,False,,,False,True,,,True,True,False,,,,,,,,,False
01043,1740,1773.0,,1857.7,,1361.0,1126.0,,,,,1166.6,,,1361.0,,1339.3,,770.8,1209.0,,2073.0,1562.3,,,2070.0,1947.0,52.8,,,,,1469.7,,,,403.7,33.0,,117.7,,-379.0,-614.0,,,,,-573.4,,,-379.0,,-400.7,,-969.2,-531.0,,333.0,-177.7,,,330.0,207.0,-1687.2,,,,,-270.3,,,,-1336.3,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,,,,False
01045,652,552.0,,562.3,,429.0,325.0,,,,,384.5,,,443.0,,436.0,,242.6,315.0,,777.0,573.2,,,728.0,763.0,37.8,,,,,387.1,,,,188.2,-100.0,,-89.7,,-223.0,-327.0,,,,,-267.5,,,-209.0,,-216.0,,-409.4,-337.0,,125.0,-78.8,,,76.0,111.0,-614.2,,,,,-264.9,,,,-463.8,,True,,False,False,,,,,False,,,False,,False,,False,False,,False,True,,,True,False,False,,,,,False,,,,False
