,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1564,1008.0,,1301.0,,,,442.0,,1392.0,635.5,1388.0,,602.2,,,-556.0,,-263.0,,,,-1122.0,,-172.0,-928.5,-176.0,,-961.8,,,,True,,,,False,,True,False,True,,False,,
01003,5112,2448.0,,3158.0,,,,1377.0,,1892.5,1841.9,2905.5,,1357.1,,,-2664.0,,-1954.0,,,,-3735.0,,-3219.5,-3270.1,-2206.5,,-3754.9,,,,True,,,,False,,False,False,True,,False,,
01005,275,186.0,,230.0,,,,197.0,,67.6,183.5,194.0,,148.2,,,-89.0,,-45.0,,,,-78.0,,-207.4,-91.5,-81.0,,-126.8,,,,True,,,,True,,False,False,True,,False,,
01007,761,324.0,,314.0,,,,221.0,,336.1,269.1,439.0,,,,,-437.0,,-447.0,,,,-540.0,,-424.9,-491.9,-322.0,,,,,,False,,,,False,,True,False,True,,,,
01009,1928,1392.0,,1742.0,,,,701.0,,719.8,837.5,1989.5,,526.3,,,-536.0,,-186.0,,,,-1227.0,,-1208.2,-1090.5,61.5,,-1401.7,,,,True,,,,False,,False,False,True,,False,,
01011,151,72.0,,0.0,,,,96.0,,13.2,69.4,49.0,,,,,-79.0,,-151.0,,,,-55.0,,-137.8,-81.6,-102.0,,,,,,False,,,,True,,False,False,False,,,,
01013,381,174.0,,84.0,,,,141.0,,103.8,144.9,267.0,,79.8,,,-207.0,,-297.0,,,,-240.0,,-277.2,-236.1,-114.0,,-301.2,,,,False,,,,False,,False,False,True,,False,,
01015,3728,1902.0,,1919.0,,,,1422.0,,584.8,1477.3,2834.0,,1150.1,,,-1826.0,,-1809.0,,,,-2306.0,,-3143.2,-2250.7,-894.0,,-2577.9,,,,True,,,,False,,False,False,True,,False,,
01017,647,438.0,,508.0,,,,289.0,,62.9,363.4,625.0,,340.1,,,-209.0,,-139.0,,,,-358.0,,-584.1,-283.6,-22.0,,-306.9,,,,True,,,,False,,False,False,True,,False,,
01019,470,372.0,,421.0,,,,313.0,,54.2,221.0,489.0,,,,,-98.0,,-49.0,,,,-157.0,,-415.8,-249.0,19.0,,,,,,True,,,,False,,False,False,True,,,,
01021,744,402.0,,348.0,,,,406.0,,167.4,308.5,367.5,,338.0,,,-342.0,,-396.0,,,,-338.0,,-576.6,-435.5,-376.5,,-406.0,,,,False,,,,True,,False,False,False,,False,,
01023,76,18.0,,0.0,,,,91.0,,25.4,50.8,12.0,,,,,-58.0,,-76.0,,,,15.0,,-50.6,-25.2,-64.0,,,,,,False,,,,True,,True,True,False,,,,
01025,789,360.0,,256.0,,,,203.0,,125.1,238.5,369.0,,268.0,,,-429.0,,-533.0,,,,-586.0,,-663.9,-550.5,-420.0,,-521.0,,,,False,,,,False,,False,False,True,,False,,
01027,258,198.0,,164.0,,,,139.0,,28.1,78.9,208.0,,,,,-60.0,,-94.0,,,,-119.0,,-229.9,-179.1,-50.0,,,,,,False,,,,False,,False,False,True,,,,
01029,334,222.0,,112.0,,,,181.0,,82.3,107.9,172.0,,,,,-112.0,,-222.0,,,,-153.0,,-251.7,-226.1,-162.0,,,,,,False,,,,False,,False,False,False,,,,
01031,1239,1110.0,,967.0,,,,387.0,,1531.8,814.1,1662.0,,728.3,,,-129.0,,-272.0,,,,-852.0,,292.8,-424.9,423.0,,-510.7,,,,False,,,,False,,False,False,False,,False,,
01033,1694,1542.0,,1752.0,,,,956.0,,362.9,968.3,2031.0,,467.4,,,-152.0,,58.0,,,,-738.0,,-1331.1,-725.7,337.0,,-1226.6,,,,True,,,,False,,False,False,False,,False,,
01035,187,210.0,,75.0,,,,88.0,,583.3,75.0,266.0,,,,,23.0,,-112.0,,,,-99.0,,396.3,-112.0,79.0,,,,,,False,,,,False,,False,False,False,,,,
01037,210,192.0,,130.0,,,,82.0,,75.0,67.4,221.0,,,,,-18.0,,-80.0,,,,-128.0,,-135.0,-142.6,11.0,,,,,,False,,,,False,,False,False,True,,,,
01039,771,486.0,,383.0,,,,317.0,,85.9,359.2,470.0,,287.8,,,-285.0,,-388.0,,,,-454.0,,-685.1,-411.8,-301.0,,-483.2,,,,False,,,,False,,False,False,False,,False,,
01041,228,180.0,,87.0,,,,95.0,,389.9,84.7,204.0,,,,,-48.0,,-141.0,,,,-133.0,,161.9,-143.3,-24.0,,,,,,False,,,,False,,False,False,True,,,,
01043,3074,3066.0,,3506.0,,,,1281.0,,2458.6,1816.8,3586.0,,1342.3,,,-8.0,,432.0,,,,-1793.0,,-615.4,-1257.2,512.0,,-1731.7,,,,False,,,,False,,False,False,False,,False,,
01045,1005,780.0,,1057.0,,,,400.0,,205.3,702.1,952.0,,375.3,,,-225.0,,52.0,,,,-605.0,,-799.7,-302.9,-53.0,,-629.7,,,,True,,,,False,,False,False,True,,False,,
01047,635,444.0,,248.0,,,,296.0,,432.2,339.1,842.0,,127.4,,,-191.0,,-387.0,,,,-339.0,,-202.8,-295.9,207.0,,-507.6,,,,False,,,,False,,False,False,False,,False,,
01049,2535,1908.0,,1506.0,,,,1091.0,,828.9,1196.9,1831.5,,922.9,,,-627.0,,-1029.0,,,,-1444.0,,-1706.1,-1338.1,-703.5,,-1612.1,,,,False,,,,False,,False,False,False,,False,,
01051,2317,1116.0,,1313.0,,,,605.0,,1361.2,674.7,1262.0,,645.6,,,-1201.0,,-1004.0,,,,-1712.0,,-955.8,-1642.3,-1055.0,,-1671.4,,,,True,,,,False,,True,False,True,,False,,
01053,650,276.0,,68.0,,,,323.0,,105.7,239.8,468.0,,210.9,,,-374.0,,-582.0,,,,-327.0,,-544.3,-410.2,-182.0,,-439.1,,,,False,,,,True,,False,False,True,,False,,
01055,4329,2622.0,,2776.0,,,,1383.0,,1179.0,1484.4,3239.5,,1365.4,,,-1707.0,,-1553.0,,,,-2946.0,,-3150.0,-2844.6,-1089.5,,-2963.6,,,,True,,,,False,,False,False,True,,False,,
01057,654,414.0,,325.0,,,,200.0,,1550.2,187.8,610.0,,,,,-240.0,,-329.0,,,,-454.0,,896.2,-466.2,-44.0,,,,,,False,,,,False,,False,False,True,,,,
01059,815,450.0,,162.0,,,,604.0,,50.5,452.7,358.0,,216.7,,,-365.0,,-653.0,,,,-211.0,,-764.5,-362.3,-457.0,,-598.3,,,,False,,,,True,,False,True,False,,False,,
01061,501,408.0,,466.0,,,,217.0,,174.2,236.4,623.0,,299.5,,,-93.0,,-35.0,,,,-284.0,,-326.8,-264.6,122.0,,-201.5,,,,True,,,,False,,False,False,False,,False,,
01063,251,96.0,,0.0,,,,59.0,,52.6,53.4,81.0,,,,,-155.0,,-251.0,,,,-192.0,,-198.4,-197.6,-170.0,,,,,,False,,,,False,,False,False,False,,,,
01065,510,270.0,,82.0,,,,132.0,,74.3,145.8,226.0,,,,,-240.0,,-428.0,,,,-378.0,,-435.7,-364.2,-284.0,,,,,,False,,,,False,,False,False,False,,,,
01067,350,204.0,,73.0,,,,109.0,,50.0,144.5,210.0,,,,,-146.0,,-277.0,,,,-241.0,,-300.0,-205.5,-140.0,,,,,,False,,,,False,,False,False,True,,,,
01069,2158,1446.0,,2097.0,,,,932.0,,648.3,1050.9,2402.5,,1122.7,,,-712.0,,-61.0,,,,-1226.0,,-1509.7,-1107.1,244.5,,-1035.3,,,,True,,,,False,,False,False,True,,False,,
01071,2196,1338.0,,1161.0,,,,851.0,,521.5,822.0,1354.5,,680.0,,,-858.0,,-1035.0,,,,-1345.0,,-1674.5,-1374.0,-841.5,,-1516.0,,,,False,,,,False,,False,False,True,,False,,
01073,21699,11712.0,,20748.0,,,,6128.0,,12357.5,7960.3,19342.0,,5431.0,,,-9987.0,,-951.0,,,,-15571.0,,-9341.5,-13738.7,-2357.0,,-16268.0,,,,True,,,,False,,True,False,True,,False,,
01075,428,168.0,,160.0,,,,182.0,,142.2,85.1,124.0,,,,,-260.0,,-268.0,,,,-246.0,,-285.8,-342.9,-304.0,,,,,,False,,,,True,,False,False,False,,,,
01077,2789,2088.0,,1397.0,,,,1590.0,,471.3,1512.5,2164.0,,536.9,,,-701.0,,-1392.0,,,,-1199.0,,-2317.7,-1276.5,-625.0,,-2252.1,,,,False,,,,False,,False,False,True,,False,,
01079,853,456.0,,371.0,,,,547.0,,84.8,301.9,383.0,,,,,-397.0,,-482.0,,,,-306.0,,-768.2,-551.1,-470.0,,,,,,False,,,,True,,False,False,False,,,,
01081,2619,1818.0,,3327.0,,,,1275.0,,1701.3,911.7,3483.0,,1361.4,,,-801.0,,708.0,,,,-1344.0,,-917.7,-1707.3,864.0,,-1257.6,,,,True,,,,False,,False,False,False,,False,,
01083,2864,1824.0,,2075.0,,,,1334.0,,1130.8,1042.6,2098.5,,1115.1,,,-1040.0,,-789.0,,,,-1530.0,,-1733.2,-1821.4,-765.5,,-1748.9,,,,True,,,,False,,False,False,True,,False,,
01085,160,78.0,,0.0,,,,62.0,,19.4,62.0,74.0,,,,,-82.0,,-160.0,,,,-98.0,,-140.6,-98.0,-86.0,,,,,,False,,,,False,,False,False,False,,,,
01087,311,306.0,,372.0,,,,99.0,,144.6,172.2,380.5,,,,,-5.0,,61.0,,,,-212.0,,-166.4,-138.8,69.5,,,,,,False,,,,False,,False,False,False,,,,
01089,9883,5226.0,,8555.0,,,,3751.0,,7772.3,3915.1,8104.5,,2516.0,,,-4657.0,,-1328.0,,,,-6132.0,,-2110.7,-5967.9,-1778.5,,-7367.0,,,,True,,,,False,,True,False,True,,False,,
01091,610,240.0,,62.0,,,,173.0,,84.9,182.7,163.0,,180.2,,,-370.0,,-548.0,,,,-437.0,,-525.1,-427.3,-447.0,,-429.8,,,,False,,,,False,,False,False,False,,False,,
01093,727,360.0,,661.0,,,,422.0,,105.3,244.0,573.0,,166.5,,,-367.0,,-66.0,,,,-305.0,,-621.7,-483.0,-154.0,,-560.5,,,,True,,,,True,,False,False,True,,False,,
01095,3588,2604.0,,3243.0,,,,1441.0,,3749.4,1495.8,4692.5,,989.4,,,-984.0,,-345.0,,,,-2147.0,,161.4,-2092.2,1104.5,,-2598.6,,,,True,,,,False,,True,False,False,,False,,
01097,6223,4296.0,,6266.0,,,,3286.0,,1387.5,6225.1,3875.5,,2010.6,,,-1927.0,,43.0,,,,-2937.0,,-4835.5,2.1,-2347.5,,-4212.4,,,,True,,,,False,,False,True,False,,False,,
01099,382,186.0,,189.0,,,,145.0,,250.4,132.6,208.0,,,,,-196.0,,-193.0,,,,-237.0,,-131.6,-249.4,-174.0,,,,,,True,,,,False,,True,False,True,,,,
01101,3910,2688.0,,3628.0,,,,1669.0,,879.6,2688.0,2551.5,,1342.4,,,-1222.0,,-282.0,,,,-2241.0,,-3030.4,-1222.0,-1358.5,,-2567.6,,,,True,,,,False,,False,True,False,,False,,
01103,4791,3090.0,,4093.0,,,,1720.0,,2511.4,1973.3,3566.0,,1462.7,,,-1701.0,,-698.0,,,,-3071.0,,-2279.6,-2817.7,-1225.0,,-3328.3,,,,True,,,,False,,False,False,True,,False,,
01105,185,126.0,,0.0,,,,70.0,,77.6,52.0,76.0,,,,,-59.0,,-185.0,,,,-115.0,,-107.4,-133.0,-109.0,,,,,,False,,,,False,,False,False,False,,,,
01107,589,456.0,,222.0,,,,216.0,,140.1,274.7,499.0,,,,,-133.0,,-367.0,,,,-373.0,,-448.9,-314.3,-90.0,,,,,,False,,,,False,,False,False,True,,,,
01109,404,402.0,,336.0,,,,262.0,,172.5,289.1,438.0,,449.8,,,-2.0,,-68.0,,,,-142.0,,-231.5,-114.9,34.0,,45.8,,,,False,,,,False,,False,False,False,,False,,
01111,269,306.0,,226.0,,,,237.0,,80.8,187.5,260.0,,,,,37.0,,-43.0,,,,-32.0,,-188.2,-81.5,-9.0,,,,,,False,,,,True,,False,False,True,,,,
01113,625,216.0,,139.0,,,,445.0,,18.0,291.5,255.0,,166.0,,,-409.0,,-486.0,,,,-180.0,,-607.0,-333.5,-370.0,,-459.0,,,,False,,,,True,,False,True,True,,False,,
01115,2484,1572.0,,1269.0,,,,835.0,,459.7,1110.2,1670.0,,826.0,,,-912.0,,-1215.0,,,,-1649.0,,-2024.3,-1373.8,-814.0,,-1658.0,,,,False,,,,False,,False,False,True,,False,,
01117,5967,4386.0,,7522.0,,,,1714.0,,6321.8,2773.7,7053.5,,2446.5,,,-1581.0,,1555.0,,,,-4253.0,,354.8,-3193.3,1086.5,,-3520.5,,,,True,,,,False,,True,False,True,,False,,
01119,290,126.0,,42.0,,,,87.0,,219.8,79.5,146.0,,,,,-164.0,,-248.0,,,,-203.0,,-70.2,-210.5,-144.0,,,,,,False,,,,False,,True,False,True,,,,
01121,1797,1110.0,,562.0,,,,851.0,,600.2,832.0,1673.0,,925.4,,,-687.0,,-1235.0,,,,-946.0,,-1196.8,-965.0,-124.0,,-871.6,,,,False,,,,False,,False,False,True,,False,,
01123,701,750.0,,175.0,,,,339.0,,731.4,473.7,988.0,,414.6,,,49.0,,-526.0,,,,-362.0,,30.4,-227.3,287.0,,-286.4,,,,False,,,,False,,True,False,False,,False,,
01125,5958,3510.0,,3854.0,,,,2272.0,,1604.0,2506.5,3966.5,,3440.4,,,-2448.0,,-2104.0,,,,-3686.0,,-4354.0,-3451.5,-1991.5,,-2517.6,,,,True,,,,False,,False,False,True,,False,,
01127,1744,894.0,,776.0,,,,834.0,,126.7,667.4,810.0,,366.1,,,-850.0,,-968.0,,,,-910.0,,-1617.3,-1076.6,-934.0,,-1377.9,,,,False,,,,False,,False,False,False,,False,,
01129,283,378.0,,0.0,,,,135.0,,356.2,167.5,339.0,,,,,95.0,,-283.0,,,,-148.0,,73.2,-115.5,56.0,,,,,,False,,,,False,,True,False,True,,,,
01131,245,96.0,,0.0,,,,60.0,,32.9,61.6,119.0,,,,,-149.0,,-245.0,,,,-185.0,,-212.1,-183.4,-126.0,,,,,,False,,,,False,,False,False,True,,,,
01133,748,624.0,,386.0,,,,389.0,,439.5,363.0,566.0,,406.0,,,-124.0,,-362.0,,,,-359.0,,-308.5,-385.0,-182.0,,-342.0,,,,False,,,,False,,False,False,False,,False,,
02013,25,6.0,,0.0,,,,,,7.9,6.9,8.0,,,,,-19.0,,-25.0,,,,,,-17.1,-18.1,-17.0,,,,,,False,,,,,,True,True,True,,,,
02016,80,12.0,,0.0,,,,,,9.7,5.1,11.0,,,,,-68.0,,-80.0,,,,,,-70.3,-74.9,-69.0,,,,,,False,,,,,,False,False,False,,,,
02020,10388,12390.0,,13059.0,,,,,,16603.7,6880.6,18999.5,,10032.1,,,2002.0,,2671.0,,,,,,6215.7,-3507.4,8611.5,,-355.9,,,,False,,,,,,False,False,False,,True,,
02050,1270,1470.0,,,,,,,,3841.9,429.5,1430.5,,,,,200.0,,,,,,,,2571.9,-840.5,160.5,,,,,,,,,,,,False,False,True,,,,
02060,0,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,True,,,,,,True,True,,,,,
02068,23,30.0,,0.0,,,,,,16.8,18.2,19.0,,,,,7.0,,-23.0,,,,,,-6.2,-4.8,-4.0,,,,,,False,,,,,,True,True,True,,,,
02070,38,78.0,,0.0,,,,,,433.0,55.8,80.0,,,,,40.0,,-38.0,,,,,,395.0,17.8,42.0,,,,,,True,,,,,,False,True,False,,,,
02090,1956,1884.0,,38.0,,,,,,307.0,1031.7,2115.0,,1789.5,,,-72.0,,-1918.0,,,,,,-1649.0,-924.3,159.0,,-166.5,,,,False,,,,,,False,False,False,,False,,
02100,6,6.0,,0.0,,,,,,7.6,1.2,6.0,,,,,0.0,,-6.0,,,,,,1.6,-4.8,0.0,,,,,,False,,,,,,False,False,True,,,,
02105,0,0.0,,0.0,,,,,,0.0,3.2,,,,,,0.0,,0.0,,,,,,0.0,3.2,,,,,,,True,,,,,,True,False,,,,,
02110,297,474.0,,700.0,,,,,,99.3,281.9,644.0,,,,,177.0,,403.0,,,,,,-197.7,-15.1,347.0,,,,,,False,,,,,,False,True,False,,,,
02122,1891,2334.0,,2917.0,,,,,,4139.2,1467.8,2689.0,,950.2,,,443.0,,1026.0,,,,,,2248.2,-423.2,798.0,,-940.8,,,,False,,,,,,False,True,False,,False,,
02130,69,288.0,,107.0,,,,,,6152.9,43.3,467.0,,,,,219.0,,38.0,,,,,,6083.9,-25.7,398.0,,,,,,True,,,,,,False,True,False,,,,
02150,732,126.0,,0.0,,,,,,69.0,110.4,191.0,,,,,-606.0,,-732.0,,,,,,-663.0,-621.6,-541.0,,,,,,False,,,,,,False,False,True,,,,
02158,340,204.0,,54.0,,,,,,76.0,,39.0,,,,,-136.0,,-286.0,,,,,,-264.0,,-301.0,,,,,,False,,,,,,False,,False,,,,
02164,30,78.0,,1.0,,,,,,46.5,10.1,66.0,,,,,48.0,,-29.0,,,,,,16.5,-19.9,36.0,,,,,,True,,,,,,True,True,True,,,,
